Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the Data pack table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
96,,306.0,Waste,306-05,Waste directed to disposal,NAB directed 36% of its waste to landfill in 2023.,,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
97,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,Group Supplier Sustainability Principles,,,NAB,2023.0,"The Group Supplier Sustainability Principles set out an expectation that suppliers will comply with all relevant local and national laws and regulations, provide transparent and public reporting on their ESG risks and have a process in place to provide timely disclosure to NAB of material ESG matters concerning their organisation.",,,Data pack,,55,,"Group Supplier Sustainability Principles, regulation, ESG risk","8, 16, 17","E, S, G",,,,,,,,,,,,,,,,
99,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,Third-Party Risk Management Module,,,NAB,2023.0,"In 2023, NAB reviewed and refreshed the ESG risk assessment component of its Third-Party Risk Management Module, part of its enterprise risk management tool. It supports the ongoing management of supplier-related risks, including ESG risk.",,,Data pack,,55,,"Third-Party Risk Management Module, ESG risk assessment, enterprise risk management tool","8, 16, 17","E, S, G",,,,,,,,,,,,,,,,
100,,401.0,Employment,401-01,New employee hires and employee turnover,NAB's turnover rate in 2023 was 10.1%.,,,,NAB,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
101,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"NAB was recognised for the second year as #3 in the 2023 LinkedIn ""Top Companies to grow your career"" in Australia. NAB also ranked #4 on GradAustralia's Top 100 Graduate Employers and #1 in the Banking & Finance industry.",,,,NAB,2023.0,,,,Data pack,,31,,,,,,,,,,,,,,,,,,,,
102,,401.0,Employment,401-03,Parental leave,,Parental leave,,,NAB,2023.0,"This year, NAB strengthened its parental leave offering by providing equal leave to both parents by removing the distinction between primary and secondary carers. NAB also increased the number of weeks paid parental leave to 16 weeks upon the birth of a child and for adoption, foster and kinship arrangements for children under 16 years of age, with additional flexibility as to when the leave can be taken.",,,Data pack,,33,,"Parental leave, parent, primary carer, secondary carer",8,S,,,,,,,,,,,,,,,,
103,,401.0,Employment,401-03,Parental leave,,Gender affirmation leave,,,NAB,2023.0,"In 2023, NAB introduced gender affirmation leave of up to 12 months, consisting of 4 weeks paid leave and the remainder unpaid. Colleagues who take steps to affirm their gender have the entitlement to build a gender affirmation plan alongside their people leader and a support person to help ensure a positive experience in affirming gender at work.",,,Data pack,,33,,"Gender affirmation leave, paid leave, gender affirmation plan","8, 10",S,,,,,,,,,,,,,,,,
104,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,NAB,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Employee Assistance Program,,,NAB,2023.0,"Through NAB's Employee Assistance Program, counselling services remain available to all colleagues, their families, and NAB customers. Customer utilisation of this service has increased during the year, and NAB expects to see this continue due to challenges in the external environment, including cost of living pressures.",,,Data pack,,36,,"Employee Assistance Program, customer utilisation, cost of living","3, 8",S,,,,,,,,,,,,,,,,
