Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Energy consumption,,,,,,,,,,
,Planet goal 1,,,,,,,,,,
,,,,,,,,,,,
,Total electricity consumption,Electricity consumption by division,Electricity consumption by geography,Energy intensity,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Total electricity consumption,,,,,,"GRI 302-1, 302-4",,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Total electricity (GWh),,,,2296,2249,2222,,,,
,Electricity from renewable sources (GWh),,,,413,374,503,,,,
,Share of electricity from renewable sources (%),,,,0.18,0.166,0.226,,Ü Footnote 1,,
,,,,,,,,,,,
,,,,,,,,,,,
,Electricity consumption by division (GWh),,,,,,"GRI 302-1, 302-4",,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,1653,1601,1574,,,,
,New Zealand Food,,,,297,299,308,,,,
,Big W,,,,137,126,109,,,,
,Primary Connect,,,,119,121,133,,,,
,Corporate,,,,39,51,47,,,,
,Australian B2B,,,,52,51,52,,,,
,Other,,,,–,–,–,,,,
,Total,,,,2296,2249,2222,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Electricity consumption by geography (GWh),,,,,,"GRI 302-1, 302-4",,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Capital Territory,,,,28,27,26,,,,
,New South Wales,,,,617,600,583,,,,
,Northern Territory,,,,28,27,27,,,,
,Queensland,,,,483,476,476,,,,
,South Australia,,,,124,116,116,,,,
,Tasmania,,,,56,55,57,,,,
,Victoria,,,,472,463,453,,,,
,Western Australia,,,,190,185,176,,,,
,New Zealand,,,,297,299,308,,,,
,Total,,,,2296,2249,2222,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Energy intensity,,,,,,GRI 302-3,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Energy intensity (GJ/m2),,,,2.43,2.41,2.39,,Ü Footnote 2,,
,,,,,,,,,,,
,,,,,,,,,,,
,Footnotes,,,,,,,,,,
,,,,,,,,,,,
,Ü Footnote 1,"Share of electricity from renewable sources in F21 includes owned solar generation (not included in F22 and F23 figures). Like-for-like (excluding owned solar generation), share of electricity from renewable sources in F21 would be 16.1%.",,,,,,,,,
,Ü Footnote 2,"Energy intensity for F22 has been updated to include Customer Fulfilment Centres, Micro Fulfilment Centres and e-Stores in the total trading area.",,,,,,,,,
