Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Workforce movements,,,,,,,,,
,People goal 3,,,,,,,,,
,,,,,,,,,,
,Headcount,Turnover,Parental leave,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Headcount,,,,,,,,,
,,,,,,,,,,
,Headcount  by gender & division,,,,,,,,,
,,,,,F21,F22,F23,,,
,Women,Australian Food,,,75507,81509,77673,,,
,,New Zealand Food,,,11090,12451,12311,,,
,,Big W,,,12013,12267,11687,,,
,,Primary Connect,,,Not reported,Not reported,1794,,,
,,Corporate,,,3148,3218,4378,,,
,,Australian B2B,,,53,38,610,,,
,,Other,,,303,274,200,,,
,,Total,,,102114,109757,108653,,,
,Men,Australian Food,,,61721,63573,61957,,,
,,New Zealand Food,,,8249,8996,8799,,,
,,Big W,,,5391,5743,5428,,,
,,Primary Connect,,,Not reported,Not reported,7263,,,
,,Corporate,,,3284,8309,4843,,,
,,Australian B2B,,,65,400,2172,,,
,,Other,,,152,153,150,,,
,,Total,,,78862,87174,90612,,,
,Different term,Australian Food,,,325,722,871,,,
,,New Zealand Food,,,–,–,1,,,
,,Big W,,,47,101,130,,,
,,Primary Connect,,,Not reported,Not reported,35,,,
,,Corporate,,,20,19,59,,,
,,Australian B2B,,,–,–,2,,,
,,Other,,,–,–,1,,,
,,Total,,,392,842,1099,,,
,Total,,,,181368,197773,200364,,,
,,,,,,,,,,
,Headcount  by gender & employement type,,,,,,,,,
,,,,,F21,F22,F23,,,
,Women,Full-time,,,23152,23328,24105,,,
,,Part-time,,,51930,53118,53151,,,
,,Casual,,,27032,33311,31397,,,
,,Total,,,102114,109757,108653,,,
,Men,Full-time,,,26117,25883,27817,,,
,,Part-time,,,30397,31889,33222,,,
,,Casual,,,22348,29402,29573,,,
,,Total,,,78862,87174,90612,,,
,Different term,Full-time,,,71,73,130,,,
,,Part-time,,,182,297,448,,,
,,Casual,,,139,472,521,,,
,,Total,,,392,842,1099,,,
,Total,,,,181368,197773,200364,,,
,,,,,,,,,,
,Headcount by gender & region,,,,,,,,,
,,,,,F21,F22,F23,,,
,Women,Australian Capital Territory,,,1273,1346,1270,,,
,,New South Wales,,,31669,34272,33926,,,
,,Northern Territory,,,910,997,966,,,
,,Queensland,,,20315,21675,21469,,,
,,South Australia,,,5315,5354,5207,,,
,,Tasmania,,,2521,2546,2555,,,
,,Victoria,,,19932,21458,21385,,,
,,Western Australia,,,8808,9384,9436,,,
,,New Zealand,,,11089,12451,12311,,,
,,Greater China,,,269,260,117,,,
,,Bangladesh,,,6,9,5,,,
,,Thailand,,,7,5,6,,,
,,Total,,,102114,109757,108653,,,
,Men,Australian Capital Territory,,,1391,1672,1695,,,
,,New South Wales,,,25215,27719,28868,,,
