Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Diversity & inclusion,,,,,,,,,,
,People goal 1,,,,,,,,,,
,,,,,,,,,,,
,Gender & age diversity,Gender pay parity,Respect & dignity,Freedom of association,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Gender & age diversity,,,,,,GRI 405-1,,,,
,,,,,,,,,,,
,Board of Directors gender & age diversity,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Women,<25,,,0,0,0,,,,
,,25 - <35,,,0,0,0,,,,
,,35 - <45,,,0,0,0,,,,
,,45 - <55,,,2,2,1,,,,
,,55 - <65,,,3,3,4,,,,
,,>65,,,0,0,0,,,,
,,Total,,,5,5,5,,,,
,Men,<25,,,0,0,0,,,,
,,25 - <35,,,0,0,0,,,,
,,35 - <45,,,0,0,0,,,,
,,45 - <55,,,0,0,0,,,,
,,55 - <65,,,2,2,3,,,,
,,>65,,,2,2,1,,,,
,,Total,,,4,4,4,,,,
,Different term,<25,,,0,0,0,,,,
,,25 - <35,,,0,0,0,,,,
,,35 - <45,,,0,0,0,,,,
,,45 - <55,,,0,0,0,,,,
,,55 - <65,,,0,0,0,,,,
,,>65,,,0,0,0,,,,
,,Total,,,0,0,0,,,,
,,,,,,,,,,,
,Women representation in the workforce by employment category,,,,,,,,Ü Footnote 1,,
,,,,,F21,F22,F23,,,,
,Executives,,,,0.317,0.338,0.367,,,,
,Senior managers,,,,0.373,0.405,0.413,,,,
,Managers,,,,0.441,0.446,0.442,,,,
,Office support,,,,0.562,0.555,0.539,,,,
,Technicians and trades,,,,0.127,0.128,0.128,,,,
,Sales,,,,0.604,0.635,0.623,,,,
,Other,,,,0.183,0.346,0.351,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Gender pay parity,,,,,,GRI 405-2,,"Ü Footnotes 1, 2",,
,,,,,,,,,,,
,Total remuneration,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Non-managerial,Women,,,53258,54218,56823,,,,
,,Men,,,57624,58299,60449,,,,
,,Different term,,,Not available,52561,55043,,,,
,,Average,,,55136,55965,58410,,,,
,Managerial,Women,,,94291,99641,106372,,,,
,,Men,,,104727,109418,114109,,,,
,,Different term,,,Not available,114879,115123,,,,
,,Average,,,100201,105116,110718,,,,
,,,,,,,,,,,
,Ratio to average,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Non-managerial,Women,,,0.966,0.969,0.973,,,,
,,Men,,,1.045,1.042,1.035,,,,
,,Different term,,,Not available,0.939,0.942,,,,
,Managerial,Women,,,0.941,0.948,0.961,,,,
,,Men,,,1.045,1.041,1.031,,,,
,,Different term,,,Not available,1.093,1.04,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Respect & dignity,,,,,,GRI 406-1,,Ü Footnote 3,,
,,,,,,,,,,,
,Discrimination claims,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Number of claims lodged,,,,94,113,95,,,,
,Number of claims resolved,,,,83,113,90,,,,
,Number of claims substantiated,,,,12,4,8,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Freedom of association,,,,,,GRI 407-1,,Ü Footnote 4,,
,,,,,,,,,,,
,Number of EBA employees by division,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,108386,133829,128187,,,,
,New Zealand Food,,,,13783,18185,17648,,,,
,Big W,,,,15856,16584,15598,,,,
,Primary Connect,,,,Not reported,Not reported,7568,,,,
,Corporate,,,,6993,7127,4826,,,,
,Australian B2B,,,,Not reported,391,1885,,,,
,Other,,,,Not reported,Not reported,13,,,,
,Total,,,,145018,176116,175725,,,,
,,,,,,,,,,,
,Percentage of EBA employees by division,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,0.925,0.918,0.912,,,,
,New Zealand Food,,,,0.837,0.848,0.836,,,,
,Big W,,,,0.908,0.916,0.904,,,,
,Primary Connect,,,,Not reported,Not reported,0.832,,,,
,Corporate,,,,0.631,0.617,0.52,,,,
,Australian B2B,,,,Not reported,0.893,0.677,,,,
,Other,,,,Not reported,Not reported,0.089,,,,
,Total,,,,0.894,0.892,0.878,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Footnotes,,,,,,,,,,
,,,,,,,,,,,
,Ü Footnote 1,"Data refers to the 12 months ending January 1 of each year, covers Australia based team members only, and is consistent with our Workplace Gender Equality Agency (WGEA) submissions. F21 figures have been re-stated to exclude Endeavour Group.",,,,,,,,,
,Ü Footnote 2,"The ratios reported are relative to the total average salary within the managerial and managerial categories, irrespective of role and position level (ie, not like-for-like). Through our ongoing Pay Parity Project, we monitor the gender pay gap for like-for-like roles across the Woolworths Group, at all levels. Our last review confirmed a gap of less than 1%, which we aim to maintain.

",,,,,,,,,
,Ü Footnote 3,"Data refers to financial years and covers all Australian Food, Corporate and New Zealand operations. F23 data excludes PFD Foods and MyDeal, while F21 data includes Endeavour Group. We are working towards a resolution on all outstanding claims.",,,,,,,,,
,Ü Footnote 4,"Data refers to financial years, covers all Australian and New Zealand headcount, and excludes workforce located in Greater China, Bangladesh, The Philippines and Thailand. F21 figures have been re-stated to exclude Endeavour Group.",,,,,,,,,
