Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Safety,,,,,,,,,,
,People goal 2,,,,,,,,,,
,,,,,,,,,,,
,Total TRIFR & severity rate,Fatalities,Work related injuries,Work related ill health,Close calls & high potential incidents,Health & safety management systems,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Total TRIFR & severity rate,,,,,,GRI 403-9,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,TRIFR per million hours,,,,12.23,11.13,12.24,,,,
,"TRIFR per 200,000 hours",,,,2.45,2.23,2.45,,,,
,Severity rate,,,,Not reported,1.739,1.519,,Ü Footnote 1,,
,,,,,,,,,,,
,,,,,,,,,,,
,Fatalities,,,,,,GRI 403-9,,Ü Footnote 2,,
,,,,,,,,,,,
,Work related fatalities where Woolworths Group operations have been a contributing factor,,,,,,,,,,
,,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Employee work related fatalities,,,,–,–,1,,,,
,Contractor / agency fatalities,,,,–,–,1,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Work related injuries,,,,,,GRI 403-9,,,,
,,,,,,,,,,,
,High consequence injuries (HCI),,,,,,,,Ü Footnote 3,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,225,170,190,,,,
,New Zealand Food,,,,Not available,Not available,Not available,,,,
,Big W,,,,20,16,29,,,,
,Corporate,,,,1,–,2,,,,
,Primary Connect,,,,25,27,33,,,,
,WooliesX,,,,–,1,2,,,,
,Foodco including Metro Food Stores,,,,4,3,–,,,,
,Total,,,,275,217,256,,,,
,,,,,,,,,,,
,HCIFR per million hours,,,,,,,,Ü Footnote 3,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,1.75,1.33,1.55,,,,
,New Zealand Food,,,,Not available,Not available,Not available,,,,
,Big W,,,,1.15,0.91,1.72,,,,
,Corporate,,,,0.27,–,0.31,,,,
,Primary Connect,,,,1.96,2.08,2.48,,,,
,WooliesX,,,,Not available,0.17,0.3,,,,
,Foodco including Metro Food Stores,,,,1,0.72,0,,,,
,Total,,,,1.41,1.08,1.29,,,,
,,,,,,,,,,,
,"HCIFR per 200,000 hours",,,,,,,,Ü Footnote 3,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,0.35,0.27,0.31,,,,
,New Zealand Food,,,,Not available,Not available,Not available,,,,
,Big W,,,,0.23,0.18,0.34,,,,
,Corporate,,,,0.05,–,0.06,,,,
,Primary Connect,,,,0.39,0.42,0.5,,,,
,WooliesX,,,,Not available,0.03,0.06,,,,
,Foodco including Metro Food Stores,,,,0.2,0.14,0,,,,
,Total,,,,0.28,0.22,0.26,,,,
,,,,,,,,,,,
,Total Recordable Incidents (TRI),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,1477,1353,1433,,,,
,New Zealand Food,,,,443,477,489,,,,
,Big W,,,,131,103,163,,,,
,Corporate,,,,7,5,14,,,,
,Primary Connect,,,,287,259,287,,,,
,WooliesX,,,,18,9,21,,,,
,Foodco including Metro Food Stores,,,,29,22,23,,,,
,Total,,,,2392,2228,2430,,,,
,,,,,,,,,,,
,TRIFR per million hours,,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,12.01,10.6,11.65,,,,
,New Zealand Food,,,,15.2,17.24,17.42,,,,
,Big W,,,,7.54,5.88,9.68,,,,
,Corporate,,,,1.38,1.16,2.39,,,,
,Primary Connect,,,,23.55,19.92,21.58,,,,
,WooliesX,,,,3.86,1.53,3.15,,,,
,Foodco including Metro Food Stores,,,,7.09,5.26,4.77,,,,
,Total,,,,12.23,11.13,12.24,,,,
,,,,,,,,,,,
,"TRIFR per 200,000 hours",,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,,,,2.4,2.12,2.33,,,,
,New Zealand Food,,,,3.04,3.45,3.48,,,,
,Big W,,,,1.51,1.18,1.94,,,,
,Corporate,,,,0.28,0.23,0.48,,,,
,Primary Connect,,,,4.71,3.98,4.32,,,,
,WooliesX,,,,0.77,0.31,0.63,,,,
,Foodco including Metro Food Stores,,,,1.42,1.05,0.95,,,,
,Total,,,,2.45,2.23,2.45,,,,
,,,,,,,,,,,
,TRI by division & gender (number),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,Women,,,1035,901,1005,,,,
,,Men,,,437,447,417,,,,
,,Different term,,,5,5,11,,,,
,New Zealand Food,Women,,,266,312,326,,,,
,,Men,,,177,165,163,,,,
,,Different term,,,–,–,–,,,,
,Big W,Women,,,109,90,123,,,,
,,Men,,,22,13,39,,,,
,,Different term,,,–,–,1,,,,
,Corporate,Women,,,–,3,5,,,,
,,Men,,,7,2,8,,,,
,,Different term,,,–,–,1,,,,
,Primary Connect,Women,,,54,51,71,,,,
,,Men,,,233,208,215,,,,
,,Different term,,,–,–,1,,,,
,WooliesX,Women,,,11,4,10,,,,
,,Men,,,7,5,11,,,,
,,Different term,,,–,–,–,,,,
,Foodco including,Women,,,13,13,9,,,,
,Metro Food Stores,Men,,,16,9,14,,,,
,,Different term,,,–,–,–,,,,
,Total,Women,,,1488,1374,1549,,,,
,,Men,,,899,849,867,,,,
,,Different term,,,5,5,14,,,,
,,,,,,,,,,,
,TRI by division & gender (%),,,,,,,,,,
,,,,,F21,F22,F23,,,,
,Australian Food,Women,,,0.7,0.67,0.7,,,,
,,Men,,,0.3,0.32,0.29,,,,
,,Different term,,,–,–,0.01,,,,
,New Zealand Food,Women,,,0.6,0.65,0.67,,,,
,,Men,,,0.4,0.35,0.33,,,,
,,Different term,,,–,–,–,,,,
,Big W,Women,,,0.83,0.87,0.75,,,,
,,Men,,,0.17,0.13,0.24,,,,
,,Different term,,,–,–,0.01,,,,
,Corporate,Women,,,–,0.18,0.36,,,,
,,Men,,,1,0.82,0.57,,,,
