Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
43,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Anti-money laundering and workplace discrimination policies,,,Vanguard,2023.0,"Vanguard's crew must be certified every year that they have read and understand Vanguard's compliance policies, including the Code anti-money laundering and workplace discrimination policies, and have disclosed any potential conflicts of interest. Any crew member who breaches such policies may be subject to disciplinary action.",,,,,,,"Anti-money laundering policy, workplace discrimination policy, compliance policy",,16,G,,Modern Slavery Statement page 11,,,,,,,,,,,,,,
45,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,302.0,Energy,302-01,Energy consumption within the organization,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,302.0,Energy,302-03,Energy intensity,Vanguard's energy intensity was 20.5 kWh per square foot.,,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
57,,302.0,Energy,302-04,Reduction of energy consumption,,Exterior lighting,,,Vanguard,2023.0,"In 2022, Vanguard continued to upgrade exterior lighting, adding 749 more LED lamps that are expected to save 725 megawatt-hours (MWh) of electricity annually on top of the 726 MWh of savings from upgrades the prior year. Additionally, Vanguard is a member of the U.S. Environmental Protection Agency's Green Power Partnership, which seeks to increase the voluntary use of renewable energy resources.",,,,,,,"Exterior lighting, LED lamp, Green Power Partnership",,"7, 13",E,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
58,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,303.0,Water and Effluents,303-05,Water consumption,Vanguard consumed 12.3 gallons of water per square foot.,,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
64,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Vanguard's scope 1 emissions were 4,375 tCO2e.",,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
69,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Vanguard's scope 2 emissions were 34,361 tCO2e.",,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
70,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Vanguard's scope 3 emissions were 44,690 tCO2e.",,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
71,,305.0,Emissions,305-04,GHG emissions intensity,Vanguard's emissions were 3.3 tCO2e per FTE.,,,,Vanguard,2023.0,,,,,,,,,,,,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
72,,305.0,Emissions,305-05,Reduction of GHG emissions,,Low-carbon transportation,,,Vanguard,2023.0,"Vanguard offers programs for its crew to encourage low-carbon transportation, including about 70 free electric vehicle charging ports adjacent to our buildings, shuttles between campuses and to and from public transit, and pretax deductions for public transit costs. Additionally, Vanguard has begun to add electric vehicles to its maintenance fleet.",,,,,,,"Low-carbon transportation, electric vehicle charging port, public transit",,13,E,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
73,,305.0,Emissions,305-05,Reduction of GHG emissions,,Renewable energy certificates,,,Vanguard,2023.0,"By procuring energy for electric vehicle chargers from renewable sources and purchasing renewable energy certificates (RECs) to offset remaining emissions from non-renewable sources, Vanguard reduced or offset approximately 227 tCO2e from commuting emissions and contributed to saving approximately 37,000 gallons of gasoline, as estimated using data provided by ChargePoint, a third-party charging provider.",,,,,,,"Renewable energy certificates, electric vehicle charger, ChargePoint",,13,E,,https://corporate.vanguard.com/content/corporatesite/us/en/corp/who-we-are/we-care-about/sustainability.html,,,,,,,,,,,,,,
74,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
