Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
86,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",All visitors to Vanguard's work sites must comply with its Health and Safety Policy.,,,,Vanguard,2023.0,,,,,,,,,,,,,Modern Slavery Statement page 11,,,,,,,,,,,,,,
90,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Vanguard,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
