Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
76,,Employees who took parental leave,24,33,30,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Employees who returned from parental leave,25,18,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"* Includes Cleanaway paid employees only, excludes labour hire, directors, owner drivers, contractors and consultants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Addresses GRI Standard 401-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,1.9 Employees by employment type and region*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Permanent full time,,,,Part-time,,,,Casual,,,,Fixed term,,,,Total,,,,Labour hire,,,,,,,,,,,,
83,,Region,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,,
84,,ACT,35,37,35,41,-,-,-,,2,1,1,1,1,-,-,,38,38,36,42,-,-,4,3,,,,,,,,,
85,,NSW,1509,1544,1678,1834,24,19,24,36,91,113,129,181,11,14,23,15,1635,1690,1854,2066,66,141,171,105,,,,,,,,,
86,,NT,63,69,70,63,-,-,-,,7,7,5,10,-,-,-,,70,76,75,73,-,-,19,13,,,,,,,,,
87,,QLD,1202,1245,1313,1436,28,23,17,15,115,95,101,107,14,14,18,15,1359,1377,1449,1573,71,162,151,127,,,,,,,,,
88,,SA,317,342,353,366,4,3,1,2,55,55,59,60,3,1,2,3,379,401,415,431,64,70,82,78,,,,,,,,,
89,,TAS,32,41,45,58,1,-,1,1,6,4,3,2,-,-,-,,39,45,49,61,3,2,2,1,,,,,,,,,
90,,VIC,1415,1507,1631,1761,30,38,48,50,101,89,112,115,10,20,24,28,1556,1654,1815,1954,38,37,53,50,,,,,,,,,
91,,WA,724,807,832,900,32,34,31,41,206,251,315,391,4,7,17,14,966,1099,1195,1346,99,211,221,198,,,,,,,,,
92,,Total,5297,5592,5957,6459,119,117,122,145,583,615,725,867,43,56,84,75,6042,6380,6888,7546,341,623,703,575,,,,,,,,,
93,,"* Based on number of active employees at 30 June 2023. Excludes directors, owner drivers, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Supports GRI Standard 2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,1.10 Average FTE compa-ratio by gender and salary grade*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,% of female-to-male average FTE compa-ratio (female/male),,,,Female,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,
98,,Salary grade,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,
99,,Level A,-,-,-,,-,-,-,,149.1,141.47,137.79,150,,,,,,,,,,,,,,,,,,,,,
100,,Level B,83.5,83.15,120.36,105,93.4,89.42,134.08,129,111.8,107.55,111.39,122,,,,,,,,,,,,,,,,,,,,,
101,,Level C,86.4,90.96,95.37,113,90.1,90.85,96.7,114,104.2,99.88,101.39,101,,,,,,,,,,,,,,,,,,,,,
102,,Level 8,100.8,102.85,101.55,97,89.2,85.91,86.96,88,88.5,83.53,85.64,91,,,,,,,,,,,,,,,,,,,,,
103,,Level 7,100,104.87,99.46,103,86.7,90.3,84.54,90,86.8,86.11,85,87,,,,,,,,,,,,,,,,,,,,,
104,,Level 6,97.1,95.6,95.41,96,91.1,88.34,88.87,92,93.9,92.41,93.15,96,,,,,,,,,,,,,,,,,,,,,
105,,Level 5,99.2,98.56,97.08,97,94.5,91.67,92.48,94,95.3,93,95.25,96,,,,,,,,,,,,,,,,,,,,,
106,,Level 4,93.3,93.4,91.24,91,90.1,88.22,89.82,93,96.5,94.45,98.44,102,,,,,,,,,,,,,,,,,,,,,
107,,Level 3,91.5,92.7,93.88,93,94.3,91.43,94.35,98,103,98.63,100.51,105,,,,,,,,,,,,,,,,,,,,,
108,,Level 2,94.1,96.88,94.73,96,88.5,87.12,88.2,93,94.1,89.93,93.11,97,,,,,,,,,,,,,,,,,,,,,
109,,Level 1,98.3,100.33,94.82,99,96.3,93.45,92.91,98,98,93.14,97.99,98,,,,,,,,,,,,,,,,,,,,,
110,,Total,97.5,97.31,95.98,97,93.6,91.06,91.55,95,96.1,93.57,95.39,98,,,,,,,,,,,,,,,,,,,,,
111,,"* Based on number of active employees at 30 June 2023. Excludes hourly paid employees, acquisitions employees whose roles have not been evaluated into salary grades, labour hire, directors, owner drivers, contractors and consultants. Compa Ratio determined based on TFR compared to midpoint in salary grade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,* Addresses GRI Standard 405-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,1.11 Average hourly earnings by gender and employment contract ($)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,Female,,,,Male,,,,Other,,,,% of female-to-male average hourly earnings,,,,,,,,,,,,,,,,,,,,
116,,Employment type,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,
117,,Permanent,44.73,43.82,45.4,41,55.08,53.68,55.59,53,-,-,-,57,0.812,0.8163,0.8167,0.77,,,,,,,,,,,,,,,,,
118,,Fixed term,38.08,34.46,45.05,30,58.17,57.04,61.16,42,-,-,85.92,,0.655,0.6042,0.7366,0.7,,,,,,,,,,,,,,,,,
119,,Casual,53.8,28.48,27.31,20,63.5,44.68,45.55,37,60.45,51.06,40.29,0,0.847,0.6375,0.5996,0.53,,,,,,,,,,,,,,,,,
120,,Total,44.99,43.18,44.79,40,56.04,52.73,54.52,51,60.45,51.06,55.5,38,0.803,0.8189,0.8215,0.78,,,,,,,,,,,,,,,,,
121,,"* Based on the number of active employees as at 30 March 2023. Excludes Labour Hire, Directors, owner drivers, contractors and consultants. Excludes CEO. Determined based on average hourly earnings between 1 April 2022 to 30 March 2023. Average earnings include gross base salary plus all extra benefits, whether payable directly or indirectly, in cash or another form as an annualised FTE. Benefits include allowances, bonuses, cash out annual leave/ long service leave, motor vehicle allowances, discretionary pay, overtime, sales commissions and superannuation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,Supports GRI Standard 2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,1.12 Measures of Employee Engagement*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,% of favourable employee responses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Engagement Metric,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Overall engagement score,66,67,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,What employees SAY about Cleanaway,70,71,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Employees' level of commitment to STAY at Cleanaway,62,60,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Employees' motivation to STRIVE for Cleanaway,68,68,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,Inclusion rating,,72,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,"* The Inclusion rating is a new metric for FY22. It reflects favourable responses to the three inclusion statements; 1. I feel as if I belong at Cleanaway, 2. I can be myself at work at Cleanaway; and 3. At Cleanaway, everyone can succeed to their full potential at Cleanaway, no matter who they are.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,** In FY23 our annual employee engagement survey was paused due to a structural review being undertaken.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,1.13 Training and Development*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,Training packages and competency assessments delivered,"55,000 +","52,800 +","78,118 +",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,* Includes all training from high risk work and heavy vehicle operation to our operating foundations and principles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,1.14 Industrial instruments*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,Industrial instrument,# Employees,% Employees,# Employees,% Employees,# Employees,% Employees,# Employees,% Employees,,,,,,,,,,,,,,,,,,,,,,,,,
143,,Enterprise agreement,3357,56,3530,55,3812,56,4049,54,,,,,,,,,,,,,,,,,,,,,,,,,
144,,Individual contract,1291,21,1336,21,1536,22,1709,23,,,,,,,,,,,,,,,,,,,,,,,,,
145,,Modern award,1389,23,1510,24,1536,22,1785,24,,,,,,,,,,,,,,,,,,,,,,,,,
146,,Memorandum of understanding,5,0,4,0,4,0,3,0.000398,,,,,,,,,,,,,,,,,,,,,,,,,
147,,Total,6042,100,6380,100,6888,100,7546,100,,,,,,,,,,,,,,,,,,,,,,,,,
148,,"* Based on number of active employees at 30 June 2023. Excludes labour hire, directors, owner drivers, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,Supports GRI Standard 2-30 and SASB IF-WM-310a.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
