Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,7. Suppliers,,,,,,,,,,,
2,,7.1 Procurement spend*,,,,,,,,,,,
3,,Supplier type,FY21 ($m),FY22 ($m),FY23 ($m),,,,,,,,
4,,Small and medium-sized enterprises,265.7,317.3,398.6,,,,,,,,
5,,First Nations businesses,6.65,9.48,10.8,,,,,,,,
6,,Social enterprises,3.57,3.53,4.2,,,,,,,,
7,,Total supplier spend ($),1 billion +,1.3 billion +,1.8 billion +,,,,,,,,
8,,"*This spend excludes the following Cleanaway subsidiaries: Cleanaway Daniels, Global Renewables Holdings, Vins Bins, Grasshopper and ASP Plastics.",,,,,,,,,,,
10,,7.2 Number of suppliers*,,,,,,,,,,,
11,,Supplier type,FY21 (no. suppliers),FY22 (no. suppliers),FY23 (no. suppliers),,,,,,,,
12,,Small-to-medium sized enterprises,3415,3747,4117,,,,,,,,
13,,First Nations businesses,11,12,18,,,,,,,,
14,,Social enterprises,12,15,15,,,,,,,,
15,,Total number of addressable suppliers,6184,6371,7085,,,,,,,,
16,,Total number of suppliers,6520,6648,7353,,,,,,,,
17,,"*This spend excludes the following Cleanaway subsidiaries: Cleanaway Daniels, Global Renewables Holdings, Vins Bins, Grasshopper and ASP Plastics.",,,,,,,,,,,
18,,Links,,,,,,,,,,,
19,,Social Procurement Statement,,,,,,,,,,,
20,,Responsible Business page,,,,,,,,,,,
21,,Supplier Code of Conduct,,,,,,,,,,,
