Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
41,,40:40 Vision,"For a given cohort, 40% by headcount identifying as women, 40% by headcount identifying as men, 20% by headcount identifying as any gender. This definition is consistent with how Chief Executive Women Senior Executive Census defines Ã¢ÂÂgender balanceÃ¢ÂÂ.",,,,,,,,,,,,,,,
42,,ACCUs,Australian Carbon Credit Unit is a certified financial product that can be sold to the Australian Government or otherwise traded. One ACCU represents one tonne of carbon dioxide equivalent (CO2-e) greenhouse gas that is not released into the atmosphere.,,,,,,,,,,,,,,,
43,,Carbon credit,"A measurable, verifiable unit of emission reduction or avoidance from certified projects. One carbon credit represents one tonne of carbon dioxide equivalent (CO2-e) greenhouse gas that is not released into the atmosphere.",,,,,,,,,,,,,,,
44,,CEO+1,"Cohort comprising direct line and functional reports of the CEO, not including the CEO, executive assistants / administrative support and special project roles.",,,,,,,,,,,,,,,
45,,CEO+2,Cohort comprising CEO+1 and their direct reports.,,,,,,,,,,,,,,,
46,,Contractor,"An individual, company or other legal entity that provides goods and services to Cleanaway and carries out work or performs services under the direct supervision of Cleanaway. This does not include sub-contractors.",,,,,,,,,,,,,,,
47,,Direction Notice,Notice issued by a state or territory-based environmental regulator requiring changes to on-site process or practice to prevent or manage the risk of pollution.,,,,,,,,,,,,,,,
48,,Employee,"An individual who works for Cleanaway under a contract of employment. People who are engaged through the companyÃ¢ÂÂs payroll (i.e. subject to PAYG withholding tax and super guarantee arrangements). Includes working arrangements as: causal, full-time and part-time permanent, full-time and part-time fixed term, and trainees. Employee excludes non-executive directors, contractors, labour hire, and consultants.",,,,,,,,,,,,,,,
49,,Female turnover,Number of employees identifying as female that ceased employment with Cleanaway within the reporting period.,,,,,,,,,,,,,,,
50,,Greenhouse gas,"A gas prescribed by Section 7A of the National Greenhouse and Energy Reporting Act 2007. Specific gases include carbon dioxide, methane, nitrous oxide, sulfur hexafluoride, and specified hydrofluorocarbons and perfluorocarbons.",,,,,,,,,,,,,,,
51,,Gross emissions,"Total Scope 1 and 2 greenhouse gas emissions before accounting for ACCUs, offsets, or similar carbon credits that have been added or subtracted to meet statutory obligations or on a voluntary basis.",,,,,,,,,,,,,,,
52,,Hours worked,"Count of the total number of hours worked by employees, non-permanent labour, large contractors and owner drivers on a 12-month rolling basis.",,,,,,,,,,,,,,,
53,,Infringement Notice,"Notice of financial penalty issued by a state or territory-based environmental regulator for breaches, allowing matter to be dealt with by fine rather than court proceedings.",,,,,,,,,,,,,,,
54,,Landfill gas,"A natural byproduct from the decomposition of organic material in landfills. Landfill gas is composed of roughly 50 percent methane (the primary component of natural gas), 50 percent carbon dioxide, and a small amount of non-methane organic compounds.",,,,,,,,,,,,,,,
55,,Landfill gas captured,The amount of landfill gas that is removed from a landfill through an engineered network of landfill gas wells and interconnecting flow lines. Fugitive landfill gas emissions arising from the surface of the landfill are not included in the amount of landfill gas captured.,,,,,,,,,,,,,,,
56,,Landfill gas flared,The total amount of landfill gas captured that has been inputted into a flare for combustion.,,,,,,,,,,,,,,,
57,,Landfill gas flared (%),"The ratio of landfill gas flared to landfill gas captured, expressed as a total percentage.",,,,,,,,,,,,,,,
58,,Landfill gas to third parties,The total amount of landfill gas that is transferred to third parties.,,,,,,,,,,,,,,,
59,,Landfill gas to third parties (%),"The ratio of landfill gas to third parties to landfill gas captured, expressed as a percentage.",,,,,,,,,,,,,,,
60,,Landfill gas used for energy,The total amount of landfill gas that is inputted into generators used to produce electricity.,,,,,,,,,,,,,,,
61,,Landfill gas used for energy (%),"The ratio of landfill gas used for energy to landfill gas captured, expressed as a percentage.",,,,,,,,,,,,,,,
62,,Large contractor,"An individual, company or other legal entity that provides goods and services to Cleanaway and carries out work or performs services under the direct supervision of Cleanaway. This does not include sub-contractors. Large contractors also includes outsourced off-panel labour utilised by Cleanaway in providing service delivery.",,,,,,,,,,,,,,,
63,,Lost Time Injury (LTI),"An injury or occupational illness arising out of, or in the course of, a worker's employment that results in the loss of one or more complete shifts. An LTI can be recorded any time after the day or shift on which the injury or illness occurred and is dated from when the incident occurred not when time was actually lost.",,,,,,,,,,,,,,,
64,,Male turnover,Number of employees identifying as male that ceased employment with Cleanaway within the reporting period.,,,,,,,,,,,,,,,
65,,Medical Treatment Injury (MTI),"An injury or illness which is not classified as a lost time injury, but which results in medical treatment other than what is defined under first aid treatment.",,,,,,,,,,,,,,,
66,,Non-permanent labour,Outsourced labour pool utilised by Cleanaway in complementing its regular employees in managing service delivery. Includes labour hire working arrangements procured through the Hay's contract.,,,,,,,,,,,,,,,
67,,Owner Driver,"An individual, company or other legal entity that provides both labour and vehicle (typically a cab chassis) to perform services under the direction of and on behalf of Cleanaway. Owner drivers complement Cleanaway's regular employees in providing service delivery.",,,,,,,,,,,,,,,
68,,Recordable Injury,"Employee or contractor (including non-permanent labour, contractor, large contractor and owner driver) work-related injury that results in an LTI or MTI.",,,,,,,,,,,,,,,
69,,Renewable energy generated from landfill gas,Generation of renewable electricity through the use of landfill gas as a fuel to drive electricity generators.,,,,,,,,,,,,,,,
70,,Scope 1 emissions,"Greenhouse gas emissions released to the atmosphere as a direct result of an activity, or series of activities at a facility level. This includes greenhouse gas emissions attributed to landfill gas management, combustion of fossil fuels in our fleet and stationary plant, and incineration of waste.",,,,,,,,,,,,,,,
71,,Scope 2 emissions,"Greenhouse gas emissions released to the atmosphere as a direct result of one or more activities that generate electricity, heating, cooling or steam that is consumed by the facility but that do not form part of the facility. This includes greenhouse gas emissions from the use of fossil fuel-generated electricity.",,,,,,,,,,,,,,,
72,,Total employee turnover,Number of total employees that ceased employment with Cleanaway within the reporting period.,,,,,,,,,,,,,,,
73,,Total net greenhouse gas emissions,Total scope 1 and 2 greenhouse gas emissions adjusted for the addback and surrender of ACCUs and the surrender of third-party carbon offsets.,,,,,,,,,,,,,,,
