Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,,6. Customers,,,,,,,,,,,,,,,,
2,,6.1 Number of customers by category,,,,,,,,,,,,,,,,
3,,,Municipal waste services,,,,Commercial and Industrial services,,,,Other/Health services,,,,,,,
4,,,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,
5,,Total number of customers,179,278,263,237,135274,138999,151784,148562,-,-,10328,16257,,,,
7,,6.2 Customer services (%),,,,,,,,,,,,,,,,
8,,,Municipal waste services,,,,Commercial and Industrial services,,,,,,,,,,,
9,,Service,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,
10,,Recycling,36,28.0,26.235741,62,23,22,18.161335,36,,,,,,,,
11,,Composting,27,22,15.589354,11,1,1,1.095636,3,,,,,,,,
13,,6.3 Customers by segment,,,,,,,,,,,,,,,,
14,,Segment,Organics and Composting,Recycling,Other,Total per segment,,,,,,,,,,,,
15,,Commercial and Industrial services,3790,53139,91633,148562,,,,,,,,,,,,
16,,Municipal waste services,26,146,65,237,,,,,,,,,,,,
17,,Health services,-,-,16257,16257,,,,,,,,,,,,
18,,Total services,3816,53285,107955,165056,,,,,,,,,,,,
