Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
70,,<20,,66,90.4,30,40,,24,36.9,42,70,,,,,,,,,,
71,,20Ã¢ÂÂ24,,574,25.4,750,34.6,,525,26.2,508,26,,,,,,,,,,
72,,25Ã¢ÂÂ34,,1825,14.9,2996,23.7,,2001,15.1,1510,11,,,,,,,,,,
73,,35Ã¢ÂÂ44,,1535,10.1,2417,16.1,,1633,11.1,1157,8,,,,,,,,,,
74,,45Ã¢ÂÂ54,,697,9.2,899,12.3,,792,11.1,601,9,,,,,,,,,,
75,,55Ã¢ÂÂ65,,405,11.9,459,13.7,,590,17.5,353,10,,,,,,,,,,
76,,>65,,87,17.2,144,31.3,,173,40.2,110,26,,,,,,,,,,
77,,Total,,"5,229 10",12.7,7695,18.8,,5738,14,4281,10.6,,,,,,,,,,
78,,Employee turnover by region,,,,,,,,,,,,,,,,,,,,
79,,Asia Pacific,,870,16.6,1419,25.3,,779,12.7,2105,32.5,,,,,,,,,,
80,,Australia,,2728,13.3,3775,18.5,,3398,16.8,3700,18.1,,,,,,,,,,
81,,New Zealand,,734,9.7,1035,13.8,,873,11.6,1143,17.9,,,,,,,,,,
82,,EAMEI11,,897,11.2,1466,19.6,,688,9.8,823,10.3,,,,,,,,,,
83,,Total,,5229,12.7,7695,18.8,,5738,14,4281,10.6,,,,,,,,,,
84,,"7. We have revised our methodology to provide a more accurate calculation of turnover. Care should be taken when comparing 2021 values to prior years. 8. Gender not disclosed for two employee, so turnover by gender total is less than turnover by age and region. 9. Gender not disclosed for one employee, so turnover by gender total is less than turnover by age and region. 10. Date of birth not disclosed for 40 employees, so turnover by age total is less than turnover by gender and region. 7. Europe, America, Middle East and India.",,,,,,,,,,,,,,,,,,,,
88,,DIVERSITY AND INCLUSION,,,,,,,,,,,,,,,,,,,,
90,,Women in leadership,,,2023,2022,2021,,,,,,,,,,,,,,,
91,,Total women in leadership (%)12,,,37.3,35.9,35.3,,,,,,,,,,,,,,,
92,,Total women in key management personnel (%)13,,,30,37.5,33.3,,,,,,,,,,,,,,,
93,,Total women in revenue generating leadership roles (%)14,,,32.2,30.2,-,,,,,,,,,,,,,,,
