Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"Whitehaven is the leading Australian producer of high-quality, high-CV thermal coal. Our thermal and metallurgical coal products are exported to premium markets in Asia.",,,,Whitehaven Coal,2023.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Whitehaven Coal Limited ('Whitehaven' or 'the Company') is a for-profit entity, and the principal activity of Whitehaven and its controlled entities (referred to as 'the Group') is the development and operation of coal mines in New South Wales and Queensland.",,,,Whitehaven Coal,2023.0,,,,,,56,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",,Reporting standards,,,Whitehaven Coal,2023.0,"We continue to regard the recommendations of the Financial Stability Board's Task Force on Climate-related Financial Disclosures (TCFD) and the Sustainability Accounting Standards Board (SASB) Coal Operations Standard. Our TCFD disclosures detail how we consider climate-related governance, strategy, risk management, metrics, and targets. A SASB Coal Standard Index, which indicates where each topic has been referenced in our disclosures, is included on the Sustainability page of our website.",,,,10,,,"TCFD, SASB, disclosures",13,E,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,This data has been subject to limited assurance by EY for NGER reporting.,,,,Whitehaven Coal,2023.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Vickery Extension Project,,,Whitehaven Coal,2023.0,"In April 2023, Whitehaven announced that the Board had approved a ~$150m investment to commence early mining of the Vickery coal deposit, which will utilise surplus coal processing and washing infrastructure capacity at the Gunnedah CHPP as well as existing road haulage, rail and port capacity. Work commenced in the June 2023 quarter to advance the Early Stage Mining project, including the design of temporary mine infrastructure facilities, preparation and tendering of construction works and mobilisation of a dedicated project and operations team to the site. Feasibility works are ongoing for the full-scale project, with an investment in full-scale development to be considered by the Board at an appropriate time.",,,,6,19,,"Investment, early mining, feasibility",16,E,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Winchester South open-cut metallurgical coal mine,,,Whitehaven Coal,2023.0,"On 31 March 2023, the Winchester South project team submitted the Response to Submissions Report to the Office of the Coordinator-General (OCG), which responded to all submissions received during the public notification of the Revised Draft Environmental Impact Statement (EIS) in December 2022. On 7 July 2023, the EIS was formally accepted by the OCG as the final EIS for the Winchester South project. The OCG is now preparing a report evaluating the EIS. The project continues to progress through the Queensland Government's coordinated approval process. The project team continues to complete a feasibility study with detailed studies underway across all project work streams.",,,,,19,,"Winchester South, EIS, feasibility",16,E,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Narrabri Stage 3 Extension,,,Whitehaven Coal,2023.0,The Narrabri Stage 3 Extension Project is an extension of the existing Narrabri underground mine. It will extend the longwall panels planned for the mining lease south of the current main roads into the contiguous Narrabri South Exploration Licence area and extend the approved life of the mine from 2031 to 2044.,,,,,19,,"Narrabri, extension, underground mine",16,E,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-7,Employees,"1,290 employees",,,,Whitehaven Coal,2023.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-8,Workers who are not employees,"1,457 contractors",,,,Whitehaven Coal,2023.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-9,Governance structure and composition,"Audit and Risk Management Committee, Remuneration Committee, Governance and Nomination Committee, Health, Safety, Environment and Community Committee.",,,,Whitehaven Coal,2023.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,"As part of appointing new Directors, the Governance and Nomination Committee undertakes appropriate background checks on potential appointees' character, experience, education, criminal record, and bankruptcy history. Equivalent checks are also undertaken before putting a candidate to shareholders for election as a Director.",,,,Whitehaven Coal,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-11,Chair of the highest governance body,"The Hon. Mark Vaile AO, Chairman Non-Executive Director, Appointed: 3 May 2012",,,,Whitehaven Coal,2023.0,,,,,,3,,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"The Board is responsible for approving and monitoring the implementation and execution of our ESG strategy and performance. It is supported by the advice from the Board Health, Safety, Environment and Community (HSEC) Committee and the Audit and Risk Management Committee.",,,,Whitehaven Coal,2023.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"Whitehaven's Managing Director and CEO, supported by the Executive Leadership Team, is responsible for implementing and managing the strategic approach set by the Board, including integration in operational strategies, action plans and reporting. The Managing Director and CEO have operational responsibility for sustainability matters. Other Executive Leadership Team members with particular responsibilities relating to sustainability matters include the Chief Financial Officer, Executive General Manager (EGM) Ã¢ÂÂ Health, Safety and Environment, the EGM Ã¢ÂÂ People & Culture, and the EGM Ã¢ÂÂ Corporate, Government & Community Affairs.",,,,Whitehaven Coal,2023.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,"The Board, with the assistance of the Audit and Risk Management Committee, is responsible for internal compliance and control frameworks and reviews. It also oversees our codes of ethics, conduct, and legal and regulatory compliance.",,,,Whitehaven Coal,2023.0,,,,,49,,,,,,,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-15,Conflict of interest,"Conflicts of interest arise if you participate in an activity or have financial or personal relationships where those interests or loyalties jeopardise or have the potential to jeopardise your objectivity, independence or otherwise be perceived to compromise you in your work at Whitehaven. We must professionally undertake all business activities and be alert when our interests align with our professional interests. If you are still determining, discuss a potential conflict of interest with management or Whitehaven's Company Secretary. You are expected to identify and disclose any conflict of interest immediately.",,,,Whitehaven Coal,2023.0,,,,,,,5,,,,,Code of conduct,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-16,Communication of critical concerns,"In addition to internal reporting channels, our independent whistleblower hotline, operated by Navex Global, allows individuals to report potential misconduct anonymously. All reports made are received and treated sensitively and thoughtfully and are dealt with promptly, fairly and objectively.",,,,Whitehaven Coal,2023.0,,,,,49,,,,,,,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,"The Board is committed to identifying and attracting suitably experienced leaders to ensure it has the right directors. In terms of composition, the Board believes that its current Directors possess an appropriate mix of skills, experience and diversity to enable the Board to discharge its responsibilities and deliver the Company's corporate objectives.",,,,Whitehaven Coal,2023.0,,,,,,,5,,,,,,,,,,,,,,,,,,,,
