Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
72,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-01,Energy consumption within the organization,"6,019 terajoules",,,,Whitehaven Coal,2023.0,,,,,57,,,,,,,,,,,,,,,,,,,,,,
74,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,302.0,Energy,302-03,Energy intensity,0.332 GJ/ROM t,,,,Whitehaven Coal,2023.0,,,,,57,,,,,,,,,,,,,,,,,,,,,,
76,,302.0,Energy,302-04,Reduction of energy consumption,"There's reduction from 6,108 terajoules to 6,019 terajoules.",,,,Whitehaven Coal,2023.0,,,,,57,,,,,,,,,,,,,,,,,,,,,,
77,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Water Management Plan,,,Whitehaven Coal,2023.0,Each of our operating mines has a Water Management Plan approved by the regulator and sets approval conditions for water quality management and monitoring. The Group Manager of Water and Property is responsible for implementing the strategy.,,,,35,,,"Water Management Plan, Water Recycling, Operating mines","6, 12",E,,,,,,,,,,,,,,,,,
79,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Rainwater Management and Mitigation,,,Whitehaven Coal,2023.0,"We employ initiatives that minimise operational impacts during high rainfall while maintaining compliant water management. The measures implemented during the year to manage excess water included increased dust suppression, irrigation, discharge treatment, and mechanical evaporator employment.",,,,35,,,"Rainwater, Water Management, Impact","6, 12",E,,,,,,,,,,,,,,,,,
80,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,Water management system,,,Whitehaven Coal,2023.0,"This year saw significant improvements in our water management systems, including the decommissioning of dams and the re-establishment of a natural drainage line at Maules Creek by an enforceable undertaking, the installation of evaporation fans at Narrabri and Tarrawonga to manage excess water accumulated from a period of record rainfall, and construction of a new 400 ML brine dam at Narrabri.",,,,35,,,"Water Management, Improvements, Initiatives","6, 12",E,,,,,,,,,,,,,,,,,
81,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Recycle water,,,Whitehaven Coal,2023.0,"We look to recycle water where we can. The prime operational area for water recycling is the CHPPs, where about 70% of water is recycled. It equates to 35% of total water use.",,,,35,,,"Water Recycling, CHPPs, Water used","6, 12",E,,,,,,,,,,,,,,,,,
