Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
36,,2.0,General Disclosures,2-30,Collective bargaining agreements,"We respect and support our employees' right to freedom of association and collective representation. Whitehaven has nine collective agreements across the business, and approximately 56% of our employees are covered by enterprise agreements.",,,,Whitehaven Coal,2023.0,,,,,20,,,,,,,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-1,Process to determine material topics,,AccountAbility AA1000AP Standard,,,Whitehaven Coal,2023.0,We conducted our first formal materiality assessment to define our material sustainability topics in FY21. This assessment aligned with the AccountAbility AA1000AP Standard and was informed by regular stakeholder engagement.,,,,9,,,"Materiality assessment, stakeholder engagement, approach",13,G,2.0,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-1,Process to determine material topics,,IFRS Sustainability Disclosure Standard S1,,,Whitehaven Coal,2023.0,"In FY23, we removed the topic' continuity during COVID-19' as it is no longer a material sustainability topic. The following formal review of our material sustainability issues will be conducted in FY24. It will integrate the requirements of the new IFRS Sustainability Disclosure Standard S1 Ã¢ÂÂ General Requirements for Disclosure of Sustainability-related Financial Information.",,,,9,,,"COVID-19, material sustainability topics, IFRS",13,G,2.0,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-1,Process to determine material topics,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-2,List of material topics,"Business, People, Environment, Communities, Conduct",,,,Whitehaven Coal,2023.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,,Climate Change Strategy,,,Whitehaven Coal,2023.0,"Our strategy is focused on supporting energy security and economic development in our customer countries while meeting decarbonisation goals. We help power developed and emerging economies, predominantly in Asia, where there continues to be a growing demand for our coal, particularly for use in high-efficiency, low-emissions coal-fired power stations.",,,,"9, 22",,,"Energy security, decarbonisation goals, emissions",13,G,,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-3,Management of material topics,,Community and Social Compact,,,Whitehaven Coal,2023.0,"Identify, develop and operate high-quality, long-life, lower-cost coal projects. Promote local economic growth and sustainability through permanent job creation and local procurement. Help build local community capacity and viability through direct and indirect intergenerational investment in education, health, skills and infrastructure. Instill community trust through responsible environmental stewardship and community partnerships. Leave an economic and social legacy that outlives mining operations.",,,,41,,,"Economic development, community, investment","8, 9, 11",G,1.0,,,,,,,,,,,,,,,,
43,,3.0,Material Topics,3-3,Management of material topics,,Community investment approach,,,Whitehaven Coal,2023.0,Our approach to community investment focuses on lasting impact by building long-term capacity and resilience and helping communities in areas of immediate need or concern. We do this by supporting a range of not-for-profit organisations and charities.,,,,47,,,"Community investment, not-for-profit organisations, approach",13,G,2.0,,,,,,,,,,,,,,,,
44,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,,Global energy security strategy,,,Whitehaven Coal,2023.0,Whitehaven's strategy is aligned with supporting global energy security during the multi-decade transition to a low-carbon economy. We expect the demand for high-quality coal in our export markets in Asia to continue for decades.,,,,"3, 32",,,"Global energy security, low-carbon economy, performance",13,G,,,,,,,,,,,,,,,,,
45,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,$1.65b in taxes and royalties paid or payable for FY23,,,,Whitehaven Coal,2023.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,
