Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
108,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste management plans,,,Whitehaven Coal,2023.0,"Our operated assets manage waste to meet site-specific waste management plans, Whitehaven's waste management standard and state and federal environmental regulatory requirements. We segregate, store, transport and dispose of waste to mitigate the risk of adverse environmental impacts.",,,,38,,,"Waste management, environment, regulatory requirements","6, 12, 13",E,,,,,,,,,,,,,,,,,
109,,306.0,Waste,306-02,Management of significant waste-related impacts,,Geochemical tests,,,Whitehaven Coal,2023.0,"While mineral waste is typically non-hazardous, we undertake geochemical tests to determine if it presents any risks as a source of pollution. Where such risks are identified, mineral waste is monitored and managed as required under our approvals to ensure appropriate encapsulation and non-polluting outcomes are achieved.",,,,38,,,"Risk, pollution, mineral waste","6, 12, 13",E,,,,,,,,,,,,,,,,,
110,,306.0,Waste,306-02,Management of significant waste-related impacts,,Australian Standards and Regulatory Requirements,,,Whitehaven Coal,2023.0,"Hazardous waste is classified, managed and disposed of by relevant Australian Standards and regulatory requirements and is periodically removed from our operations by licensed contractors. The primary dangerous waste our operations generate is all recycled waste oils.",,,,38,,,"Hazardous, waste, classification","6, 12, 13",E,,,,,,,,,,,,,,,,,
111,,306.0,Waste,306-03,Waste generated,6.6kt non hazardous and 2.7kt hazardous waste generated,,,,Whitehaven Coal,2023.0,,,,,38,,,,,,,,,,,,,,,,,,,,,,
112,,306.0,Waste,306-04,Waste diverted from disposal,"60% is non-mineral waste recycled, and 100% is hazardous waste recycled.",,,,Whitehaven Coal,2023.0,,,,,38,,,,,,,,,,,,,,,,,,,,,,
113,,306.0,Waste,306-05,Waste directed to disposal,"Coal projects (tailings) are co-disposed within overburden emplacements at each relevant mine site. The waste emplacements are appropriately designed by internal and third-party subject matter experts, managed to be safe, stable, and non-polluting, and are progressively shaped by dozers to enable land rehabilitation.",,,,Whitehaven Coal,2023.0,,,,,38,,,,,,,,,,,,,,,,,,,,,,
114,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,Environmental management approach,,,Whitehaven Coal,2023.0,"Our environmental management approach focuses on mitigating unavoidable impacts, rehabilitating disturbed areas, and offsetting residual effects that cannot be addressed. Our operational sites and development projects must adhere to our organisation-wide environmental management standards and procedures, site-specific commitments and regulatory requirements.",,,,"3, 34",,,"Environmental impact mitigation, Habitat restoration, Biodiversity preservation","6, 13",E,,,,,,,,,,,,,,,,,
115,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,Due diligence,,,Whitehaven Coal,2023.0,"In FY23, we completed due diligence on our key third-party labour-hire providers through a comprehensive self-assessment questionnaire. In all cases, we found no evidence of modern slavery practices in our supply chain.",,,,51,,,"Modern slavery due diligence, Supply chain scrutiny, Ethical business practices",8,S,,,,,,,,,,,,,,,,,
116,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Whitehaven Coal,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,401.0,Employment,401-01,New employee hires and employee turnover,,Graduate Program,,,Whitehaven Coal,2023.0,Our Graduate Program is a two-year development pathway that delivers a rich learning environment for graduates from various disciplines. This program builds their technical skills and core capabilities through on-the-job experience and formal development sessions.,,,,55,,,"Graduate Program development, Talent cultivation, Employee training","4, 8",S,,,,,,,,,,,,,,,,,
118,,401.0,Employment,401-01,New employee hires and employee turnover,,Employee Referral Policy,,,Whitehaven Coal,2023.0,"Our Employee Referral Policy, introduced in FY22 and incentivises existing staff to refer new talent to the business, successfully attracted several new employees during the year.",,,,17,,,"Employee Referral Policy implementation, Talent acquisition, Staff recruitment",8,S,,,,,,,,,,,,,,,,,
119,,401.0,Employment,401-01,New employee hires and employee turnover,,Workforce engagement survey,,,Whitehaven Coal,2023.0,"The most recent survey results showed our engagement level increased by 5% to 6.6 out of 10 (compared to the prior year). We had a survey participation rate of 62%. The sentiment of our workforce improved about goal setting, which means our people are clear about their priorities and why their work is essential. Management support and recognition reflect the positive impact of our STRIVE Values reward and recognition program.",,,,17,,,"Employee engagement survey results, Workforce sentiment, Organisational culture",8,S,,,,,,,,,,,,,,,,,
