Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2,,Sustainability Report 2023,,,,,,,,,,,,,,,,,
4,,Environmental responsibility,,,,,,,,,,,,,,,,,
6,,TERM / METRIC,DEFINITION,,,,,,,,,,,,,,,,
7,,Operational control,"TPG Telecom Limited is deemed to have operational control over operations or facilities where TPG Telecom Limited has the authority to introduce and implement any or all of the following in relation to the operation or facility:\n Ã¢ÂÂ¢ operating policies;\n Ã¢ÂÂ¢ health and safety policies; and\n Ã¢ÂÂ¢ environmental policies.\nWhere both TPG Telecom Limited and another party or parties (together, the relevant parties) have the ability to introduce and implement any or all of the policies above in relation to the operation or facility, TPG Telecom Limited is deemed to have operational control where this has been formally agreed by the relevant parties.",,,,,,,,,,,,,,,,
14,,Total energy consumed,"Total energy consumed by operations and facilities (across Australia, Philippines and Guam) considered to be under the operational control of TPG Telecom Limited. Energy sources include purchased electricity, transport fuel (petrol and diesel) and stationary fuel (diesel) or any other energy commodity, consistent with the definition of energy within Section 7 of the National Greenhouse and Energy Reporting Act 2007 (NGER Act)). Reported energy is based on measured consumption data, sourced from metering records or third-party invoices, wherever possible. Where metered or invoiced data is not available, estimates are used based on prior actual consumption or similar facility type.",,,,,,,,,,,,,,,,
19,,Australian electricity consumption: Total electricity consumed,"Total electricity consumed by Australian operations and facilities considered to be under the operational control of TPG Telecom Limited with energy source consisting of purchased electricity, heating, cooling or steam. Reported electricity is based on measured consumption data, sourced from metering records or third-party invoices, wherever possible. Where metered or invoiced data is not available, estimates are used based on prior actual consumption or similar facility type.",,,,,,,,,,,,,,,,
23,,Australian electricity consumption: Total renewable electricity,"Total renewable electricity consumed by operations and facilities across Australia considered to be under the operational control of TPG Telecom Limited. \nTotal renewable electricity is calculated using the approaches set out within the most recently published Corporate Emissions Reduction Transparency (CERT) report Guidelines published by the Clean Energy Regulator as at the end of the reporting period. \nActivity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
29,,Australian electricity consumption: Renewable electricity (as a percentage of total electricity consumed),Calculated using the definitions and approaches for the calculation of the 'renewable electricity percentage' set out within the most recently published Corporate Emissions Reduction Transparency (CERT) report Guidelines published by the Clean Energy Regulator as at the end of the reporting period.,,,,,,,,,,,,,,,,
31,,Scope 1 emissions,"The release of greenhouse gas into the atmosphere as a direct result of operations and facilities (across Australia, Philippines, and Guam) considered to be under the operational control of TPG Telecom Limited. Scope 1 emission sources for TPG Telecom Limited are primarily fuel combustion, which deals with emissions released from fuel combustion including transport fuel (petrol and diesel) and stationary fuel (diesel). Scope 1 emissions sources also include, where relevant, fugitive emissions from fuels, industrial processes emissions (including the emission of synthetic gases) and waste emissions. Scope 1 emissions are estimated using emission factors sourced from the most recently published National Greenhouse Accounts Factors as at the end of the reporting period and applied to activity data for each emission source. Activity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
39,,Scope 2 emissions,"The release of greenhouse gas into the atmosphere as a direct result of one or more activities that generate electricity, or where relevant heating, cooling or steam, that is consumed by an operation or facility (across Australia, Philippines and Guam) considered to be under TPG Telecom LimitedÃ¢ÂÂs operational control, but that do not form part of the operation or facility.",,,,,,,,,,,,,,,,
42,,Scope 2 emissions (location-based),"Scope 2 emissions (location based) are estimated by multiplying:\n Ã¢ÂÂ¢ the amount of energy consumed as electricity, heating, cooling or steam from external sources (the activity data); with\n Ã¢ÂÂ¢ location based emission factors sourced from the most recently published National Greenhouse Accounts Factors as at the end of the reporting period (for Australian operations or facilities) or the most recently published IEA Emissions Factors Database as at the end of the reporting period (for all other operations or facilities).\nActivity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
49,,Scope 2 emissions (market-based),"Scope 2 emissions (market based) is TPG Telecom LimitedÃ¢ÂÂs primary method for reporting of Scope 2 emissions. Scope 2 (market based) emissions are calculated using the approaches set out within the most recently published Corporate Emissions Reduction Transparency (CERT) Report Guidelines published by the Clean Energy Regulator as at the end of the reporting period. Scope 2 (market based) emissions are estimated utilising:\n Ã¢ÂÂ¢ the amount of energy consumed as electricity, heating, cooling or steam from external sources (the activity data);\n Ã¢ÂÂ¢ emission factors, including the national emissions factor for indirect (Scope 2) emissions from consumption of purchased electricity from a grid, sourced from the most recently published National Greenhouse Accounts Factors (the NGA Factors) (for Australian operations or facilities) and from the most recently published IEA Emissions Factors Database (for all other facilities), as at the end of the reporting period; and\n Ã¢ÂÂ¢ the renewable power percentage (RPP) for Australia for the year and the jurisdictional renewable power percentage (JRPP) for the year as set out within the most recently published CERT Progress Calculator as at the end for the reporting period.\nActivity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
60,,Scope 1+2 emissions (location-based),Total Scope 1 and Scope 2 emissions location-based as defined above.,,,,,,,,,,,,,,,,
61,,Scope 1+2 emissions (market-based),Total Scope 1 and Scope 2 emissions market-based as defined above.,,,,,,,,,,,,,,,,
62,,Scope 3 emissions,"Scope 3 emissions are indirect releases of greenhouse gas into the atmosphere, other than those emissions considered Scope 2 emissions, which occur outside of the boundary of TPG Telecom Limited as a result of actions by operations and facilities under the operational control of TPG Telecom Limited. Scope 3 emissions may occur:\nÃ¢ÂÂ¢ upstream, such as the emissions generated in the extraction and production of fossil fuels, or the production of goods and services purchased by TPG Telecom Limited; and\nÃ¢ÂÂ¢ downstream, such as the emissions from transport of an TPG Telecom LimitedÃ¢ÂÂs product to customers, or the emissions from outsourced activities.\nScope 3 emissions are categorised using the categories set out within the Corporate Value Chain (Scope 3) Accounting and Reporting Standard issued by the Greenhouse Gas Protocol.",,,,,,,,,,,,,,,,
70,,Scope 3 - Categories 1 & 2: Purchased goods and services & Capital goods,"Purchased goods and services & Capital goods (Scope 3 - Categories 1 & 2) represent indirect releases of greenhouse gas into the atmosphere associated with goods and services purchased by TPG Telecom Limited where these goods and services have not been included within another Scope 3 emissions category.\nPurchased goods and services & Capital goods emissions are estimated utilising:\n Ã¢ÂÂ¢ the amount of purchased goods and services (the activity data) and/or the expenditure on these goods and services (the spend data);\n Ã¢ÂÂ¢ the results of lifecycle assessments (LCAs) undertaken in relation to selected goods or services provided directly by the supplier or sourced from the Ecoinvent database at the end of the reporting period;\n Ã¢ÂÂ¢ spend based emission factors sourced from the EEIO-IELabs database (published by IELabs) and CEDA database (published by Watershed) at the end of the reporting period;\n Ã¢ÂÂ¢ supplier specific spend based emissions factors calculated utilising the most recently available publicly disclosed greenhouse gas emissions and revenue of the supplier; and\n Ã¢ÂÂ¢ activity based emission factors sourced from the most recent Government conversion factors for company reporting of greenhouse gas emissions issued by the Department for Business, Energy & Industrial Strategy (UK) (the BEIS factors) at the end of the reporting period.\n Ã¢ÂÂ¢ emission factors sourced from the most recently published NGA Factors as at the end of the reporting period.\nActivity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, spend data maintained in the financial records of TPG Telecom Limited is utilised.\nSpend related to activities or instruments not resulting in the indirect release of greenhouse gas emissions such as regulatory payments, taxes and financial instruments are not included within the estimation of Purchased goods and services & Capital goods emissions.",,,,,,,,,,,,,,,,
88,,Scope 3 Ã¢ÂÂ Category 3: Fuel- and energy-related emissions,"Fuel- and energy-related emissions (Scope 3 - Category 3) represents indirect releases of greenhouse gas into the atmosphere associated with production, transmission and distribution of stationary fuel, transport fuel and electricity consumed by operations and facilities under the operational control of TPG Telecom Limited. \nFuel and energy-related emissions are estimated utilising:\n Ã¢ÂÂ¢ a combination of emission factors from the most recently published NGA Factors, IEA Emissions Factors Database and Ecoinvent database relevant to the fuel and energy consumed by operations and facilities under the operational control of TPG Telecom Limited, as at the end of the reporting period; and\n Ã¢ÂÂ¢ the amount of transport fuel, stationery fuel and electricity consumed by operations and facilities under the operational control of TPG Telecom Limited (the activity data).\nActivity data is based on measured consumption data sourced from metering records or third-party invoices wherever possible. Where metered or invoiced data is not available, activity data is estimated based on prior actual consumption or similar facility types or operations.",,,,,,,,,,,,,,,,
99,,Scope 3 Ã¢ÂÂ Category 4: Upstream transportation and distribution,"Upstream transportation and distribution emissions (Scope 3 - Category 4) represents the indirect releases of greenhouse gas into the atmosphere associated with upstream transportation and distribution of products purchased by TPG Telecom Limited.\nUpstream transportation and distribution emissions are estimated utilising:\nÃ¢ÂÂ¢ the amount/number of products purchased; \nÃ¢ÂÂ¢ the results of LCAs undertaken in relation to selected products, including upstream transportation of the products, provided directly by the supplier; and\n Ã¢ÂÂ¢ activity based emission factors sourced from the most recent Government conversion factors for company reporting of greenhouse gas emissions issued by the Department for Business, Energy & Industrial Strategy (UK) (the BEIS factors) at the end of the reporting period. \nThe amount/number of products purchased is based on inventory records maintained in the financial records of TPG Telecom Limited.\nThe upstream transportation and distribution of specific network related capital expenditure are excluded from this category and included in category 1&2 where the results of LCAs for the capital expenditure includes these emissions but where these cannot be separated from the product-based emissions determined by the LCA.",,,,,,,,,,,,,,,,
110,,Scope 3 Ã¢ÂÂ Category 5: Waste generated in operations,"Waste generated in operations emissions (Scope 3 - Category 6) represents the indirect releases of greenhouse gas into the atmosphere associated with waste generated by operations and facilities under the operational control of TPG Telecom Limited including waste generated at offices, retail sites, warehouses and network facilities.\nWaste generated in operations emissions are estimated utilising:\n Ã¢ÂÂ¢ third-party waste reports and waste generation estimates for operations or facilities with no available waste reports based on the number of employees working at the operation or facility (the activity data) for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and \n Ã¢ÂÂ¢ emission factors sourced from the most recently published NGA Factors or BEIS Factors as at the end of the reporting period.",,,,,,,,,,,,,,,,
118,,Scope 3 Ã¢ÂÂ Category 6: Business travel,"Business travel emissions (Scope 3 - Category 6) represents the indirect releases of greenhouse gas into the atmosphere associated with our employees' business travel. Emission sources include air and land travel and accommodation.\nBusiness travel emissions are estimated utilising:\n Ã¢ÂÂ¢ third-party air travel reports and financial records of TPG Telecom Limited covering kilometres reimbursement, spend data on land transport (rentals, taxis, other) and number of accommodation days for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and \n Ã¢ÂÂ¢ emission factors sourced from the most recently published BEIS Factors and CEDA database (published by Watershed) as at the end of the reporting period.",,,,,,,,,,,,,,,,
126,,Scope 3 Ã¢ÂÂ Category 7: Employee commuting,"Employee commuting emissions (Scope 3 - Category 7) represents releases of greenhouse gas into the atmosphere associated with our employees commuting and working from home.\nEmployee commuting emissions are estimated utilising:\n Ã¢ÂÂ¢ an estimated average distance travelled by staff when commuting to work for different modes of transport based on the results of the Australian Bureau of Statistics census (2016) for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; \n Ã¢ÂÂ¢ the number of staff working from office or home, determined using data from security access to the largest TPG Telecom Limited office facilities and extrapolated to all office facilities for 2021 baseline year. For consecutive years the activity data was estimated by adjusting the baseline year data by the changes in number of employees year on year; and \n Ã¢ÂÂ¢ emission factors sourced from the most recently published BEIS Factors, IEA Emissions Factors Database, and Anthesis Paper 2021 (covering estimating energy and emissions for remote working).",,,,,,,,,,,,,,,,
137,,Scope 3 Ã¢ÂÂ Category 8: Upstream leased assets,"Upstream leased asset emissions (Scope 3 - Category 8) represents indirect releases of greenhouse gas into the atmosphere associated with the operation of assets that are leased by TPG Telecom Limited and not already included in the reporting of TPG Telecom LimitedÃ¢ÂÂs Scope 1 or Scope 2 emissions.\nUpstream leased asset emissions are estimated utilising:\n Ã¢ÂÂ¢ emission factors sourced from the most recently published NGA Factors as at the end of the reporting period; and\n Ã¢ÂÂ¢ consumption data sourced from metering records, third party invoices or building lease data wherever possible. Where metered, invoiced or lease data is not available, activity data is estimated based on the NABERS building rating for the facility, leased building energy consumption as published by NABERS and apportioning to leased area of TPG Telecom Limited where TPG Telecom Limited is one of a number of tenants leasing an area within the facility.\nUpstream leased asset emissions include only indirect releases of greenhouse gas into the atmosphere associated\nwith the consumption of electricity at leased assets as it is the only source of emissions considered material.",,,,,,,,,,,,,,,,
