Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Task Force on Climate-Related Financial Disclosures,,,,,,
5,,,TCFD - Overview,,,,Links to key Qantas documents,
6,,,,,,,FY22 Sustainability Report,Link
15,,,TCFD recommendation,,Qantas' reference\nLinks provided below table,,,
17,,,Governance,BoardÃ¢ÂÂs oversight of climate-related risks and opportunities.,"FY22 Sustainability Report (pages 11, 16, 26)",,,
18,,,,ManagementÃ¢ÂÂs role in assessing and managing climate-related risks and opportunities.,FY22 Sustainability Report (page 26),,,
19,,,Strategy,"Climate-related risks (opportunities and threats) identified over short, medium and long term.",FY22 Sustainability Report (pages 18 to 19),,,
20,,,,"Impacts of climate-related risks (opportunities and threats) on organisationÃ¢ÂÂs businesses, strategy and financial planning.",FY22 Sustainability Report (pages 18 to 19),,,
21,,,,"Resilience of organisation's strategy taking into account different climate scenarios, including 2 degree scenario.",FY22 Sustainability Report (pages 18 to 19)\nFY22 Annual Report (page 72),,,
22,,,Risk Management,Processes for identifying and assessing climate-related risks.,"FY22 Sustainability Report (pages 18, 26)",,,
23,,,,Processes for managing climate-related risks.,"FY22 Sustainability Report (pages 18, 26)",,,
24,,,,"How processes for identifying, assessing, and managing climate-related risks are integrated into the organizationÃ¢ÂÂs overall risk management.",FY22 Sustainability Report (page 26),,,
25,,,Metrics and Targets,Metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.,FY22 Sustainability Report (page 26),,,
26,,,,"Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.","FY22 Sustainability Report (page 26, 59)",,,
27,,,,Targets used by the organization to manage climate-related risks and opportunities and performance against targets.,FY22 Sustainability Report (page 16),,,
