Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Global Reporting Initiative ,,,,,,,
,,,,,,,,
,This Report has been prepared in accordance with the Global Reporting Initiative (GRI) Standards: Core option.,,,,,,,
,,,,,,,,
,,,,,,,,
,,GRI - Overview,,,,,Links to key Qantas documents,
,,,,,,,Qantas Group website,Link
,,,,,,,Qantas Business Practices,Link
,,DISCLOSURE NUMBER,     DISCLOSURE TITLE,"QANTAS REFERENCE
Links provided in table to the right",,,2021 Modern Slavery Statement,Link
,,,,,,,FY22 Sustainability Report,Link
,,GENERAL DISCLOSURES,,,,,FY22 Annual Report,Link
,,Organisational profile,,,,,Qantas Constitution,Link
,,102-1,Name of the organization,"FY22 Sustainability Report  (page 7)
Qantas Constitution",,,Qantas Inclusion and Diversity Policy,Link
,,102-2,"Activities, brands, products, and service",FY22 Sustainability Report  (page 6),,,Governance section of Qantas Group website,Link
,,102-3,Location of headquarters,"Qantas Constitution
FY22 Annual Report (page 148) ",,,,
,,102-4,Location of operations,Our network and partner airlines | Qantas,,,,
,,102-5,Ownership and legal form,Qantas Constitution,,,,
,,102-6,Markets served,Our network and partner airlines | Qantas,,,,
,,102-7,Scale of the organization,FY22 Sustainability Report  (page 6),,,,
,,102-8,Information on employees and other workers,FY22 Sustainability Report  (page 58),,,,
,,102-9,Supply chain,FY22 Sustainability Report  (page 13),,,,
,,102-10,Significant changes to the organization and its supply chain,FY22 Sustainability Report  (page 6),,,,
,,102-11,Precautionary Principle or approach,FY22 Sustainability Report (pages 16 to 26),,,,
,,102-12,External initiatives,Sustainability Report (page 9),,,,
,,102-13,Membership of associations,FY22 Sustainability Report  (page 9),,,,
,,Strategy,,,,,,
,,103-14,Statement from senior decision-maker,FY22 Sustainability Report  (pages 2 to 3),,,,
,,103-15,"Key impacts, risks, and opportunities",FY22 Annual Report (pages 24 to 26) ,,,,
,,,Ethics and integrity,,,,,
,,102-16,"Values, principles, standards, and norms of behaviour",Qantas  Business Practices,,,,
,,,Governance,,,,,
