Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
3,,CUSTOMERS,,,,,,,,,,
11,,NUMBER OF CUSTOMERS AND ACCOUNTS,,2023.0,2022.0,2021,,,,,,
12,,Total customers (millions)1,,12.99,12.7,13.9,,,,,,
13,,Digitally active customers (millions)2,,5.8,5.48,5.24,,,,,,
14,,Number of debit card accounts (millions)3,,6273.0,5678.0,5398,,,,,,
15,,Number of credit card accounts (millions)4,,1812.0,1835.712,1929.292,,,,,,
16,,Number of ATMs,,1412.0,1637.0,1868,,,,,,
17,,Australia5,,879.0,1071.0,1270,,,,,,
18,,New Zealand,,413.0,439.0,464,,,,,,
19,,Pacific,,120.0,127.0,134,,,,,,
20,,Number of branches,,786.0,877.0,997,,,,,,
21,,Australia6,,644.0,732.0,851,,,,,,
22,,New Zealand,,112.0,115.0,116,,,,,,
23,,Pacific,,30.0,30.0,30,,,,,,
24,,1. Refer to this link in the 'Glossary' for the definition of total customers. The variance over the last two years has been due to business exits.,,,,,,,,,,
25,,2. Refer to this link in the 'Glossary' for the definition of digitally active customers,,,,,,,,,,
26,,"3. Refer to this link in the 'Glossary' for the definition of number of debit card accounts. In FY23, we aligned our approach for debit or pre-paid account identification across our brands. Prior periods have not been restated as this change did not result in a material difference.",,,,,,,,,,
27,,4. Refer to this link in the 'Glossary' for the definition of number of credit card accounts,,,,,,,,,,
28,,5. Refer to this link in the 'Glossary' for the definition of number of ATMs.,,,,,,,,,,
29,,"6. Relates to all points of presence including multibrand co-located branches (FY23: 82), as well as Staff Branches, Advisory, Community Banking Centres and Kiosks (FY23: 10). Refer to this link in the 'Glossary' for the definition of number of branches.",,,,,,,,,,
32,,HELPING IN MOMENTS THAT MATTER - Australia,,2023.0,2022.0,2021,,,,,,
33,,Number of customers provided with natural disaster relief packages1,,0.0,1633.0,709,,,,,,
34,,Number of cases escalated through our specialist customer care teams2,,71182.0,42346.0,33429,,,,,,
35,,Number of approved applications for financial assistance from customers experiencing financial hardship3,,32097.0,36139.0,81062,,,,,,
36,,1. Refer to this link in the 'Glossary' for the definition of customers provided with natural disaster relief packages.,,,,,,,,,,
