Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TARGETS,"TARGET
BY 2025","TARGET
BY 2030",BASE YEAR,BASELINE,CHANGE FROM BASE YEAR (%),CHANGE FROM 2022 (%),,,,,,,,,,,,,,,,,,,,
,"Direct Operational Scope 1 & 2 Greenhouse Gas Emissions (tCO2-e)1,2,3",64% reduction,76% reduction,2021,62360,-0.6624759461193073,-0.521973155276964,,,,,,,,,,,,,,,,,,,,
,"Scope 3 Upstream Greenhouse Gas Emissions (tCO2-e)1,4",-,50% reduction,2021,97891,-0.37640845430121256,-0.03681146157123247,,,,,,,,,,,,,,,,,,,,
,"Electricity sourced from Renewables (%)5,6",1,Maintain,,,0.7008506021823213,0.20598725712559351,,,,,,,,,,,,,,,,,,,,
,Water consumption in Australian workplaces (kL)7,15% reduction,-,2020,357814,-0.421123824109733,0.026788812547713235,,,,,,,,,,,,,,,,,,,,
,"Waste diversion from landfill, Australian commercial sites (%)8",80% diversion rate,85% diversion rate,,0.7,0.78,-0.21098265895953758,,,,,,,,,,,,,,,,,,,,
,1. For our scope 1 & 2 direct operational and scope 3 upstream targets we are using a market-based accounting method for emissions calculation. The 2021 baselines for these targets have been adjusted for COVID-19 pandemic and other impacts.,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Refer to this link in the 'Glossary' for the definition of total scope 1 greenhouse gas emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Refer to this link in the 'Glossary' for the definition of total scope 2 greenhouse gas emissions (market-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (market-based). Scope 3 Upstream Emissions reduced 15% since 2021, 38% relative to 2021 baseline which included uplifts for COVID.",,,,,,,,,,,,,,,,,,,,,,,,,,
,5. Refer to this link in the 'Glossary' for the definition of renewable electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,
