Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
,,
,,
,REFERENCES,
,,
,,
,,
,,
,,
,,
,,
,TOPIC COVERED (LINKED TO SOURCE),LINK
,Modern Slavery Statement FY22,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,2022 Safer Children Safer Communities Progress Report ,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/safer-children-safer-communities/
,2022 - 2025 Reconciliation Action Plan,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/ReconciliationActionPlan.pdf
,2023 Annual Report,westpac.com.au/about-westpac/investor-centre/annual-report/
,2023 Corporate Governance Statement ,westpac.com.au/about-westpac/investor-centre/annual-report/
,2023 Investor Discussion Pack,westpac.com.au/about-westpac/investor-centre/annual-report/
,2023 Climate Report,westpac.com.au/about-westpac/investor-centre/annual-report/
,"Pillar 3 Report, September 2023",westpac.com.au/about-westpac/investor-centre/annual-report/
,Agribusiness Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Anti-Bribery & Corruption Policy,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/4255833/wg-anti-bribery-and-corruption-policy.pdf
,Child Safeguarding Supplement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/safer-children-safer-communities/
,Discrimination Harassment Bullying Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
,Family or Domestic Violence Position Statement ,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Financial Inclusion Action Plan,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,"Health, Safety and Wellbeing Policy",westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
,Human Rights Position Statement and Action Plan,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Natural Capital Position Statement ,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Inclusion and Diversity Policy,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Industry Associations and Engagements,westpac.com.au/about-westpac/sustainability/governance-and-accountability/industry-associations/ 
,Injury Management and Rehabilitation Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
,Listening to Stakeholders,westpac.com.au/about-westpac/sustainability/governance-and-accountability/listening-to-stakeholders/ 
,Our Code of Conduct,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
,Payday Lending Position,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Principles for Responsible Lending ,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Responsible Sourcing Code of Conduct,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/Responsible-Sourcing-Code-of-Conduct.pdf
,Sexual Harassment Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
,Speaking Up Policy,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/WBC-speaking-up-policy.pdf
,Supplier Inclusion and Diversity Principles,westpac.com.au/about-westpac/sustainability/initiatives-for-you/suppliers-inclusion-diversity/
,Tobacco Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
,Sustainable Finance Framework,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/sustainable-lending/
,2030 Sustainability Strategy,westpac.com.au/about-westpac/sustainability/our-strategy/
