Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,WESTPAC SUSTAINABILITY STRATEGY,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,IMPACT,PILLAR,AMBITION,2023 MEASURES,SDG INDEX,PERFORMANCE,REFERENCE,,
,Local,Helping when it matters most,"Supporting 
customers and 
businesses 
through times 
of change and 
hardship",Number of customers supported with relief packages,,"There were no declared disaster events in Australia in FY23, therefore no customers were supported with natural disaster relief packages1. However, over 32,000 customers were still provided with financial hardship packages for other reasons.",tab Customer,,
,,,,"Number of customers who received
assistance through specialist customer care teams",,"71,182 customers assisted through our specialist customer care teams in FY232",tab Customer,,
,,,,Partnerships to support greater resilience for our customers and communities,,Refer to our 2023 Annual Report (Creating value for customers; Creating value for the community),,,
,,,"Supporting 
financial 
wellbeing","Westpac customers who believe Westpac ""helps people in moments that matter""",,52% of Australians agree that Westpac helps people in moments that matter over six months ending September 20233,,,
,,,,"Westpac Indigenous Call Centre Teams will support more than 20,000 unique customers by 30th September 2025.",,"4,551 unique customers4 supported in FY23
8,837 unique customers4 supported since April 2022",tab RAP,,
,,,,Products and resources tailored to support young Australians to save and prepare for the future,,"~344,000 8 to 29-year-olds credited with over $12m in Spend&Save bonus interest in FY23. 50,000 of them put these savings toward their first home or property.

Partnership with the Year 13 FinLit Academy to help empower school leavers with the knowledge to make better informed financial decisions for their future.",,,
,National,Backing a stronger Australia and New Zealand ,"Backing people, 
jobs and 
ideas shaping 
Australia’s 
future","Three year target for the period FY21-FY23: 
$54 million spend with diverse suppliers, of which $13 million are Indigenous-owned businesses",,"$27.9m spend with diverse suppliers5, including $6.3m with Indigenous Australian suppliers6 in FY23
$60.1m spend with diverse suppliers5, including $16.6m with Indigenous Australian suppliers6 since FY21",tab Suppliers,,
,,,,"Three year target for the period FY21-FY23: 
300 new scholarships awarded by Westpac Scholars Trust",,"100 new scholarships awarded by Westpac Scholars Trust7 in FY23. 
737 active scholars8 supported since FY15",,,
,,,,"Three year target for the period FY21-FY23: 
5,000 jobs created through Westpac Foundation-supported social enterprises",,"1,238 jobs created via Westpac Foundation9 supported social enterprises, 6 months to Jun 23 (7,240 jobs created since FY15). Also created 1,766 jobs via Westpac Foundation9 supported community partners in FY23",,,
,,,,Customers supported to move to more sustainable business models,,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
,,,"Helping 
Australians 
respond to 
climate change", $3.5 billion of new lending to climate change solutions by 2023 and $15 billion by 2030,,"$2.6bn of new lending to climate change solutions10 in FY23 
$6.5bn of new lending to climate change solutions10 since FY20 (exceeding our 2023 target)",tab Lending,,
,,,,Development of sustainability linked products and services,,Refer to our 2023 Annual Report (Creating value for the environment); and 2023 Climate Report (Strategy),,,
