Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
3,,THE UN GUIDING PRINCIPLES REPORTING FRAMEWORK,,,,,,,,,,,,,,,,,,,,,,,,,
4,,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,,,,,,,,,,,,,,,,,,,,,,,
14,,UNGP REPORTING FRAMEWORK CRITERIA,WESTPAC RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,
15,,PART A: GONVERNANCE OF RESPECT FOR HUMAN RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
16,,POLICY COMMITMENT,,,,,,,,,,,,,,,,,,,,,,,,,
17,,A1 What does the company say publicly about its commitment to respect human rights?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'),,,,,,,,,,,,,,,,,,,,,,,,
18,,A1.1 How has the public commitment been developed?,See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'),,,,,,,,,,,,,,,,,,,,,,,,
19,,A1.2 Whose human rights does the public commitment address?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'),,,,,,,,,,,,,,,,,,,,,,,,
20,,A1.3 How is the public commitment disseminated?,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage'), Section 5 ('Management of our Position Statement and Action Plan'), and Section B.2 ('Our plan'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
21,,EMBEDDING RESPECT FOR HUMAN RIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
22,,A2 How does the company demonstrate the importance it attaches to the implementation of its human rights commitment?,See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'),,,,,,,,,,,,,,,,,,,,,,,,
23,,"A2.1 How is day-to-day responsibility for human rights performance organized within the company, and why?",See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'); Modern Slavery Statement FY22: Section 3 ('Governance and oversight'); and 2023 Annual Report: Section 2 ('Group Performance: Sustainability governance and risk management'),,,,,,,,,,,,,,,,,,,,,,,,
24,,"A2.2 What kinds of human rights issues are discussed by senior management and by the Board, and why?",See our Human Rights Position Statement and Action Plan: Section 5 ('Management of our Position Statement and Action Plan'); Modern Slavery Statement FY22: Section 3 ('Governance and oversight'); and 2023 Annual Report: Section 2 ('Sustainability governance and risk management'),,,,,,,,,,,,,,,,,,,,,,,,
25,,A2.3 How are employees and contract workers made aware of the ways in which respect for human rights should inform their decisions and actions?,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage') and Section 4 ('Focus areas'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
26,,A2.4 How does the company make clear in its business relationships the importance it places on respect for human rights?,See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights') and Section 4 ('Focus areas'),,,,,,,,,,,,,,,,,,,,,,,,
27,,"A2.5 What lessons has the company learned during the reporting period about achieving respect for human rights, and what has changed as a result?",See our 2023 Annual Report ('Creating value for the community') and our Modern Slavery Statement FY22: Section 5 ('Our actions to assess and address modern slavery risk') and Section 6 ('Assessing effectiveness'),,,,,,,,,,,,,,,,,,,,,,,,
28,,PART B: DEFINING THE FOCUS OF REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,
29,,B1 Statement of salient issues: State the salient human rights issues associated with the companyÃ¢ÂÂs activities and business relationships during the reporting period.,"See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures. \n\nSee our 2022 Annual Report: Section 1 ('Strategic Review: Human Rights') for an overview of the salient human rights issues we have identified to date.",,,,,,,,,,,,,,,,,,,,,,,,
30,,"B2 Determination of salient issues: Describe how the salient human rights issues were determined, including any input from stakeholders.","See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
31,,"B3 Choice of focal geographies: If reporting on the salient human rights issues focuses on particular geographies, explain how that choice was made.","See our Human Rights Position Statement and Action Plan: Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
32,,"B4 Additional severe impacts: Identify any severe impacts on human rights that occurred or were still being addressed during the reporting period, but which fall outside of the\nsalient human rights issues, and explain how they have been addressed.","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
