Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
,,,,
,GRI CONTENT INDEX,,,
,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,GRI STANDARD NUMBER,DISCLOSURE,WESTPAC RESPONSE,SDG INDEX
,GRI 2: General Disclosures 2021,"Disclosure 2-1 Organizational details
The organization shall:
a. report its legal name;
b. report its nature of ownership and legal form;
c. report the location of its headquarters;
d. report its countries of operation.","a. Westpac Banking Corporation
b. Publicly listed company limited by shares under the Australian Corporations Act 2001 (Cth)
c. 275 Kent Street, Sydney NSW 2000, Australia
d. See our Website: Global locations",
,,"Disclosure 2-2 Entities included in the organization’s sustainability reporting
The organization shall:
a. list all its entities included in its sustainability reporting;
b. if the organization has audited consolidated financial statements or financial information filed on public record, specify the differences between the list of entities included in its financial reporting and the list included in its sustainability reporting;
c. if the organization consists of multiple entities, explain the approach used for consolidating the information, including:
i. whether the approach involves adjustments to information for minority interests;
ii. how the approach takes into account mergers, acquisitions, and disposal of entities or parts of entities;
iii. whether and how the approach differs across the disclosures in this Standard and across material topics.","a. Includes Westpac Banking Corporation and its controlled entities (unless stated otherwise)
b. 2023 Annual Report: Financial Statement Notes for investments due to subsidiaries and associates. This does not include philanthropic foundations that are not owned or operated by the Group.
c. See our Website: Our businesses",
,,"Disclosure 2-3 Reporting period, frequency and contact point
The organization shall:
a. specify the reporting period for, and the frequency of, its sustainability reporting;
b. specify the reporting period for its financial reporting and, if it does not align with the period for its sustainability reporting, explain the reason for this;
c. report the publication date of the report or reported information;
d. specify the contact point for questions about the report or reported information.","a. Annual reporting for 1 October 2022 to 30 September 2023, unless stated otherwise
b. Sustainability and financial reporting is aligned
c. 6 November 2023
d. Email: sustainability@westpac.com.au",
,,"Disclosure 2-4 Restatements of information
The organization shall:
a. report restatements of information made from previous reporting periods and explain:
i. the reasons for the restatements;
ii. the effect of the restatements.","a. Where relevant, prior period figures have been restated when more accurate data has become available and/or when there have been material changes to the methodologies for data calculation and estimation, and/or data errors have been identified. All restatements have been highlighted within the relevant data sheets, including footnotes to explain the reason for restatement.",
,,"Disclosure 2-5 External assurance
The organization shall:
a. describe its policy and practice for seeking external assurance, including whether and how the highest governance body and senior executives are involved;
b. if the organization’s sustainability reporting has been externally assured:
i. provide a link or reference to the external assurance report(s) or assurance statement(s);
ii. describe what has been assured and on what basis, including the assurance standards used, the level of assurance obtained, and any limitations of the assurance process;
iii. describe the relationship between the organization and the assurance provider.","a. See our 2023 Annual Report: Corporate Governance. The Board approves our external assurance scope of work annually. 
b.i. See PwC Assurance Statement on our website.
b.ii. We obtained independent assurance over certain information in this spreadsheet, including a selection of key sustainability performance data and assertions made in our 2023 Annual Report and 2023 Climate Report. Refer to westpac.com.au/sustainability ('Performance Reports' page) for further details.
b.iii. PwC is both the financial statement auditor and sustainability assurance provider to Westpac. See our Auditor's independence declaration in our Annual Report.",
