Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
53,,,"201-4 Financial assistance received from government\na. Total monetary value of financial assistance received by the organization from any government during the reporting period, including:\ni. tax relief and tax credits\nii. subsidies\niii. investment grants, research and development grants, and other relevant types of grant\niv. awards\nv. royalty holidays\nvi. financial assistance from Export Credit Agencies (ECAs)\nvii. financial incentives\nviii. other financial benefits received or receivable from any government for any operation\nb. The information in 201-4-a by country.\nc. Whether, and the extent to which any government is present in the shareholding structure.","a. to c. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
54,,PROCUREMENT PRACTICES,,,
55,,GRI 204: \nProcurement Practices 2016,204-1 Proportion of spending on local suppliers\na. Percentage of the procurement budget used for significant locations of operation that is spent on suppliers local to that operation (such as percentage of products and services purchased locally).\nb. The organizationÃ¢ÂÂs geographical definition of Ã¢ÂÂlocalÃ¢ÂÂ.\nc. The definition used for Ã¢ÂÂsignificant locations of operationÃ¢ÂÂ.,"a. to c. See our 2023 Sustainability Index and Datasheet: tabs Suppliers (Total supplier and other relevant third party spend table) and Glossary\n\nAs appropriate, we may consider enhancing our disclosures for this topic in coming years.",
56,,ANTI-CORRUPTION,,,
57,,GRI 205: \nAnti-corruption 2016,205-1 Operations assessed for risks related to corruption\na. Total number and percentage of operations assessed for risks related to corruption.\nb. Significant risks related to corruption identified through the risk assessment.\n,"a. Our Risk Management Strategy applies to all our people within Westpac and its subsidiaries. Each of our operations are assessed for bribery and corruption risk as part of our enterprise risk management process.\n\nb. Information on our risk management process can be found in the 2023 Annual Report (Risk management section), and references to Major Risk Category 9. Financial Crime which includes Bribery and Corruption as a financial crime class. Information on our risk factors has also been included under the Risk Factors section of the Group Performance disclosures on ""The failure to comply with financial crime obligations has had, and could have further, adverse effects on our business and reputation"".",
58,,,"205-2 Communication and training about anti-corruption policies and procedures\na. Total number and percentage of governance body members that the organizationÃ¢ÂÂs anti-corruption policies and procedures have been communicated to, broken down by region.\nb. Total number and percentage of employees that the organizationÃ¢ÂÂs anti-corruption policies and procedures have been communicated to, broken down by employee category and region.\nc. Total number and percentage of business partners that the organizationÃ¢ÂÂs anti-corruption policies and procedures have been communicated to, broken down by type of business partner and region. Describe if the organizationÃ¢ÂÂs anti-corruption policies and procedures have been communicated to any other persons or organisations.\nd. Total number and percentage of governance body members that have received training on anti-corruption, broken down by region.\ne. Total number and percentage of employees that have received training on anti-corruption, broken down by employee category and region.","a. Westpac Board members and all employees are required to complete Financial Crime Awareness training which includes training on our ABC Policy and procedures, prohibiting all forms of bribery and corruption. We are working to improve disclosures in this respect for future periods.\n\nb. All employees and contractors are required to complete Financial Crime Awareness training which includes our ABC Policy and procedures, prohibiting all forms of bribery and corruption. \n\nc. Third Parties can access our published ABC Policy on the Westpac webpage. The Westpac Group Supplier Code of Conduct, supports standard ABC contractual clauses with Third Parties, reinforcing our ABC Policy position and related compliance expectations.\n\nd., e. We are working to improve disclosures in this respect for future periods.",
59,,,205-3 Confirmed incidents of corruption and actions taken\na. Total number and nature of confirmed incidents of corruption.\nb. Total number of confirmed incidents in which employees were dismissed or disciplined for corruption.\nc. Total number of confirmed incidents when contracts with business partners were terminated or not renewed due to violations related to corruption.\nd. Public legal cases regarding corruption brought against the organization or its employees during the reporting period and the outcomes of such cases.\n,"a., b., c. We do not report against these requirements due to confidentiality constraints. These constraints include the maintenance of legal professional privilege.\n\nd. No public legal cases regarding corruption have been brought against the organisation or its employees during the reporting period.",
60,,ANTI-COMPETITIVE BEHAVIOUR,,,
61,,GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices\na. Number of legal actions pending or completed during the reporting period regarding anti-competitive behavior and violations of anti-trust and monopoly legislation in which the organization has been identified as a participant.\nb. Main outcomes of completed legal actions, including any decisions or judgments.","a., b. See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings",
62,,TAX,,,
63,,GRI 207:\nTax 2019,"207-1 Approach to tax\na. A description of the approach to tax, including:\ni. whether the organisation has a tax strategy available and, if so, a link to this strategy if publicly\nii. the governance body or executive-level position within the organisation that formally reviews and approves the tax strategy, and the frequency of this review\niii. the approach to regulatory compliance\niv. how the approach to tax is linked to the business and sustainable development strategies of the organisation","a. See our Website: Approach to Tax, latest Tax Transparency Report, 2023 Annual Report: Corporate Governance Statement",
