Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
95,,,"403-2 Hazard identification, risk assessment, and incident investigation\na. A description of the processes used to identify work-related hazards and assess risks on a routine and non-routine basis, and to apply the hierarchy of controls in order to eliminate hazards and minimize risks, including: \ni. how the organization ensures the quality of these processes, including the competency of persons who carry them out \nii. how the results of these processes are used to evaluate and continually improve the occupational health and safety management system\nb. A description of the processes for workers to report work-related hazards and hazardous situations, and an explanation of how workers are protected against reprisals.\nc. A description of the policies and processes for workers to remove themselves from work situations that they believe could cause injury or ill health, and an explanation of how workers are protected against reprisals.\nd. A description of the processes used to investigate work-related incidents, including the processes to identify hazards and assess risks relating to the incidents, to determine corrective actions using the hierarchy of controls, and to determine improvements needed in the occupational health and safety management system.","\n\na. i.), b. Our HSW management system includes processes to identify and report hazards, assess risks, and eliminate or control risks in line with the hierarchy of controls to prevent harm to our people. These processes can be routine such as checklists and inspections completed by employees and leaders or through reporting HSW hazards in our hazard and incident management system. Employees and leaders are trained in our risk management procedures through our mandatory HSW training and roles and responsibilities are also articulated in internal HSW policies and procedures. Where specialised capability is required, our dedicated Employee Care team of allied health professionals, safety professionals and psychologists will conduct risk assessments in consultation with our leaders and employees.\na. ii.), b., c., d. All employees are required to report HSW hazards and incidents into our HSW management system. This supports and facilitates leaders to investigate the incident and develop and document additional controls. Also, see our Website: Health Safety & Wellbeing Commitment\n\nWe aim to monitor the relevance of this topic to Westpac, and as appropriate, consider enhancing our disclosures for this topic in coming years.",
96,,,"403-3 Occupational health services\na. A description of the occupational health servicesÃ¢ÂÂ functions that contribute to the identification and elimination of hazards and minimization of risks, and an explanation of how the organization ensures the quality of these services and facilitates workersÃ¢ÂÂ access to them.","a. We have a dedicated Employee Care team, comprising allied health professionals, safety professionals and psychologists, who provide advice and support on prevention, early intervention and care. We also provide a range of external services for employees, including:\nÃ¢ÂÂ¢ medical services for employees who may have a work-related injury or illness;\nÃ¢ÂÂ¢ an employee assistance program providing free confidential support and counselling for all Westpac Group employees and their immediate family members.\nÃ¢ÂÂ¢ resources and referrals to specialised support services, such as domestic and family violence support and pregnancy loss support.",
97,,,"403-4 Worker participation, consultation, and communication on occupational health and safety\na. A description of the processes for worker participation and consultation in the development, implementation, and evaluation of the occupational health and safety management system, and for providing access to and communicating relevant information on occupational health and safety to workers.\nb. Where formal joint managementÃ¢ÂÂworker health and safety committees exist, a description of their responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers are not represented by these committees.","a., b. Our consultation procedure defines our approach for consulting with our people on HSW matters, and provides guidance on more formal consultation arrangements such as health and safety committees and representatives.",
98,,,"403-5 Worker training on occupational health and safety\nA description of any occupational health and safety training provided to workers, including generic training as well as training on specific work-related hazards, hazardous activities, or hazardous situations.","a. We have a comprehensive health safety and wellbeing training plan to ensure our people complete their job safely and ensure they understand our HSW policies, standards and procedures. Our training plan outlines the competencies and training requirements for all employees and leaders and for specific roles in managing HSW. Our HSW training programs include core mandatory HSW training for employees and leaders, as well as targeted training programs to address key risk areas such as mental health training for leaders and employees.\n\nSee our 2023 Sustainability Index and Datasheet: tabs Employees (Training compliance and completion rates table) and Glossary.",
99,,,"403-6 Promotion of worker health\na. An explanation of how the organization facilitates workersÃ¢ÂÂ access to non-occupational medical and healthcare services, and the scope of access provided.\nb. A description of any voluntary health promotion services and programs offered to workers to address major non-work-related health risks, including the specific health risks addressed, and how the organization facilitates workersÃ¢ÂÂ access to these services and programs.","a., b. We provide services and resources to address both physical and mental health, such as our employee assistance program and specialised resources to help employees manage their own health and wellbeing. We offer flu and COVID-19 vaccinations through our annual corporate vaccination program, and workplace and pharmacy partnership program. In Papua New Guinea and Fiji, we provide medical insurance to our employees to assist in providing access to healthcare services. In addition, as part of our commitment to inclusion and diversity, we have employee action groups such as LGBTQI+, domestic and family violence and women of Westpac, which support the wellbeing of employees (See our Website: Champions of inclusion).",
100,,,"403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships\na. A description of the organizationÃ¢ÂÂs approach to preventing or mitigating significant negative occupational health and safety impacts that are directly linked to its operations, products or services by its business relationships, and the related hazards and risks.","a. Our HSW management system applies to all employees, as well as contractors and suppliers attending our premises. Our supplier contracts specify the requirement for suppliers to comply with Westpac's HSW management policies and procedures where services are provide at Westpac premises. Our supplier contracts also reinforce the requirement for suppliers to comply with relevant legislation, including WHS laws, in the delivery of their services.",
101,,,"403-8 Workers covered by an occupational health and safety management system\na. If the organization has implemented an occupational health and safety management system based on legal requirements and/or recognized standards/guidelines: \ni. the number and percentage of all employees and workers who are not employees but whose work and/or workplace is controlled by the organization, who are covered by such a system\nii. the number and percentage of all employees and workers who are not employees but whose work and/or workplace is controlled by the organization, who are covered by such a system that has been internally audited\niii. the number and percentage of all employees and workers who are not employees but whose work and/or workplace is controlled by the organization, who are covered by such a system that has been audited or certified by an external party.\nb. Whether and, if so, why any workers have been excluded from this disclosure, including the types of worker excluded.\nc. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.","a., c., HSW management system covers all employees, contractors, and suppliers who attend our premises. Our system is internally audited through our HSW assurance review program and is externally audited under our self-insurance licence requirements for workers' compensation.\nSee our 2023 Sustainability Index and Datasheet: tab Employees (Employee profile and Contractor profile tables).\nb. Not applicable.",
102,,,"403-9 Work-related injuries\na. For all employees: \ni. the number and rate of fatalities as a result of work-related injury\nii. the number and rate of high-consequence work-related injuries (excluding fatalities)\niii. the number and rate of recordable work-related injuries\niv. the main types of work-related injury\nv. the number of hours worked\nb. For all workers who are not employees but whose work and/or workplace is controlled by the organization: \n i. The number and rate of fatalities as a result of work-related injury; \n ii. The number and rate of high-consequence work-related injuries (excluding fatalities); \n iii. The number and rate of recordable work-related injuries; \n iv. The main types of work-related injury; \n v. The number of hours worked.\nc. The work-related hazards that pose a risk of high-consequence injury, including: \n i. how these hazards have been determined; \n ii. which of these hazards have caused or contributed to high-consequence injuries during the reporting period; \n iii. actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of controls.\nd. Any actions taken or underway to eliminate other work-related hazards and minimize risks using the hierarchy of controls.\ne. Whether the rates have been calculated based on 200,000 or 1,000,000 hours worked.\nf. Whether and, if so, why any workers have been excluded from this disclosure, including the types of worker excluded.\ng. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.","a., i), iii) b., i), iii) See our 2023 Sustainability Index and Datasheet: tab Employees (Health, safety and wellbeing table); and Glossary. \na., ii), v) b., ii), v) We do not these requirements separate to Lost Time Injury Frequency Rate (LTIFR) and Total Recordable Injury Frequency Rate (TRIFR).\na., iv), b., iv) Musculoskeletal injuries and illnesses are the most common work-related injuries and illnesses. \nc. Our key HSW risks include ergonomics, psychological wellbeing and customer behaviour. We have developed risk profiles for each key HSW risk identifying hazards and controls, which are regularly monitored and assessed.\nd. Our HSW plans includes prevention programs to reduce harm to our people, targeting key current and emerging HSW risks. For example, we have a comprehensive mental health strategy to support our people's mental health and wellbeing, developed by our Chief Mental Health Officer and sponsored by our executive and Board. Our mental health strategy focuses on preventing harm, early intervention and care and leadership advocacy and capability, targeting work demands, organisational change, work-life boundaries, hybrid working and the impacts of COVID-19. \ne. TRIFR and LTIFR are calculated using 1,000,000 hours worked.\nf. Not applicable.\ng. See our 2023 Sustainability Index and Datasheet: tab Employees (Health, safety and wellbeing table); and Glossary. \n",
103,,,"403-10 Work-related ill health\na. For all employees: \ni. the number of fatalities as a result of work-related ill health\nii. the number of cases of recordable work-related ill health \niii. the main types of work-related ill health\nb. For all workers who are not employees but whose work and/or workplace is controlled by the organization: \ni. the number of fatalities as a result of work-related ill health\nii. the number of cases of recordable work-related ill health\niii. the main types of work-related ill health\nc. The work-related hazards that pose a risk of ill health, including: \ni. how these hazards have been determined\nii. which of these hazards have caused or contributed to cases of ill health during the reporting period\niii. actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of controls\nd. Whether and, if so, why any workers have been excluded from this disclosure, including the types of worker excluded.\ne. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.","a., i), ii) iii), v) b., i), ii), iii), v), e. We aim to monitor the relevance of this topic to Westpac, and as appropriate, consider enhancing our disclosures for this topic in coming years.\na., iv), b., iv) Musculoskeletal injuries and illnesses are the most common work-related injuries and illnesses. \nc. Our key HSW risks include ergonomics, psychological wellbeing and customer behaviour. We have developed risk profiles for each key HSW risk identifying hazards and controls, which are regularly monitored and assessed.\nd. Not applicable.\n",
104,,TRAINING AND EDUCATION,,,
