Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
34,,Employment types,Permanent employment type includes full-time and part-time permanent employees. Temporary employment type includes employees on a maximum term contract working full-time or part-time. Non-guaranteed hours employment type includes personnel working on a casual arrangement.
35,,Energy consumption (GJ),"Total consumption of natural gas, stationary diesel, stationary LPG, fleet fuels and electricity for the year ending 30 June, as per supplier invoices for all facilities under the operational control of Westpac and vehicle fleet, converted to gigajoules."
36,,Thermal coal and metallurgical coal,"This includes direct financing to customers where coal mining is their primary source of business. Direct financing refers to structured exposures to specific coal mining assets or unstructured exposures to an organisation where coal mining is their primary source of business.\n\nFor customers which generate the majority of their earnings from coal mining, the above thermal coal exposures includes 100% of exposure for customers which earn more than 15% of revenue from thermal coal, and exposure attributable to thermal coal for customers which earn more than 5% but less than 15% of revenue from thermal coal. All other coal exposures are deemed as metallurgical. For FY23, there were no diversified companies with more earned than 5% of revenue from thermal coal. The calculations for revenue align to the NZBA methodology for Thermal coal mining as used for our 2030 sector target. For more information on the boundary definition and our position on the Thermal coal mining sector, refer to our 2023 Climate Report."
37,,Equator Principles Ã¢ÂÂ Category A,"Projects with potential significant adverse environmental and social risks and/or impacts that are diverse, irreversible or unprecedented."
38,,Equator Principles Ã¢ÂÂ Category B,"Projects with potential limited adverse environmental and social risks and/or impacts that are few in number, generally site-specific, largely reversible and readily addressed through mitigation measures."
39,,Equator Principles Ã¢ÂÂ Category C,Projects with minimal or no adverse environmental and social risks and/or impacts.
40,,Financial education (hours),"The number of hours of financial education, offered by Westpac Australia, New Zealand and Pacific, undertaken by employees, customers and the general public, delivered through live events (either in person or online). \n\nIn Australia financial education covers personal, business and social sector content inclusive of modules on financial basics, owning your home, building wealth, retirement planning, starting and growing a business, and financials for non-profit organisations, offered by WestpacÃ¢ÂÂs Davidson Institute. The total number of hours for Australia is estimated based on the average duration of 30 minutes per live events. \n\nNew Zealand and Pacific businesses deliver locally tailored programs. The total number of hours for New Zealand is estimated based on the average duration of 45 minutes per online class, 1 hour per face-to-face and 1.5 hours per course, while the total number of hours for Pacific is calculated using the assumption that each workshop runs for approximately 3 hours per each participant."
41,,Financial education (participants),"Total number of employees, customers and general public engaging with financial education materials offered by the Westpac Australia, New Zealand and Pacific (Fiji and Papua New Guinea), delivered through live events (either in person or online)."
42,,Foregone fee revenue,"An effective donation arising by not charging fees to charitable organisations or low-income earners for services provided. The estimated value is calculated as the difference between what was charged (if anything), and what would have been charged on equivalent standard accounts. Equivalent standard accounts include those that customers currently hold that charges fees for the same offering."
43,,Gender Diversity Ã¢ÂÂ Executive Team (%),The % of the Executive Team (includes direct reports of the CEO with key executive responsibilities) that are female. Calculation excludes CEO.
44,,Gender Diversity Ã¢ÂÂ Senior Leadership (%),"The % of senior leaders that are female. Senior leaders include the Executive Team, General Managers, and direct reports to General Managers, excluding administrative/support roles. Senior leaders must be permanent or maximum term employees."
45,,Gender Diversity Ã¢ÂÂ Westpac Board (%),The % of female Board members including Executive and Non-executive Directors at the end of the reporting period.
46,,Community investment,"Expenditure on community activities from voluntary contributions, and associated management costs, that extends beyond WestpacÃ¢ÂÂs core business activities. It includes monetary contributions, time contributions, management costs and in-kind contributions to community activities. Investment has been compiled with reference to the Global Reporting Initiative Universal Standards (GRI 201: Economic Performance 2016) and the Business 4 Societal Impact framework."
47,,"Hire vehicles, taxi and personal vehicles (tCOÃ¢ÂÂ-e)","Calculation Boundary: Hire vehicle and taxi travel undertaken by Westpac employees for business purposes. Personal vehicle travel for business purposes is reported for New Zealand only.\n\nCalculation Methodology: Hire car kilometres travelled is sourced from WestpacÃ¢ÂÂs supplier. Where distance data is not available, spend data is used to estimate kilometres travelled by applying the average $/km sourced from WestpacÃ¢ÂÂs supplier. For Australia, taxi kilometres travelled is estimated from spend data utilising State-based fee per kilometre data of major taxi providers. For New Zealand, taxi kilometres travelled is sourced from Westpac New ZealandÃ¢ÂÂs preferred taxi provider. Where distance data is not available, spend data is used to estimate kilometres travelled. Personal vehicle travel includes kilometres travelled by New Zealand employees using their vehicles for business purposes and is reported for New Zealand only. Emissions for hire vehicles, taxi and personal vehicles are calculated by multiplying the distance travelled by the relevant emissions factors, sourced from the UK Government GHG Conversion Factors for Company Reporting published by the Department for Business, Energy & Industrial Strategy for Australia and from the Ministry for the Environment Summary of Emission Factors for New Zealand. \n\nActivity data source: Supplier and expense records."
48,,Hotel stays (tCOÃ¢ÂÂ-e),"Calculation Boundary: Accommodation nights undertaken by Westpac employees.\n\nCalculation Methodology: Emissions are calculated by multiplying the number of nights by the emission factors sourced from the Cornell Hotel Sustainability Benchmarking Index, in line with the Climate Active Carbon inventory, for Australia and sourced from the Ministry for the Environment Summary of Emission Factors for New Zealand.\n\nActivity data source: Supplier records."
49,,Indigenous in-kind gifts and donations,"Non-cash contributions specifically to Indigenous organisations in the form of corporate resources (e.g., equipment, furniture or office space)."
50,,In-kind gifts or donations,"Non-cash contributions such as company resources (e.g., use of technology, equipment, furniture or office space)."
51,,Lost Time Injury Frequency Rate,"Measures the number of Lost Time Injuries (LTIs), defined as injuries or illnesses (based on workers compensation claims accepted) resulting in an employee being unable to work for a full scheduled day (or shift) other than the day (or shift) on which the injury occurred where work was a significant contributing factor, per one million hours worked in the rolling 12 months reported."
52,,Management costs,"Expenses incurred by the company to support charitable activities. These include administration costs associated with facilitating donations and volunteering, the salaries and overheads of staff working for the company, along with research, communication, advertising and similar spend."
53,,Matched giving,When the company provides a monetary contribution to match employee money raised or donated to a charity. Only the money that the company itself donates is counted.
54,,Contractor,"Contractors are part of WestpacÃ¢ÂÂs contingent workforce. They are agency supplied workers or self-employed, engaged by the hour or on a day rate basis, to provide support for projects or business as usual activities as needed."
55,,Net Promoter Score (NPS),"Net Promoter Score measures the net likelihood of recommendation to others of the customerÃ¢ÂÂs main financial institution for retail or business banking. Net Promoter ScoreSM is a trademark of Bain & Co Inc., Satmetrix Systems, Inc., and Mr Frederick Reichheld. Using a 11 point numerical scale where 10 is Ã¢ÂÂExtremely likelyÃ¢ÂÂ and 0 is Ã¢ÂÂNot at all likelyÃ¢ÂÂ, Net Promoter Score is calculated by subtracting the percentage of Detractors (0-6) from the percentage of Promoters (9-10)."
56,,New starter,"New starters are permanent employees working full-time or part-time, who commenced employment in the Westpac Group within this 12 month reporting period."
57,,Number of credit card accounts (millions),The number of credit card accounts held by consumer customers in Australia.
58,,Organisational Health Index,"Organisational Health Index (OHI) is a leading indicator of sustained performance, measuring organisational health relative to global benchmark. OHI measures the management practices and health outcomes that drive performance."
59,,Paper consumption (tCOÃ¢ÂÂ-e),"Calculation Boundary: Paper consumption includes office paper, copy paper and other paper items (e.g. statements) purchased through WestpacÃ¢ÂÂs key suppliers. \nCalculation Methodology: For Australia, paper emissions are calculated by multiplying paper consumption (kg) by an emissions factor sourced from 2022 Opal Australian PaperÃ¢ÂÂs Public Disclosure Statement. For New Zealand, paper emissions are calculated by multiplying the type of paper consumed (i.e. carbon neutral or non-carbon neutral) by the relevant default Ministry for the Environment Summary of Emission Factors for non-carbon neutral and supplier-specific emission factors for carbon neutral paper.\nActivity data source: Supplier records."
60,,Paper consumption (tonnes),"Total office paper and paper products purchased (in tonnes) by Westpac Group as reported by key suppliers for Australian and New Zealand operations for the year ending 30 June. Australian paper consumption includes office copy paper, paper products and printed materials, including direct mail and marketing documents (e.g. office stationery, marketing brochures, customer statements). New Zealand paper consumption includes office copier paper, envelopes, paper utilised in customer letters and statements, and cheque/deposit books ordered."
61,,Paper disposal (tCOÃ¢ÂÂ-e),"Calculation Boundary: Paper waste is assumed to be disposed of in landfill unless evidence is provided by the secure paper service provider of having been recycled. Paper disposal data is provided by WestpacÃ¢ÂÂs secure waste supplier for sites under Westpac operational control. Excludes New Zealand.\n\nCalculation Methodology: Paper volume activity data is based on actual bin weights for the last quarter of the reporting period following the appointment of a new secure paper waste provider. For the first three quarters of the year, paper volume activity data was estimated based on actual weight for the last quarter. The new supplier has improved data capture and reporting capability. Emissions are calculated by multiplying paper volume by the emission factor for paper disposal to landfill, sourced from the National Greenhouse Accounts Factors. \n\nActivity data source: Supplier delivery records."
