Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
3,,EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,
11,,EMPLOYEE PROFILE,,,,,,,,,,,,,,,,,,,,,,,
13,,"HEADCOUNT1,2",,,2023,,,2022,,,2021,,,,,,,,,,,,,,
14,,,,,Female,Male,TOTAL,Female,Male,TOTAL,Female,Male,TOTAL,,,,,,,,,,,,
15,,Australia,,,16119,13728,29847,16968,13988,30956,18293,14880,33173,,,,,,,,,,,,
16,,,Permanent,Full Time,12184,12867,25051,12319,12863,25182,12788,13395,26183,,,,,,,,,,,,
17,,,,Part Time,3449,407,3856,4041,522,4563,4623,602,5225,,,,,,,,,,,,
18,,,Temporary,Full Time,413,431,844,519,569,1088,762,845,1607,,,,,,,,,,,,
19,,,,Part Time,73,23,96,89,34,123,120,38,158,,,,,,,,,,,,
20,,,Non-guaranteed hours,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
21,,New Zealand,,,3031,2351,5382,2885,2207,5092,2808,2164,4972,,,,,,,,,,,,
22,,,Permanent,Full Time,2632,2293,4925,2404,2158,4562,2356,2118,4474,,,,,,,,,,,,
23,,,,Part Time,315,24,339,417,26,443,420,35,455,,,,,,,,,,,,
24,,,Temporary,Full Time,26,18,44,44,19,63,22,8,30,,,,,,,,,,,,
25,,,,Part Time,12,1,13,20,4,24,10,3,13,,,,,,,,,,,,
26,,,Non-guaranteed hours3,,46,15,61,0,0,0,0,0,0,,,,,,,,,,,,
27,,Pacific,,,574,370,944,604,379,983,584,379,963,,,,,,,,,,,,
28,,,Permanent,Full Time,572,367,939,601,374,975,578,373,951,,,,,,,,,,,,
29,,,,Part Time,0,2,2,0,2,2,6,5,11,,,,,,,,,,,,
30,,,Temporary,Full Time,0,0,0,0,1,1,0,1,1,,,,,,,,,,,,
31,,,,Part Time,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
32,,,Non-guaranteed hours,,2,1,3,3,2,5,0,0,0,,,,,,,,,,,,
33,,International offices,,,195,201,396,192,194,386,217,214,431,,,,,,,,,,,,
34,,,Permanent,Full Time,188,197,385,182,190,372,203,211,414,,,,,,,,,,,,
35,,,,Part Time,7,4,11,10,4,14,14,3,17,,,,,,,,,,,,
36,,,Temporary,Full Time,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
37,,,,Part Time,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
38,,,Non-guaranteed hours,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
39,,Group,,,19919,16650,36569,20649,16768,37417,21902,17637,39539,,,,,,,,,,,,
40,,,Permanent,Full Time,15576,15724,31300,15506,15585,31091,15925,16097,32022,,,,,,,,,,,,
41,,,,Part Time,3771,437,4208,4468,554,5022,5063,645,5708,,,,,,,,,,,,
42,,,Temporary,Full Time,439,449,888,563,589,1152,784,854,1638,,,,,,,,,,,,
