Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
3,,SUSTAINABILITY ACCOUNTING STANDARDS BOARD (SASB) INDEX,,,,,,
4,,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,,,,
14,,SECTOR,TOPIC,ACCOUNTING METRIC,Category,UNIT OF MEASURE,CODE,WESTPAC RESPONSE
15,,COMMERCIAL BANKS,Data Security,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of account holders affected",Quantitative,"Number, Percentage (%)",FN-CB-230a.1,See our 2023 Sustainability Index and Datasheet: tab Customers (Data breaches tables)
16,,,,Description of approach to identifying and addressing data security risks,Discussion and Analysis,Commentary,FN-CB-230a.2,See our 2023 Annual Report: Creating value for customers; Major risk categories - Cyber risk.
17,,,Financial Inclusion & Capacity Building,(1) Number and (2) amount of loans outstanding qualified to programs designed to promote small business and community development,Quantitative,"Number, Reporting currency",FN-CB-240a.1,"While Westpac provides loans to small businesses and community development, at this point we have not separately identified and there are no specific Ã¢ÂÂqualifiedÃ¢ÂÂ programs under which these would be offered. We will consider if there is a way such loans may be able to be disclosed in the future."
18,,,,(1) Number and (2) amount of past due and nonaccrual loans to qualified to programs designed to promote small business and community development,Quantitative,"Number, Reporting currency",FN-CB-240a.2,"See above, we will consider if some form of this metric can be disclosed in the future."
19,,,,Number of no-cost retail checking accounts provided to previously unbanked or underbanked customers,Quantitative,Number,FN-CB-240a.3,"In Australia/New Zealand we do not have a category of customers defined as Ã¢ÂÂunbanked, underbanked, or underservedÃ¢ÂÂ. Similarly, we no longer operate specific Ã¢ÂÂchecking accountsÃ¢ÂÂ. Nevertheless, Westpac has a standard transactional product tailored to customers who hold a concession or health care card, have Australian social security benefits paid into the account and accounts held by non-for-profit organisations. The number of these accounts have been estimated as 1,079,944 accounts, based on number of customers (assuming each customer holds one account). We also disclosed the fee revenue foregone for these accounts (see our 2023 Sustainability Index and Datasheet: tab Economic and Social (Community Investment by Type ($): Foregone fee revenue))."
20,,,,"Number of participants in financial literacy initiatives for unbanked, underbanked, or underserved customers",Quantitative,Number,FN-CB-240a.4,See our 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab Economic and Social (Financial education table); Website: Westpac Financial Education; and https://davidsoninstitute.education/.
21,,,"Incorporation of Environmental, Social, and Governance Factors in Credit Analysis","Description of approach to incorporation of environmental, social, and governance (ESG) factors in credit analysis",Discussion and Analysis,Commentary,FN-CB-410a.2,See our 2023 Annual Report: Sustainability governance and risk management; Website: Sustainable lending
22,,,Financed Emissions,"Absolute gross financed emissions, disaggregated by (1) Scope 1, (2) Scope 2 and (3) Scope 3",,Metric tons (t)CO2-e,FN-CB-410b.1,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Strategy
23,,,,Gross exposure for each industry by asset class,,Reporting currency,FN-CB-410b.2,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Strategy
24,,,,Percentage of gross exposure included in the financed emissions calculation,,Percentage (%),FN-CB-410b.3,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Strategy
25,,,,Description of the methodology used to calculate financed emissions,,Commentary,FN-CB-410b.4,See our 2023 Sustainability Index and Datasheet: tab Lending (Estimated financed emissions tables); and our 2023 Climate Report: Methodology - Scope 3 financed emission estimation
26,,,Business Ethics,"Total amount of monetary losses as a result of legal proceedings associated with fraud, insider trading, anti-trust, anti-competitive behavior, market manipulation, malpractice, or other related financial industry laws or regulations",Quantitative,Reporting Currency,FN-CB-510a.1,"See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings"
