Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
89,,"9. From 2022, Westpac Group scope 3 emissions includes an uplift for other international operations, for some emissions sources where data is not available, calculated using Australian emissions per FTE by international site FTE.",,,,,,,,,,,,,,,,,,,,,,,,,,
90,,10. Refer to this link in the 'Glossary' for the definition of total scope 3 greenhouse gas emissions (location-based).,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,11. Refer to this link in the 'Glossary' for the definition of purchased electricity Ã¢ÂÂ third party data centre and ATMs.,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,12. Refer to this link in the 'Glossary' for the definition of water consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,13. Refer to this link in the 'Glossary' for the definition of paper consumption. Paper consumption emissions include minor immaterial adjustments to 2021 and 2022 to include carbon neutral paper for our New Zealand operations.,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,"14. Refer to this link in the 'Glossary' for the definition of stationary energy Ã¢ÂÂ natural gas, diesel, LPG E&D.",,,,,,,,,,,,,,,,,,,,,,,,,,
95,,15. Refer to this link in the 'Glossary' for the definition of purchased electricity Ã¢ÂÂ T&D losses.,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,16. Refer to this link in the 'Glossary' for the definition of transport energy Ã¢ÂÂ fleet fuels E&D.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,17. Refer to this link in the 'Glossary' for the definition of business logistics Ã¢ÂÂ couriers.,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,18. Refer to this link in the 'Glossary' for the definition of paper disposal.,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,19. Refer to this link in the 'Glossary' for the definition of waste to landfill.,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,20. Refer to this link in the 'Glossary' for the definition of air travel.,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"21. Refer to this link in the 'Glossary' for the definition of hire vehicles, taxi and personal vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,
102,,22. Refer to this link in the 'Glossary' for the definition of hotel stays.,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,23. Refer to this link in the 'Glossary' for the definition of employee commute. From 2022 Group employee commute emissions uplifted to account for New Zealand operations calculated using Australian emissions per FTE multiplied by New Zealand FTE.,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,24. Refer to this link in the 'Glossary' for the definition of working from home emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,25. Refer to this link in the 'Glossary' for the definition of base building.,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,CERTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,
