Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
3,,REFERENCES,
11,,TOPIC COVERED (LINKED TO SOURCE),LINK
12,,Modern Slavery Statement FY22,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
13,,2022 Safer Children Safer Communities Progress Report,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/safer-children-safer-communities/
14,,2022 - 2025 Reconciliation Action Plan,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/ReconciliationActionPlan.pdf
15,,2023 Annual Report,westpac.com.au/about-westpac/investor-centre/annual-report/
16,,2023 Corporate Governance Statement,westpac.com.au/about-westpac/investor-centre/annual-report/
17,,2023 Investor Discussion Pack,westpac.com.au/about-westpac/investor-centre/annual-report/
18,,2023 Climate Report,westpac.com.au/about-westpac/investor-centre/annual-report/
19,,"Pillar 3 Report, September 2023",westpac.com.au/about-westpac/investor-centre/annual-report/
20,,Agribusiness Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
21,,Anti-Bribery & Corruption Policy,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/4255833/wg-anti-bribery-and-corruption-policy.pdf
22,,Child Safeguarding Supplement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/safer-children-safer-communities/
23,,Discrimination Harassment Bullying Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
24,,Family or Domestic Violence Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
25,,Financial Inclusion Action Plan,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
26,,"Health, Safety and Wellbeing Policy",westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
27,,Human Rights Position Statement and Action Plan,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
28,,Natural Capital Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
29,,Inclusion and Diversity Policy,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
30,,Industry Associations and Engagements,westpac.com.au/about-westpac/sustainability/governance-and-accountability/industry-associations/
31,,Injury Management and Rehabilitation Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
32,,Listening to Stakeholders,westpac.com.au/about-westpac/sustainability/governance-and-accountability/listening-to-stakeholders/
33,,Our Code of Conduct,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
34,,Payday Lending Position,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
35,,Principles for Responsible Lending,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
36,,Responsible Sourcing Code of Conduct,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/Responsible-Sourcing-Code-of-Conduct.pdf
37,,Sexual Harassment Policy,westpac.com.au/about-westpac/westpac-group/corporate-governance/principles-policies/
38,,Speaking Up Policy,westpac.com.au/content/dam/public/wbc/documents/pdf/aw/WBC-speaking-up-policy.pdf
39,,Supplier Inclusion and Diversity Principles,westpac.com.au/about-westpac/sustainability/initiatives-for-you/suppliers-inclusion-diversity/
40,,Tobacco Position Statement,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/
41,,Sustainable Finance Framework,westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/sustainable-lending/
42,,2030 Sustainability Strategy,westpac.com.au/about-westpac/sustainability/our-strategy/
