Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
36,,C1.1 How does the company make clear the relevance and significance of such policies to those who need to implement them?,"See our Human Rights Position Statement and Action Plan: Section 2 ('Scope and coverage'), Section 5 ('Management of our Position Statement and Action Plan'), Section 6 ('Related frameworks, policies, position statements and action plans') and Section B.2 ('Our plan'). Additionally, our Human Rights Position Statement is publicly available online and on our internal intranet and is integrated into Group training.",,,,,,,,,,,,,,,,,,,,,,,,
37,,STAKEHOLDER ENGAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
38,,C2 What is the companyÃ¢ÂÂs approach to engagement with stakeholders in relation to each salient human rights issue?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
39,,"C2.1 How does the company identify which stakeholders to engage with in relation to each salient issue, and when and how to do so?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
40,,"C2.2 During the reporting period, which stakeholders has the company engaged with regarding each salient issue, and why?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
41,,"C2.3 During the reporting period, how have the views of stakeholders influenced the companyÃ¢ÂÂs understanding of each salient issue and/or its approach to addressing it?","See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan')",,,,,,,,,,,,,,,,,,,,,,,,
42,,ASSESSING IMPACTS,,,,,,,,,,,,,,,,,,,,,,,,,
43,,C3 How does the company identify any changes in the nature of each salient human rights issue over time?,"See our Human Rights Position Statement and Action Plan: Section 3 ('Our commitment and approach to respecting and advancing human rights'), Section 4 ('Focus areas') and Section B.2 ('Our plan'). Our Human Rights Action Plan sets out a series of key areas for strategic focus over the next three years, including an action to refresh our understanding of our salient issues and areas of human rights risk through a deep dive Human Rights Risk Assessment. This yearÃ¢ÂÂs assessment is underway and results will be reported in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,
44,,"C3.1 During the reporting period, were there any notable trends or patterns in impacts related to a salient issue and, if so, what were they?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
45,,"C3.2 During the reporting period, did any severe impacts occur that were related to a salient issue and, if so, what were they?","See our 2023 Annual Report ('Creating value for the community'); our Modern Slavery Statement FY22: Section 4 ('Identifying risks of modern slavery practices in operations and supply chain') and Section 5 ('Our actions to assess and address modern slavery risk'); and 2022 Safer Children, Safer Communities (SCSC) Impact Report: Section 3 ('Theory of Change') and Section 4 ('2022 Year in Review')",,,,,,,,,,,,,,,,,,,,,,,,
46,,INTEGRATING FINDINGS AND TAKING ACTION,,,,,,,,,,,,,,,,,,,,,,,,,
