Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
23,,Customer satisfaction (CSat) (Australia),The Customer Satisfaction score is an average of customer satisfaction ratings of the customerÃ¢ÂÂs main financial institution for consumer or business banking on a scale of 0 to 10 (0 means Ã¢ÂÂextremely dissatisfiedÃ¢ÂÂ and 10 means Ã¢ÂÂextremely satisfiedÃ¢ÂÂ)
24,,Customers experiencing financial hardship who accessed a financial assistance package,"Number of approved applications for financial assistance from Westpac Group customers experiencing financial hardship. Financial hardship occurs when a person is unable to meet their repayment obligations for a period of time due to an unexpected event or unforeseen change in circumstances, such as illness, injury, or a change in employment. Each request is assessed on a case-by-case basis. Some of the hardship options that may be available to customers include reduced or deferred repayments and reduction in interest charges."
25,,Customers provided with natural disaster relief packages,"Number of customers (including businesses) provided with three monthsÃ¢ÂÂ disaster relief assistance on eligible accounts as a result of a natural disaster (flood, fire, major storm/cyclone). Includes customers that had completed their full term of assistance or were still undergoing assistance at the end of the period."
26,,Customers who received assistance through specialist customer care teams,Customers who have been supported through our eight specialist customer care teams. \t
27,,Digitally active customers,"Count of Australian customers with at least one logon across our online platforms (Westpac Live, Compass, Business Banking Online, Corporate Online or myRAMS) in a 90-day period. \nA customer must have a product open at the reporting date.\nA digital logon includes a full logon or a quick zone logon (such as simple check of a balance on a mobile device)."
28,,Occupational health and safety training - compliance rate.,"Compliance rate for four mandatory health, safety and wellbeing training modules. Employees must be compliant in two enrolled courses mandatory for all employees, whilst people leaders (i.e., an employee with a direct report) must be compliant in all four courses, to count as compliant in this rate. Includes all active Group-wide employees, excluding New Zealand and Pacific."
29,,Employee commute (tCO2-e),"Calculation Boundary: Commute undertaken by Westpac employees in Australia between their home and workplace. \n\nCalculation Methodology: For Australia, distance travelled by mode of transport is estimated based on FTE assumptions using the Climate Active Ã¢ÂÂStaff CommuteÃ¢ÂÂ Calculator v7.2 which is based on Australian Bureau of Statistics (ABS) data on commuting patterns. The Group total for employee commute emissions includes Australian commute emissions and an uplift amount associated with New Zealand and other international sites. The uplift amount for international sites is an estimate based on Australian commute emissions per FTE (multiplied by FTE at international sites). Emissions are calculated by multiplying Activity data by Emission factors sourced from the UK Government GHG Conversion Factors for Company Reporting published by the Department for Business, Energy & Industrial Strategy.\n\nActivity data source: FTE data based on site attendance and human resource records and the Climate Active Ã¢ÂÂStaff CommuteÃ¢ÂÂ calculator which is based on ABS data on commuting patterns."
30,,Employee involuntary attrition (%),"Measured as the total involuntary separation of employees (those who leave the organisation without their choice or consent) over the 12 months average total headcount for the period (includes permanent full-time, part-time and maximum term employees)."
31,,Employee total attrition (%),"Measured as the total voluntary and involuntary separation of employees over the 12 months average total headcount for the period (includes permanent full-time, part-time and maximum term employees)."
32,,Employee voluntary attrition (%),"Measured as the total voluntary separation of employees over the 12 months average total headcount for the period (includes permanent full-time, part-time and maximum term employees)."
33,,Employee secondment and Indigenous Community secondment,Volunteering that typically involves an employee working directly with an indigenous not-for-profits or community organisations for a period of time in lieu of working for the company and utilises employee skills to help them realise their goals.
