Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
99,,Climate change solutions1 - Australia and New Zealand,,,,,,,,,,,,,
100,,Total attributable financing2 ($m),13153,10808,10862,,,,,,,,,,
101,,New lending ($m)3,2638,1969,1893,,,,,,,,,,
102,,Distribution by taxonomy (%):,,,,,,,,,,,,,
103,,Green buildings,47.71,50.6,47.1,,,,,,,,,,
104,,Renewable energy,34.63,34,34.3,,,,,,,,,,
105,,Low carbon transport,7.62,7.3,9.6,,,,,,,,,,
106,,Carbon Farming,0.1,0.14,0.13,,,,,,,,,,
107,,Adaptation infrastructure,4.83,1.8,1.6,,,,,,,,,,
108,,Forestry,2.61,3.2,3.5,,,,,,,,,,
109,,Waste,1.31,2.1,2.3,,,,,,,,,,
110,,Low carbon infrastructure,0,0,0,,,,,,,,,,
111,,Energy efficiency,1.1,0.02,1,,,,,,,,,,
112,,Green business,0,0.01,0,,,,,,,,,,
113,,Water Infrastructure,0,0.6,0.1,,,,,,,,,,
114,,Land remediation,0.08,0.2,0,,,,,,,,,,
115,,Other,0,0,0.5,,,,,,,,,,
116,,1. Refer to this link in the 'Glossary' for the definition of climate change solutions.,,,,,,,,,,,,,
117,,"2. Total financing (TCE) of customers where the funds are a) Involved in climate change solutions activities at 30 September; or b) For activities that exceed what is considered business-as-usual in the relevant industry, and which produce a material net benefit to the environment.",,,,,,,,,,,,,
118,,"3. New lending represents the total of new and increases in lending commitments, excluding refinances.",,,,,,,,,,,,,
119,,4. Refer to this link in the 'Glossary' for the definition of TCE - specific to Westpac Institutional Banking division.,,,,,,,,,,,,,
122,,INDUSTRY SECTORS WITH GHG EMISSIONS REDUCTION TARGETS (IN LINE WITH OUR NZBA COMMITMENT),,,,,,,,,,,,,
123,,Summary table Ã¢ÂÂ for full details on our 2030 targets refer to our 2023 Climate Report.,,,,,,,,,,,,,
