Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,HOME,,,,,,,,,,,
,,,,,,,,,,,,
,REFERENCES,,GRI,,,,,,,,,
,,,,,,,,,,,,
,SUSTAINABILITY STRATEGY,,SASB,,,,,,,,,
,,,,,,,,,,,,
,RAP,,TCFD,,,,,,,,,
,,,,,,,,,,,,
,CUSTOMERS,,PRB,,,,,,,,,
,,,,,,,,,,,,
,EMPLOYEES,,UNGP,,,,,,,,,
,,,,,,,,,,,,
,ENVIRONMENT,,,,,,,,,,,
,,,,,,,,,,,,
,SUPPLIERS,,,,,,,,,,,
,,,,,,,,,,,,
,LENDING ,,,,,,,,,,,
,,,,,,,,,,,,
,NATURAL CAPITAL,,,,,,,,,,,
,,,,,,,,,,,,
,ECONOMIC & SOCIAL,,,,,,,,,,,
,,,,,,,,,,,,
,GLOSSARY,,,,,,,,,,,
