Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
140,,INCLUSION AND DIVERSITY,,,,,,,,,,,,,,,,,,,,,,,
142,,GENDER DIVERSITY (% OF WOMEN IN KEY ROLE LEVELS),2023,2022,2021,,,,,,,,,,,,,,,,,,,,
143,,Westpac Board 1,40,40,33,,,,,,,,,,,,,,,,,,,,
144,,Executive Team2,50,45,27,,,,,,,,,,,,,,,,,,,,
145,,General Managers,40,NR,NR,,,,,,,,,,,,,,,,,,,,
146,,Senior Leadership3,49,48,NR,,,,,,,,,,,,,,,,,,,,
147,,Westpac workforce,54,NR,NR,,,,,,,,,,,,,,,,,,,,
148,,1. Refer to this link in the 'Glossary' for the definition of gender diversity - Westpac Board.,,,,,,,,,,,,,,,,,,,,,,,
149,,2. Refer to this link in the 'Glossary' for the definition of gender diversity - Executive team.,,,,,,,,,,,,,,,,,,,,,,,
150,,3. Refer to this link in the 'Glossary' for the definition of gender diversity - Senior leadership.,,,,,,,,,,,,,,,,,,,,,,,
153,,"PERCENTAGE OF BASIC SALARY - FEMALE TO MALE1,2",2023,,,,2022,,,,2021,,,,,,,,,,,,,,
154,,,Group,Australia,New Zealand,Pacific,Group,Australia,New Zealand,Pacific,Group,Australia,New Zealand,Pacific,,,,,,,,,,,
155,,Administrator,110,102,106,101,111,104,108,99,111,104,109,99,,,,,,,,,,,
156,,Senior Administrator,101,101,103,101,101,101,102,101,102,102,104,102,,,,,,,,,,,
157,,Professional/Analyst,94,95,102,100,95,95,103,106,96,96,102,85,,,,,,,,,,,
158,,Senior Professional/Analyst,97,97,101,106,97,97,101,104,96,97,101,108,,,,,,,,,,,
159,,Manager,97,98,96,82,97,98,97,80,97,97,98,80,,,,,,,,,,,
160,,Senior Manager/Executive Manager,99,99,98,,99,98,99,,100,99,98,97,,,,,,,,,,,
161,,Head of,95,95,94,,99,99,97,,99,99,95,,,,,,,,,,,,
162,,Group Head of,95,94,102,,93,93,99,,93,93,94,,,,,,,,,,,,
163,,General Manager,95,93,117,,98,96,96,,95,96,87,,,,,,,,,,,,
164,,Group Executive,80,80,,,74,76,,,76,76,,,,,,,,,,,,,
165,,1. Refer to this link in the 'Glossary' for the definition of percentage of basic salary.,,,,,,,,,,,,,,,,,,,,,,,
166,,"2. If zero or only one employee is in the employment level, the result is ""N/A"".",,,,,,,,,,,,,,,,,,,,,,,
169,,PARENTAL LEAVE1,,,2023,,,2022,,,2021,,,,,,,,,,,,,,
170,,Australia & New Zealand,Female,Male,TOTAL,Female,Male,TOTAL,Female,Male,TOTAL,,,,,,,,,,,,,,
171,,Employees entitled to parental leave,19210,16115,35325,19819,16155,35974,21077,17012,38089,,,,,,,,,,,,,,
172,,Employees that took parental leave,1748,1130,2878,1856,1002,2858,1714,989,2703,,,,,,,,,,,,,,
173,,Employees that returned to work in the reporting period,925,1011,1936,892,910,1802,966,924,1890,,,,,,,,,,,,,,
174,,Return to work rate (%),92,97,95,87,97,92,92,99,95,,,,,,,,,,,,,,
175,,Employees still employed 12 months after return to work,1250,981,2231,1154,781,1935,1239,855,2094,,,,,,,,,,,,,,
176,,Retention rate (%),88,91,89,81,82,81,93,96,94,,,,,,,,,,,,,,
177,,1. Refer to this link in the 'Glossary' for the definitions related to parental leave.,,,,,,,,,,,,,,,,,,,,,,,
180,,ABSENTEEISM1,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
181,,Australia & New Zealand (%),3.2,3.7,3,,,,,,,,,,,,,,,,,,,,
182,,1. Refer to this link in the 'Glossary' for the definition of absenteeism.,,,,,,,,,,,,,,,,,,,,,,,
185,,"HEALTH, SAFETY AND WELLBEING",,,,,,,,,,,,,,,,,,,,,,,
187,,INJURY FREQUENCY RATES,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
188,,Lost Time Injury Frequency Rate Ã¢ÂÂ Group1,0.13,0.24,0.3,,,,,,,,,,,,,,,,,,,,
189,,Total Reportable Injury Frequency Rate Ã¢ÂÂ Group2,1.09,0.96,1.9,,,,,,,,,,,,,,,,,,,,
190,,Fatalities - Group,0,0,0,,,,,,,,,,,,,,,,,,,,
191,,1. Refer to this link in the 'Glossary' for the definition of Lost Time Injury Frequency Rate.,,,,,,,,,,,,,,,,,,,,,,,
192,,2. Refer to this link in the 'Glossary' for the definition of Total Recordable Injury Frequency Rate.,,,,,,,,,,,,,,,,,,,,,,,
195,,TRAINING AND CAPABILITY,,,,,,,,,,,,,,,,,,,,,,,
197,,AVERAGE HOURS OF TRAINING PER EMPLOYEE1,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
198,,Australia,25.3,23.1,27.2,,,,,,,,,,,,,,,,,,,,
199,,New Zealand,17.3,27.2,22.1,,,,,,,,,,,,,,,,,,,,
200,,Group average,24.1,23.6,26.7,,,,,,,,,,,,,,,,,,,,
201,,1. Refer to this link in the 'Glossary' for the definition of average hours of training per employee.,,,,,,,,,,,,,,,,,,,,,,,
204,,TRAINING COMPLIANCE AND COMPLETION RATES,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
205,,Occupational Health and Safety Training (%)1,99,99,99,,,,,,,,,,,,,,,,,,,,
206,,Code of Conduct training (%)2,99.5,99,100,,,,,,,,,,,,,,,,,,,,
207,,SBS cultural learning (%)3,99.9,NR,NR,,,,,,,,,,,,,,,,,,,,
208,,Data privacy management training (%)4,99.9,NR,NR,,,,,,,,,,,,,,,,,,,,
209,,Cybersecurity training (%)5,100,NR,NR,,,,,,,,,,,,,,,,,,,,
210,,Risk management training (%)6,99.7,NR,NR,,,,,,,,,,,,,,,,,,,,
211,,Bribery and corruption training (%)7,98.2,99.9,NR,,,,,,,,,,,,,,,,,,,,
212,,1. Refer to this link in the 'Glossary' for the definition of occupational health and safety training - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
213,,2. Refer to this link in the 'Glossary' for the definition of code of conduct training - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
214,,3. Refer to this link in the 'Glossary' for the definition of SBS cultural learning - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
215,,4. Refer to this link in the 'Glossary' for the definition of data privacy management training - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
216,,5. Refer to this link in the 'Glossary' for the definition of cybersecurity training - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
217,,6. Refer to this link in the 'Glossary' for the definition of risk management training - compliance rate.,,,,,,,,,,,,,,,,,,,,,,,
218,,7. Refer to this link in the 'Glossary' for the definition of bribery and corruption training - completion rate.,,,,,,,,,,,,,,,,,,,,,,,
221,,PERFORMANCE AND CAREER DEVELOPMENT,2023,,2022,,2021,,,,,,,,,,,,,,,,,,
222,,,Female,Male,Female,Male,Female,Male,,,,,,,,,,,,,,,,,
223,,Employees receiving regular performance and career development reviews (%)1,95,96,96,96,95,95,,,,,,,,,,,,,,,,,
224,,1. Refer to this link in the 'Glossary' for the definition of employees receiving regular performance and career development reviews.,,,,,,,,,,,,,,,,,,,,,,,
226,,WHISTLEBLOWER REPORTING1,,,,,,,,,,,,,,,,,,,,,,,
228,,,2023,,,2022,2021,,,,,,,,,,,,,,,,,,
229,,REPORT CATEGORIES,TOTAL,Substantiated4,In Progress,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,
230,,Theft & Fraud,10,0,5,15,7,,,,,,,,,,,,,,,,,,
231,,Bribery & Corruption,2,0,0,1,4,,,,,,,,,,,,,,,,,,
232,,Conflicts of Interest,7,1,2,16,10,,,,,,,,,,,,,,,,,,
233,,Privacy & Confidentiality,6,0,0,9,9,,,,,,,,,,,,,,,,,,
234,,People Issues,71,0,4,77,64,,,,,,,,,,,,,,,,,,
235,,Financial Accounting,0,0,0,1,0,,,,,,,,,,,,,,,,,,
236,,Other Illegal or Dishonest Conduct,15,2,7,17,23,,,,,,,,,,,,,,,,,,
237,,Policy & Procedure,51,10,16,36,50,,,,,,,,,,,,,,,,,,
238,,Health & Safety,2,0,0,12,3,,,,,,,,,,,,,,,,,,
239,,Reputational,0,0,0,0,2,,,,,,,,,,,,,,,,,,
240,,Other,5,0,0,4,14,,,,,,,,,,,,,,,,,,
241,,Total number of new concerns2,169,0,0,188,186,,,,,,,,,,,,,,,,,,
242,,Total number of Whistleblower concerns3,94,13,34,72,115,,,,,,,,,,,,,,,,,,
243,,1. Refer to this link in the 'Glossary' for the definition of whistleblower reporting.,,,,,,,,,,,,,,,,,,,,,,,
244,,"2. Includes concerns (i) assessed as 'Reportable Conduct' within the Speaking Up Policy (ii) assessed as not being 'Reportable Conduct' within the Speaking Up Policy and redirected to other channels, including work related grievances (iii) could not be progressed due to insufficient information (iv) were in triage at the time of the data extract or (v) were triaged to Westpac New Zealand for investigation",,,,,,,,,,,,,,,,,,,,,,,
245,,3. Includes concerns which were assessed as meeting the criteria of 'Reportable Conduct' within the Speaking Up Policy (excluding WNZL cases).,,,,,,,,,,,,,,,,,,,,,,,
246,,4. Includes partly substantiated case outcomes. Does not include matters referred out of the Speaking Up Program (e.g. to Human Resources) because:\n(i) the concerns were assessed as not meeting the criteria of 'Reportable Conduct' within the Speaking Up Policy \n(ii) the concerns were referred to Westpac New Zealand Ltd for investigation,,,,,,,,,,,,,,,,,,,,,,,
249,,CODE OF CONDUCT,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
250,,Alleged breaches of code of conduct1,1524,1176,1188,,,,,,,,,,,,,,,,,,,,
251,,Substantiated2,1097,1026,919,,,,,,,,,,,,,,,,,,,,
252,,Termination3,67,92,82,,,,,,,,,,,,,,,,,,,,
253,,Resignation4,59,66,94,,,,,,,,,,,,,,,,,,,,
254,,1. Refer to this link in the 'Glossary' for the definition of alleged code of conduct breaches.,,,,,,,,,,,,,,,,,,,,,,,
255,,2. Refer to this link in the 'Glossary' for the definition of substantiated code of conduct breaches.,,,,,,,,,,,,,,,,,,,,,,,
256,,3. Refer to this link in the 'Glossary' for the definition of termination of code of conduct breaches.,,,,,,,,,,,,,,,,,,,,,,,
