Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES (TCFD) INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RECOMMENDED DISCLOSURE,GUIDANCE FOR ALL SECTORS,SUPPLEMENTAL GUIDANCE FOR BANKS,WESTPAC RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNANCE: Disclose the company’s governance around climate-related risks and opportunities.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a) Describe the board’s oversight of climate-related risks and opportunities.,"In describing the board’s oversight of climate-related issues, organizations should consider including a discussion of the following:
• processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues;
• whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organization’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures; and
• how the board monitors and oversees progress against goals and targets for addressing climate-related issues.",None,"See our 2023 Annual Report: Section 2 – Sustainability governance and risk management

Westpac: Constitution and the Board 

See our 2023 Climate Report: 
Page 9: Board oversight of climate-related risks and opportunities
",,,,,,,,,,,,,,,,,,,,,,,,
,b) Describe management’s role in assessing and managing climate-related risks and opportunities.,"In describing management’s role related to the assessment and management of climate-related issues, organizations should consider including the following information:
• whether the organization has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues;
• a description of the associated organizational structure(s);
• processes by which management is informed about climate-related issues; and
• how management (through specific positions and/or management committees) monitors climate-related issues.",None,"See our 2023 Annual Report: Section 2 – Sustainability governance and risk management

See our 2023 Climate Report: 
Page 10 - 11: Management of climate-related matters",,,,,,,,,,,,,,,,,,,,,,,,
,"STRATEGY: Disclose the actual and potential impacts of climate-related risks and opportunities on the company’s businesses, strategy, and financial planning where such information is material. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
