Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
3,,GRI CONTENT INDEX,,,
4,,FOR THE YEAR-ENDED 30 SEPTEMBER 2023,,,
13,,GRI STANDARD NUMBER,DISCLOSURE,WESTPAC RESPONSE,SDG INDEX
14,,GRI 2: General Disclosures 2021,Disclosure 2-1 Organizational details\nThe organization shall:\na. report its legal name;\nb. report its nature of ownership and legal form;\nc. report the location of its headquarters;\nd. report its countries of operation.,"a. Westpac Banking Corporation\nb. Publicly listed company limited by shares under the Australian Corporations Act 2001 (Cth)\nc. 275 Kent Street, Sydney NSW 2000, Australia\nd. See our Website: Global locations",
15,,,"Disclosure 2-2 Entities included in the organizationÃ¢ÂÂs sustainability reporting\nThe organization shall:\na. list all its entities included in its sustainability reporting;\nb. if the organization has audited consolidated financial statements or financial information filed on public record, specify the differences between the list of entities included in its financial reporting and the list included in its sustainability reporting;\nc. if the organization consists of multiple entities, explain the approach used for consolidating the information, including:\ni. whether the approach involves adjustments to information for minority interests;\nii. how the approach takes into account mergers, acquisitions, and disposal of entities or parts of entities;\niii. whether and how the approach differs across the disclosures in this Standard and across material topics.",a. Includes Westpac Banking Corporation and its controlled entities (unless stated otherwise)\nb. 2023 Annual Report: Financial Statement Notes for investments due to subsidiaries and associates. This does not include philanthropic foundations that are not owned or operated by the Group.\nc. See our Website: Our businesses,
16,,,"Disclosure 2-3 Reporting period, frequency and contact point\nThe organization shall:\na. specify the reporting period for, and the frequency of, its sustainability reporting;\nb. specify the reporting period for its financial reporting and, if it does not align with the period for its sustainability reporting, explain the reason for this;\nc. report the publication date of the report or reported information;\nd. specify the contact point for questions about the report or reported information.","a. Annual reporting for 1 October 2022 to 30 September 2023, unless stated otherwise\nb. Sustainability and financial reporting is aligned\nc. 6 November 2023\nd. Email: sustainability@westpac.com.au",
17,,,Disclosure 2-4 Restatements of information\nThe organization shall:\na. report restatements of information made from previous reporting periods and explain:\ni. the reasons for the restatements;\nii. the effect of the restatements.,"a. Where relevant, prior period figures have been restated when more accurate data has become available and/or when there have been material changes to the methodologies for data calculation and estimation, and/or data errors have been identified. All restatements have been highlighted within the relevant data sheets, including footnotes to explain the reason for restatement.",
18,,,"Disclosure 2-5 External assurance\nThe organization shall:\na. describe its policy and practice for seeking external assurance, including whether and how the highest governance body and senior executives are involved;\nb. if the organizationÃ¢ÂÂs sustainability reporting has been externally assured:\ni. provide a link or reference to the external assurance report(s) or assurance statement(s);\nii. describe what has been assured and on what basis, including the assurance standards used, the level of assurance obtained, and any limitations of the assurance process;\niii. describe the relationship between the organization and the assurance provider.","a. See our 2023 Annual Report: Corporate Governance. The Board approves our external assurance scope of work annually. \nb.i. See PwC Assurance Statement on our website.\nb.ii. We obtained independent assurance over certain information in this spreadsheet, including a selection of key sustainability performance data and assertions made in our 2023 Annual Report and 2023 Climate Report. Refer to westpac.com.au/sustainability ('Performance Reports' page) for further details.\nb.iii. PwC is both the financial statement auditor and sustainability assurance provider to Westpac. See our Auditor's independence declaration in our Annual Report.",
19,,,"Disclosure 2-6 Activities, value chain and other business relationships\nThe organization shall:\na. report the sector(s) in which it is active; describe its value chain, including:\ni. the organizationÃ¢ÂÂs activities, products, services, and markets served;\nii. the organizationÃ¢ÂÂs supply chain;\niii. the entities downstream from the organization and their activities;\nb. report other relevant business relationships;\nc. describe significant changes in 2-6-a, 2-6-b, and 2-6-c compared to the previous reporting period.","a.i. See our Website: Our businesses\na.ii., iii. 2023 Annual Report: Creating value for the community; 2023 Modern Slavery Statement: Our Structure, Operations and Supply Chains; Website: Suppliers Sustainable Sourcing; Human Rights\nb. See our Website: Our businesses\nc. See our 2023 Annual Report: Significant developments",
20,,,"Disclosure 2-7 Employees\nThe organization shall:\na. report the total number of employees, and a breakdown of this total by gender and by region;\nb. report the total number of:\ni. permanent employees, and a breakdown by gender and by region;\nii. temporary employees, and a breakdown by gender and by region;\niii. non-guaranteed hours employees, and a breakdown by gender and by region;\niv. full-time employees, and a breakdown by gender and by region;\nv. part-time employees, and a breakdown by gender and by region;\nc. describe the methodologies and assumptions used to compile the data, including whether the numbers are reported:\ni. in head count, full-time equivalent (FTE), or using another methodology;\nii. at the end of the reporting period, as an average across the reporting period, or using another methodology;\nd. report contextual information necessary to understand the data reported under 2-7-a and 2-7-b;\ne. describe significant fluctuations in the number of employees during the reporting period and between reporting periods.","a. to c. See our 2023 Sustainability Index and Datasheet: tabs Employees (Employee profile tables), and Glossary \nd., e. See our 2023 Sustainability Index and Datasheet: tab Employees (Employee profile tables); 2023 Annual Report: Creating value for our people",
