Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
32,,,"Disclosure 2-19 Remuneration policies\nThe organization shall:\na. describe the remuneration policies for members of the highest governance body and senior executives, including:\ni. fixed pay and variable pay;\nii. sign-on bonuses or recruitment incentive payments;\niii. termination payments;\niv. clawbacks;\nv. retirement benefits;\nb. describe how the remuneration policies for members of the highest governance body and senior executives relate to their objectives and performance in relation to the management of the organizationÃ¢ÂÂs impacts on the economy, environment, and people.","a., b. See our 2023 Annual Report: DirectorsÃ¢ÂÂ Report (Remuneration Report)",
33,,,"Disclosure 2-20 Process to determine remuneration\nThe organization shall:\na. describe the process for designing its remuneration policies and for determining remuneration, including:\ni. whether independent highest governance body members or an independent remuneration committee oversees the process for determining remuneration;\nii. how the views of stakeholders (including shareholders) regarding remuneration are sought and taken into consideration;\niii. whether remuneration consultants are involved in determining remuneration and, if so, whether they are independent of the organization, its highest governance body and senior executives;\nb. report the results of votes of stakeholders (including shareholders) on remuneration policies and proposals, if applicable.","a., b. See our 2023 Annual Report: DirectorsÃ¢ÂÂ Report (Remuneration Report); and Corporate Governance Statement",
34,,,Disclosure 2-21 Annual total compensation ratio\nThe organization shall:\na. report the ratio of the annual total compensation for the organizationÃ¢ÂÂs highest-paid individual to the median annual total compensation for all employees (excluding the highest-paid individual);\nb. report the ratio of the percentage increase in annual total compensation for the organizationÃ¢ÂÂs highest-paid individual to the median percentage increase in annual total compensation for all employees (excluding the highest-paid individual);\nc. report contextual information necessary to understand the data and how the data has been compiled.,a. to c. See our 2023 Sustainability Index and Datasheet: tab Employees (Remuneration table),
35,,,Disclosure 2-22 Statement on sustainable development strategy\nThe organization shall:\na. report a statement from the highest governance body or most senior executive of the organization about the relevance of sustainable development to the organization and its strategy for contributing to sustainable development.,a. See our 2023 Annual Report: Sustainability,
36,,,"Disclosure 2-23 Policy commitments\nThe organization shall:\na. describe its policy commitments for responsible business conduct, including:\ni. the authoritative intergovernmental instruments that the commitments reference;\nii. whether the commitments stipulate conducting due diligence;\niii. whether the commitments stipulate applying the precautionary principle;\niv. whether the commitments stipulate respecting human rights;\nb. describe its specific policy commitment to respect human rights, including:\ni. the internationally recognized human rights that the commitment covers;\nii. the categories of stakeholders, including at-risk or vulnerable groups, that the organization gives particular attention to in the commitment;\nc. provide links to the policy commitments if publicly available, or, if the policy commitments are not publicly available, explain the reason for this;\nd. report the level at which each of the policy commitments was approved within the organization, including whether this is the most senior level;\ne. report the extent to which the policy commitments apply to the organizationÃ¢ÂÂs activities and to its business relationships;\nf. describe how the policy commitments are communicated to workers, business partners, and other relevant parties.","a., b.,d., e., f. See our Website: Operating principles and policies; Responsible Sourcing; Modern Slavery Statement FY22, Human Rights Position Statement and Action Plan; 2023 Annual Report: Creating value for the community; DirectorsÃ¢ÂÂ report\nc. See our sustainability positions and perspectives: https://www.westpac.com.au/about-westpac/sustainability/our-positions-and-perspectives/\n",
37,,,"Disclosure 2-24 Embedding policy commitments\nThe organization shall:\na. describe how it embeds each of its policy commitments for responsible business conduct throughout its activities and business relationships, including:\ni. how it allocates responsibility to implement the commitments across different levels within the organization;\nii. how it integrates the commitments into organizational strategies, operational policies, and operational procedures;\niii. how it implements its commitments with and through its business relationships;\niv. training that the organization provides on implementing the commitments.",a. See our Website: Operating principles and policies; Responsible Sourcing; Modern Slavery Statement FY22; 2023 Annual Report: DirectorsÃ¢ÂÂ Report,
38,,,"Disclosure 2-25 Processes to remediate negative impacts\nThe organization shall:\na. describe its commitments to provide for or cooperate in the remediation of negative impacts that the organization identifies it has caused or contributed to;\nb. describe its approach to identify and address grievances, including the grievance mechanisms that the organization has established or participates in;\nc. describe other processes by which the organization provides for or cooperates in the remediation of negative impacts that it identifies it has caused or contributed to;\nd. describe how the stakeholders who are the intended users of the grievance mechanisms are involved in the design, review, operation, and improvement of these mechanisms;\ne. describe how the organization tracks the effectiveness of the grievance mechanisms and other remediation processes, and report examples of their effectiveness, including stakeholder feedback.","a. to d. See our Human Rights Position Statement, Modern Slavery Statement FY22; 2023 Sustainability Index and Datasheet Ã¢ÂÂ tab UNGP; 2023 Annual Report: Creating value for the community\ne. As appropriate, we may consider enhancing our disclosures for this topic in coming years.",
39,,,Disclosure 2-26 Mechanisms for seeking advice and raising concerns\nThe organization shall:\na. describe the mechanisms for individuals to:\ni. seek advice on implementing the organizationÃ¢ÂÂs policies and practices for responsible business conduct;\nii. raise concerns about the organizationÃ¢ÂÂs business conduct.,"a. See our website: Listening to Stakeholders, Speaking Up Policy; Human Rights Position Statement and Action Plan: Feedback, complaints and questions.\n",
40,,,"Disclosure 2-27 Compliance with laws and regulations\nThe organization shall:\na. report the total number of significant instances of non-compliance with laws and regulations during the reporting period, and a breakdown of this total by:\ni. instances for which fines were incurred;\nii. instances for which non-monetary sanctions were incurred;\nb. report the total number and the monetary value of fines for instances of noncompliance with laws and regulations that were paid during the reporting period, and a breakdown of this total by:\ni. fines for instances of non-compliance with laws and regulations that occurred in the current reporting period;\nii. fines for instances of non-compliance with laws and regulations that occurred in previous reporting periods;\nc. describe the significant instances of non-compliance;\nd. describe how it has determined significant instances of non-compliance.\n","a to d. See our 2023 Annual Report: Significant developments, litigation and regulatory proceedings\n",
41,,,"Disclosure 2-28 Membership associations\nThe organization shall:\na. report industry associations, other membership associations, and national or international advocacy organizations in which it participates in a significant role.",a. See our Website: Industry Associations and Engagements,
42,,,"Disclosure 2-29 Approach to stakeholder engagement\nThe organization shall:\na. describe its approach to engaging with stakeholders, including:\ni. the categories of stakeholders it engages with, and how they are identified;\nii. the purpose of the stakeholder engagement;\niii. how the organization seeks to ensure meaningful engagement with stakeholders.",a. See our Website: Listening to Stakeholders \n,
43,,,"Disclosure 2-30 Collective bargaining agreements\nThe organization shall:\na. report the percentage of total employees covered by collective bargaining agreements;\nb. for employees not covered by collective bargaining agreements, report whether the organization determines their working conditions and terms of employment based on collective bargaining agreements that cover its other employees or based on collective bargaining agreements from other organizations.","a. See our 2023 Sustainability Index and Datasheet: tab Employees (Employee Relations table). \nb. For employees not covered by collective bargaining agreements, their working conditions and terms of employment are stipulated in individual employment contracts which adheres to relevant country employment standards and regulations.",
44,,MANAGEMENT APPROACH,,,
45,,GRI 3: Material Topics 2021,"Disclosure 3-1 Process to determine material topics\nThe organization shall:\na. describe the process it has followed to determine its material topics, including:\ni. how it has identified actual and potential, negative and positive impacts on the economy, environment, and people, including impacts on their human rights, across its activities and business relationships;\nii. how it has prioritized the impacts for reporting based on their significance;\nb. specify the stakeholders and experts whose views have informed the process of determining its material topics.","a., b. See our 2023 Annual Report: Material sustainability topics",
