Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
33,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Net Promoter Score,,,Westpac,2023.0,Westpac continuously gathers feedback from customers and employees to better understand how it can improve its service. Customer feedback through Net Promoter Score (NPS) and complaints channels is used to develop customer solutions. They measure the impact of enhancements and foster a customer-first culture across the Group.,,,Data sheet,,26,,"Net Promoter Score, feedback, customer",,17,S,,,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Market Disclosure Policy,,,Westpac,2023.0,"Westpac's Market Disclosure Policy provides a framework for managing its disclosure obligations. It satisfies the disclosure requirements of the ASX, NZX, and other relevant offshore securities exchanges and relevant securities and corporations legislation. Under the policy, information that a reasonable person would expect to have a material effect on the price or value of Westpac's securities must first be disclosed via the ASX unless an exception applies under regulatory requirements.",,,Data sheet,,,22,"Market Disclosure Policy, disclosure obligation, securities exchange",,"16, 17","S, G",,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-30,Collective bargaining agreements,"For employees not covered by collective bargaining agreements, their working conditions and terms of employment are stipulated in individual employment contracts, which adhere to relevant country employment standards and regulations.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-1,Process to determine material topics,Westpac begins its identification of material sustainability topics with the risks recorded in Westpac's integrated risk and compliance management system and prioritises sustainability-related risks with a higher 'Inherent Risk Rating'.,,,,Westpac,2023.0,,,,Data sheet,,18,,,,,,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-2,List of material topics,"Westpac's material topics are financial performance, work culture, data privacy, and climate change.",,,,Westpac,2023.0,,,,Data sheet,,18,,,,,,,,,,,,,,,,,,,,,
38,,3.0,Material Topics,3-3,Management of material topics,,Sustainability Strategy,,,Westpac,2023.0,"Westpac's Sustainability Strategy sets out how it works to serve its stakeholders better and addresses local and global challenges. The strategy was launched in 2020 and designed to operate for three years. The strategy had three pillars: helping when it matters the most, backing a stronger Australia and New Zealand, and collaborating for impact.",,,Data sheet,Data sheet,,,"Sustainability Strategy, stakeholder, global challenge",,17,"E, S, G",,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-3,Management of material topics,,Everyday Banking chatbot,,,Westpac,2023.0,"Westpac uses AI to improve its service, provide insights, and keep the bank and customers safe. For instance, AI drives Westpac's Everyday Banking chatbots, which provide 24/7 support to customers. The chatbots guide customers to a range of self-service features and can escalate the conversation to the right team member when required.",,,Data sheet,,23,,"Everyday Banking chatbot, AI, customer",,"9, 17",S,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-3,Management of material topics,,Westpac Growth Labs,,,Westpac,2023.0,"The Westpac Growth Labs research and development team explores how emerging technologies can deliver better services, make the bank safer and improve the lives of customers and employees. One research project investigated how generative AI can boost software development productivity. AI coding assistants offer suggestions that help developers save time. Following an experiment with 60 developers that found they were 46% more productive with AI assistance, Westapc launched AI coding assistants across its teams.",It has led to a 20% increase in coding output for developers and is helping junior developers build capability faster.,AI,Data sheet,,23,,"Westpac Growth Labs, research and development, AI",,"9, 17",S,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,,Westpac App,,,Westpac,2023.0,"Customers are increasingly using Westpac's website and app. Digital transactions increased by 11%, totalling almost 700 million over the year. The Westpac app is fast becoming customers' 'bank in the pocket', with over 5 million daily sessions. It offers customers instant access, payments, answers and approvals. Westpac also introduced new features over the year, including additional budgeting tools, carbon footprint tracking, ways to manage payment subscriptions and voice search functionality.",,,Data sheet,,25,,"Westpac App, digital transaction, instant access",,"9, 17",S,,,,,,,,,,,,,,,,
42,,3.0,Material Topics,3-3,Management of material topics,,ShopBack,,,Westpac,2023.0,Westpac partnered with ShopBack to help Westpac customers get more for their money. More than five million credit and debit card customers can now access exclusive cashback offers via a dedicated ShopBack app and website hub. It will be available via the Westpac app next year.,,,Data sheet,,25,,"ShopBack, customer, cashback",,8,S,,,,,,,,,,,,,,,,
