Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
99,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,Violence leave,,,Westpac,2023.0,"Westpac's domestic and family violence leave is uncapped for employees who have experienced domestic or family violence, and carers of those experiencing domestic and family violence can access up to 10 days of leave each year. Temporary emergency accommodation support is also available to employees who are experiencing domestic or family violence.",,,Data sheet,,30,,"Violence leave, family violence, emergency accommodation",,8,S,,,,,,,,,,,,,,,,
100,,401.0,Employment,401-03,Parental leave,,Fertility leave,,,Westpac,2023.0,"Care is at the heart of its people proposition and is reflected in its initiatives, benefits and employee programs. This year, Westpac introduced fertility leave, coupled with education initiatives to build awareness of fertility experiences, a peer-led network to provide a safe space to share experiences and access to expert counselling support for fertility and pregnancy loss.",,,Data sheet,,30,,"Fertility leave, education initiative, fertility experience",,8,S,,,,,,,,,,,,,,,,
101,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,"If a change involves a reduction of 15 or more FTE positions occupied by permanent employees, Westpac's EA outlines that consultation will be for 10 calendar days. The 10-day calendar requirement does not apply to the direct reports of general managers or above. If, following consultation, an employee is to be retrenched, Westpac will provide the employee with a minimum of 6 weeks' notice (or payment in lieu) following its EA.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
102,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Performance management framework,,,Westpac,2023.0,"Westpac's performance management framework helps its people and leaders define performance and risk expectations. Over 90% of employees have defined risk goals, and in early FY23, based on FY22 performance, 313 employees received increased variable rewards for delivering exceptional risk outcomes.",,,Data sheet,,29,,"Performance management framework, risk expectation, risk outcome",,"3, 8",S,,,,,,,,,,,,,,,,
103,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,HSW management system,,,Westpac,2023.0,"Westpac's HSW management system includes processes to identify and report hazards, assess risks, and eliminate or control risks in line with the hierarchy of controls to prevent harm to its people. These processes can be routine, such as checklists and inspections completed by employees and leaders or through reporting HSW hazards in Westpac's hazard and incident management system.",,,Data sheet,Data sheet,,,"HSW management system, hazard, incident management system",,"3, 8",S,,,,,,,,,,,,,,,,
104,,403.0,Occupational Health and Safety,403-03,Occupational health services,,Employee Care team,,,Westpac,2023.0,"Westpac has a dedicated Employee Care team comprising allied health professionals, safety professionals and psychologists, who provide advice and support on prevention, early intervention and care. Westpac also provides a range of external services for employees, including medical services for employees who may have a work-related injury or illness and an employee assistance program providing free, confidential support and counselling for all Westpac Group employees and their immediate family members.",,,Data sheet,Data sheet,,,"Employee Care team, health professional, safety professional",,"3, 8",S,,,,,,,,,,,,,,,,
105,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",Westpac's consultation procedure defines its approach to consulting with its people on HSW matters and guides more formal consultation arrangements such as health and safety committees and representatives.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,HSW training,,,Westpac,2023.0,"Employees and leaders are trained in Westpac's risk management procedures through its mandatory HSW training, and roles and responsibilities are also articulated in internal HSW policies and procedures. All employees must report HSW hazards and incidents to Westpac's HSW management system. It supports and facilitates leaders investigating the incident and developing and documenting additional controls.\t",,,Data sheet,Data sheet,,,"HSW training, risk management procedure, HSW policy",,"3, 8",S,,,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Pharmacy partnership program,,,Westpac,2023.0,"Westpac provides services and resources to address physical and mental health, such as the employee assistance program and specialised resources to help employees manage their health and well-being. Westpac offers flu and COVID-19 vaccinations through its annual corporate vaccination and workplace and pharmacy partnership programs. In Papua New Guinea and Fiji, Westpac also provides medical insurance to its employees to assist in providing access to healthcare services.",,,Data sheet,Data sheet,,,"Pharmacy partnership program, mental health, well-being",,"3, 8",S,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Mental health strategy,,,Westpac,2023.0,"Westpac refreshed its workplace mental health strategy and implemented various initiatives, including piloting a divisional-level mental health risk assessment. The assessment responds to higher expectations from safety regulators to assess and manage workplace mental health risks actively.",,,Data sheet,,30,,"Mental health strategy, mental health risk assessment, safety regulator",,"3, 8",S,,,,,,,,,,,,,,,,
