Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
132,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Sustainability Risk Class,,,Westpac,2023.0,"Westpac rolled out the Sustainability Risk Class, including modern slavery risk, to divisional risk profiles. Where applicable, an assessment of the likelihood and materiality of the risk arising was completed, along with an assessment of the strength of the control environment.",,,Data sheet,,,,"Sustainability Risk Class, modern slavery risk, divisional risk profile",,"8, 16","S, G",,Modern Slavery Statement page 24,,,,,,,,,,,,,,
133,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,ESG Professional Development,,,Westpac,2023.0,"Westpac delivered the ESG Professional Development training for over 1,100 employees, including those who work in areas with potentially high exposure to modern slavery risk in Westpac's Business bank, WIB and Procurement teams. It included a focus on human rights and case studies featuring modern slavery. The program was delivered as a virtual workshop in partnership with Monash University's Castan Centre for Human Rights Law and Pillar Two (a business and human rights advisory firm). The program aimed to establish baseline knowledge of material ESG risks associated with customers and industry sectors and facilitate strategic engagement with customers on current and emerging ESG issues.",,,Data sheet,,,,"ESG Professional Development, human rights, modern slavery",,"8, 16","S, G",,Modern Slavery Statement page 30,,,,,,,,,,,,,,
134,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Responsible Sourcing online module,,,Westpac,2023.0,"Westpac delivered a Responsible Sourcing online learning module for employees involved in sourcing, procurement or supplier management activities. This module is in place to support Westpac's purchasing decisions, raise awareness of how to identify and manage sustainability risks and promote respect and protection of human rights in its supply chain.",,,Data sheet,,,,"Responsible Sourcing, online module, supplier management, procurement",,"8, 16","S, G",,Modern Slavery Statement page 30,,,,,,,,,,,,,,
135,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,Voice to Parliament,,,Westpac,2023.0,"As part of its support for the Uluru Statement from the Heart, Westpac stood beside its First Nations partners to support a Voice to Parliament. Westpact needs to move forward together to focus on improving the quality of life in Aboriginal and Torres Strait Islander communities. Westpac remains committed to delivering its RAP, listening to Aboriginal and Torres Strait Islander peoples and supporting its employees.",,,Data sheet,,35,,"Voice to Parliament, Uluru Statement from the Heart, First Nations",,17,S,,,,,,,,,,,,,,,,
136,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reconciliation Action Plan,,,Westpac,2023.0,Westpac's current Reconciliation Action Plan was launched in April 2022 and is expected to operate until 2025 before being refreshed. Westpac is proud that its RAP has been designated an Elevate RAP by Reconciliation Australia. The RAP outlines Westpac's vision for reconciliation where Aboriginal and Torres Strait Islander peoples have equal economic participation and financial well-being.,,,Data sheet,Data sheet,,,"Reconciliation Action Plan, Elevate RAP, economic participation",,"8, 17",S,,,,,,,,,,,,,,,,
137,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Managing Your Money,,,Westpac,2023.0,"In New Zealand, over 10,000 people participated in the Managing Your Money workshops this year, in addition to targeted seminars held for businesses and corporate customers, including partnerships with key Chambers of Commerce nationwide.",,,Data sheet,,26,,"Managing Your Money, seminar, Chambers of Commerce",,4,S,,,,,,,,,,,,,,,,
138,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Westpac Foundation,,,Westpac,2023.0,"Westpac Foundation was one of Australia's first philanthropic organisations to develop a grant program to support social enterprises that address social problems while helping under-represented and disadvantaged communities access jobs. Meaningful employment is a pathway out of disadvantage. Westpac Foundation is well on its way to achieving its mission of supporting grant partners to create 10,000 jobs by 2030, with 7,240 jobs created since 2015.",,,Data sheet,,33,,"Westpac Foundation, philanthropic organisation, disadvantaged community",,17,S,,,,,,,,,,,,,,,,
139,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Westpac Scholars Trust,,,Westpac,2023.0,"Westpac Scholars Trust is helping to transform the future of Australia by investing in a new generation of leaders. It funds 100 scholarships annually, valued at over $4 million annually Ã¢ÂÂ supporting university students, researchers and social entrepreneurs. Westpac Scholars Trust awarded $4.9 million to 100 scholars undertaking varied and meaningful pursuits this year. These include a refugee running a social enterprise to help others gain meaningful employment in construction, a researcher investigating plant cells to improve crop yields in the face of climate change and food scarcity and an environmental economist investigating the economic cost of air pollution in Australia.",,,Data sheet,,33,,"Westpac Scholars Trust, university student, entrepreneur",,"4, 8",S,,,,,,,,,,,,,,,,
140,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,"St.George, BankSA, Bank of Melbourne Foundations",,,Westpac,2023.0,"The St.George, BankSA and Bank of Melbourne Foundations invest in Australian charities supporting children and young people. The grant programs target barriers to inclusion, ensuring children and young people experiencing various challenges have opportunities to thrive. In 2023, more than $3.2 million was awarded to 60 charities across Australia.",,,Data sheet,,33,,"St.George, BankSA, Bank of Melbourne Foundations, an Australian charity, the grant program",,17,S,,,,,,,,,,,,,,,,
141,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Virtual STEM Academy,,,Westpac,2023.0,"With the support of the St.George Foundation's Inspire Grant, Schools Plus has expanded its Virtual STEM Academy across Australia, focusing on female and First Nations students. The Virtual STEM Academy program has transformed online learning and developed children's problem-solving, inquiry, critical thinking and curiosity skills. One of its goals is to open career pathways for underrepresented groups in the STEM sector.",,,Data sheet,,33,,"Virtual STEM Academy, Schools Plus, First Nations student",,4,S,,,,,,,,,,,,,,,,
142,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Te Waiu O Aotearoa Trust,,,Westpac,2023.0,"The Te Waiu O Aotearoa Trust offers scholarships to promote, develop and provide for the education and advancement of MÃÂori within the banking and finance industry and general business in New Zealand. In 2023, the Trust offered six student scholarships worth $5,000 each, bringing the total to 29 since the start of the program in 2013.",,,Data sheet,,33,,"Te Waiu O Aotearoa Trust, scholarship, MÃÂori",,4,S,,,,,,,,,,,,,,,,
143,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Community fund,,,Westpac,2023.0,"Under Westpac's Bomen Solar Farm agreement with Spark Renewables, a $1 million community fund was established to give back to the community. Included in the fund's initiatives are a 10-year high school program to improve local educational outcomes, a newly built fire shed for the local RFS, installation of solar panels for a local community facility, support of a university research trial into solar and agriculture and a major biodiversity project which involves funding the planting of 50,000 trees, shrubs and grasses to regreen a site in the local Wagga Wagga area.",,,Data sheet,,,,"Community fund, Bomen Solar Farm, Spark Renewables",,17,S,,Climate Report page 20,,,,,,,,,,,,,,
144,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,"Safer Children, Safer Communities",,,Westpac,2023.0,"In FY22, funding through Westpac's ""Safer Children, Safer Communities"" program helped the International Justice Mission (IJM) support 174 victim rescues, train 400 law enforcement officials and 120 prosecutors, and assist in the conviction of 40 perpetrators in the Philippines. It helped Save the Children provide child protection training to over 3,000 children and 1,500 adults across 32 community training workshops to raise awareness of online child sexual exploitation in the Philippines.",,,Data sheet,,,,"Safer Children, Safer Communities, International Justice Mission, law enforcement official",,17,S,,Modern Slavery Statement page 20,,,,,,,,,,,,,,
145,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Australian Childhood Foundation,,,Westpac,2023.0,"Westpac provided seed funding to the Australian Childhood Foundation to set up a Child Safe Business Coalition, which will seek to drive action on child safeguarding among Australian businesses. The Coalition held two co-design workshops this year, which saw representation from businesses across the financial, telecommunications, social media and retail sectors.",,,Data sheet,,,,"Australian Childhood Foundation, Child Safe Business Coalition, child safeguarding",,17,S,,Modern Slavery Statement page 20,,,,,,,,,,,,,,
146,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Access and Inclusion Plan,,,Westpac,2023.0,"Westpac provides customers, employees and the community with independent and equal access to its products, services and collateral. Westpac's Access and Inclusion Plan outlines its initiatives for helping those with disability, neurodiversity or chronic health conditions succeed. It is supported by Westpac's ongoing focus on more accessible products, services and collateral.",,,Data sheet,,26,,"Access and Inclusion Plan, customer, equal access",,"10, 17",S,,,,,,,,,,,,,,,,
147,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Social impact assessment,,,Westpac,2023.0,"Westpac's ESG Risk team assessed the appropriateness of the social impact assessment, particularly given it has recently been implemented as a new risk impact scale category. Westpac reviewed incidents that may have a potential social impact, such as risks relating to vulnerable customers, customers identified as requiring extra care, and incidents involving domestic violence.",,,Data sheet,,162,,"Social impact assessment, ESG Risk team, risk impact scale",,"8, 16","S, G",,,,,,,,,,,,,,,,
148,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Responsible Sourcing Code of Conduct,,,Westpac,2023.0,"Through the Responsible Sourcing Code of Conduct, Westpac encourages suppliers to set clear expectations of their suppliers regarding modern slavery. Westpac's Responsible Sourcing Assessment includes questions about policies and processes concerning human rights, including modern slavery, particularly managing the risk of modern slavery in suppliers' supply chains.",,,Data sheet,,,,"Responsible Sourcing Code of Conduct, supplier, modern slavery",,"8, 16","S, G",,Modern Slavery Statement page 21,,,,,,,,,,,,,,
149,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Adverse media screeninig,,,Westpac,2023.0,"In FY21, Westpac introduced an adverse media screening process to seek to monitor modern slavery risks in selected high-risk areas of its supply chain and began piloting this with 50 suppliers (selected based on their spending and risk profile). In FY22, Westpac continued to monitor these suppliers and identified significant media attention concerning modern slavery allegations and regulatory activities associated with the manufacture of solar panels.",,,Data sheet,,,,"Adverse media screening, modern slavery risk, supply chain",,"8, 16","S, G",,Modern Slavery Statement page 21,,,,,,,,,,,,,,
150,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,Modern slavery control review,,,Westpac,2023.0,"Westpac's ESG Risk reviewed its modern slavery controls across its Australian Consumer and Business Division. The review involved identifying controls used to measure and manage modern slavery risk and whether they have been adopted. The controls included 'know your customer' related controls, customer onboarding risk assessments and transaction monitoring.",,,Data sheet,,162,,"Modern slavery control, modern slavery risk, customer onboarding",,"8, 16","S, G",,,,,,,,,,,,,,,,
151,,415.0,Public Policy,415-01,Political contributions,"Westpac incurred no political donations and $1,942,414 political-related expenditures in 2023.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
152,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,416.0,Customer Health and Safety,416-02,Incidents of non-compliance concerning the health and safety impacts of products and services,,,,NO DISCLOSURE,Westpac,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,417.0,Marketing and Labeling,417-01,Requirements for product and service information and labeling,,Customer safety training,,,Westpac,2023.0,"Westpac's specialist teams are trained to support customers experiencing vulnerability, including domestic and family violence, financial abuse and problem gambling. During the year, Westpac continued to embed customer safety into product design and provided mandatory training to over 1,000 product and service development employees.",,,Data sheet,,26,,"Customer, family violence, vulnerability",,10,S,,,,,,,,,,,,,,,,
155,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,Financial abuse prevention,,,Westpac,2023.0,"Westpac's measures reinforce its stance against financial abuse and complement other initiatives such as providing customers with the ability to report abusive messages, proactively blocking inappropriate language from outgoing payments and directly contacting, and in some cases ceasing business with, perpetrators. This action is driving change. Over 90% of perpetrators discontinued abusive behaviour this calendar year after receiving a warning letter.",,,Data sheet,,26,,"Financial abuse prevention, customer, abusive message",,10,S,,,,,,,,,,,,,,,,
156,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,Internal Customer Vulnerability Standard,,,Westpac,2023.0,"Westpac launched a new internal Customer Vulnerability Standard, which describes Group requirements to service its vulnerable customers and incorporates the Australian Banking Association's Banking Code of Practice (BCoP) requirement that banks provide inclusive and accessible services. The standard identifies modern slavery as a circumstance that may cause customer vulnerability.",,,Data sheet,,,,"Internal Customer Vulnerability Standard, vulnerable customer, Banking Code of Practice",,10,S,,Modern Slavery Statement page 17,,,,,,,,,,,,,,
157,,417.0,Marketing and Labeling,417-03,Incidents of non-compliance concerning marketing communications,,Fraud detection system,,,Westpac,2023.0,"In an Australian banking first, Westpac integrated its fraud detection systems with its digital payment platforms to help customers identify potential scams through real-time payment prompts. Westpac added another layer of security to its Verify capability, alerting customers to potential scams by showing them a 'scam risk rating' when they add a new payee using digital banking.",,,Data sheet,,27,,"Fraud detection system, digital payment platform, scam",,"9, 10",S,,,,,,,,,,,,,,,,
158,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,IDCARE,,,Westpac,2023.0,Westpac protects customers from cybercrime through ongoing awareness and education programs. It includes IDCARE cyber resilience outreach clinics in regional and remote communities and provides resources to help teachers share cyber security concepts with students through the Schools Cyber Security Challenge.\t,,,Data sheet,,27,,"IDCARE, cybercrime, Schools Cyber Security Challenge",,16,"S, G",,,,,,,,,,,,,,,,
