Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
74,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Pro Medicus recognises the importance of promoting sustainable water management practices. Water scarcity is increasingly affecting more populations worldwide. Pro Medicus monitors and reports water consumption, intending to reduce our environmental impact and increase efficient water management practices.",,,,Pro Medicus,2023.0,,,,,,23,,,,,,,,,,,,,,,,,,,,,
75,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-05,Water consumption,730.4 KL,,,,Pro Medicus,2023.0,,,,,,23,,,,,,,,,,,,,,,,,,,,,
79,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,1.9 tCO2e,,,,Pro Medicus,2023.0,,,,,,23,,,,,,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"96,7 tCO2e",,,,Pro Medicus,2023.0,,,,,,23,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-04,GHG emissions intensity,,Comprehensive carbon footprint assessment,,,Pro Medicus,2023.0,"Determine our current greenhouse gas emissions by conducting a comprehensive carbon footprint assessment, considering emissions from energy consumption, transportation, waste generation, and those within the Group's supply chain.",,,,,22,,"Greenhouse Gas, Carbon Footprint, Assessment",13.0,E,13.0,,,,,,,,,,,,,,,,
87,,305.0,Emissions,305-04,GHG emissions intensity,,Emissions reduction strategy,,,Pro Medicus,2023.0,"We establish achievable reduction targets for our Company's emissions. We aim to reduce emissions through energy efficiency measures, renewable energy adoption, and process optimisation.",,,,,22,,"Reduction Targets, Emission Reduction, Efficiency",13.0,E,13.0,,,,,,,,,,,,,,,,
88,,305.0,Emissions,305-05,Reduction of GHG emissions,,Carbon neutral,,,Pro Medicus,2023.0,"Being carbon neutral is an ongoing process, and we will continually evaluate and adjust our choices of emissions to minimise our environmental impact. Regularly track and report the Group's progress towards carbon neutrality.",,,,,22,,"Carbon Neutral, Emission Minimisation, Environmental Impact",13.0,E,13.0,,,,,,,,,,,,,,,,
89,,305.0,Emissions,305-05,Reduction of GHG emissions,,GHG methodology,,,Pro Medicus,2023.0,"The GHG emissions have been prepared by Pro Medicus's GHG Inventory Basis of Preparation, which references the World Business Council for Sustainable Development Greenhouse Gas Protocol. The methodology for energy and emission factors related to the international offices is sourced from Australia's National Greenhouse Accounts (NGA), the German Environmental Federal Office and the US Environmental Protection Agency (EPA).",,,,,23,,"GHG Emissions, Inventory, Preparation",13.0,E,13.0,,,,,,,,,,,,,,,,
90,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,Develop strategies to minimise waste generation and maximise recycling within the Company.,,,,Pro Medicus,2023.0,,,,,,22,,,,,,,,,,,,,,,,,,,,,
