Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"PME is a developer and supplier of healthcare imaging software and services to hospitals, diagnostic imaging groups and other related health entities in Australia, North America and Europe.",,,,Pro Medicus,2023.0,,,,,,11,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,Pro Medicus Limited is an Australian incorporated and domiciled company listed on the ASX with subsidiaries in Europe and North America (collectively the Group).,,,,Pro Medicus,2023.0,,,,,,11,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",This report covers Pro Medicus' operations with information referring to the year ended 30 June 2023 unless otherwise stated. It includes the critical disclosures required under Australian legislation and provides a holistic business overview.,,,,Pro Medicus,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,"Pro Medicus has an Audit and Risk Management Committee tasked with verifying the integrity of any periodic corporate report released to the market that has yet to be audited or reviewed by the Company's external auditor, EY.",,,,Pro Medicus,2023.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","The principal activities of the Group during the year were the development and supply of healthcare imaging software, Radiology Information System (RIS) software and services to hospitals, diagnostic imaging groups and other related health entities in Australia, North America and Europe.",,,,Pro Medicus,2023.0,,,,,,11,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,Number of Employees - 110,,,,Pro Medicus,2023.0,,,,,,,5,,,,,Modern slavery statement,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"As of 30 June 2023, the Company had an Audit and Risk Committee comprising 5 Non-Executive Directors and a People and Culture Committee comprising 4 Non-Executive Directors.",,,,Pro Medicus,2023.0,,,,,,26,,,,,,,,,,,,,,,,,,,,,
