Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
111,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Work-life balance and well-being promotion,,,Pro Medicus,2023.0,"Promote a healthy work-life balance by offering flexible work arrangements, wellness programs, and other initiatives that support physical and mental well-being.",,,,,21,,"Work-Life Balance, Wellness Programs, Workforce",3.0,S,8.0,,,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Productivity and efficiency approach,,,Pro Medicus,2023.0,"A satisfied workforce tends to be more productive and efficient. By prioritising the well-being of our staff, providing the necessary resources, and fostering a healthy work-life balance, we enhance productivity while reducing stress and burnout, ultimately contributing to the long-term sustainability of the business.",,,,,21,,"Workforce Satisfaction, Productivity, Wellbeing",3.0,S,8.0,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,403.0,Occupational Health and Safety,403-09,Work-related injuries,Pro Medicus maintains a robust health and safety record and has zero workplace injuries.,,,,Pro Medicus,2023.0,,,,,,22,,,,,,,,,,,,,,,,,,,,,
116,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Career Development Framework,,,Pro Medicus,2023.0,This program provides training opportunities and skill-building initiatives to empower our staff to grow personally and professionally.\t,,,,,21,,"Training, Skill Building, Empowerment",4.0,S,8.0,,,,,,,,,,,,,,,,
119,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Pro Medicus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,"Diversity, Equity and Inclusion Policy (DEI)",,,Pro Medicus,2023.0,"During the year, we also updated our Diversity, Equity and Inclusion Policy (DEI), which was approved and endorsed by our Board. It forms the basis for our global DEI strategy and provides a framework to achieve the Company's diversity goals.",,,,,"21, 22",,"Diversity, Equity, Inclusion Policy",5.0,S,10.0,,,,,,,,,,,,,,,,
