Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2,,Offsets,,,,,,,,
4,,Units Surrendered for FY22 and FY23,,,,,,,,
5,,Project Name,Project ID,Credit type,Abatement Method,Year of Issuance,Number of Units (t CO2-e),Attributable to,,
7,,Katingan Peatland Restoration and Conservation Project,VCS1477,VCU1,REDD+3,2021,45000,Orbost Gas Processing Plant,,
8,,Evergreen Project,VCS2539,VCU1,REDD+3,2022,10000,Orbost Gas Processing Plant,,
9,,Coronga Peak Regeneration Project,ERF101727,ACCU2,HIR4,2022,10000,Gas Infrastructure target,,
10,,Glengeera Forest Regeneration Project,ERF101545,ACCU2,HIR4,2022,1747,Gas Infrastructure target,,
11,,Carella Forest Regeneration Project,ERF111290,ACCU2,HIR4,2022,2836,Gas Infrastructure target,,
12,,Boothulla Regeneration Project,ERF101249,ACCU2,HIR4,2022,1723,Gas Infrastructure target,,
13,,Urana Regeneration Project,ERF101557,ACCU2,HIR4,2022,64,Gas Infrastructure target,,
14,,Bierbank and Lanherne Regeneration Project,ERF101308,ACCU2,HIR4,2022,3880,Gas Infrastructure target,,
15,,Nulla Carbon Project,ERF101849,ACCU2,HIR4,2022,1814,Gas Infrastructure target,,
16,,Wambin Carbon Project,ERF101830,ACCU2,HIR4,2022,449,Orbost Gas Processing Plant (100) Gas Infrastructure target (349),,
17,,Kenmore Regeneration Project,ERF126432,ACCU2,HIR4,2022,4487,Gas Infrastructure target,,
18,,Paroowidgee Regeneration Project,ERF101702,ACCU,HIR,2022,6586,Gas Infrastructure target,,
19,,Garrawin Gumahah Regeneration Project,ERF101802,ACCU,HIR,2022,1400,Gas Infrastructure target,,
20,,Hillview Park Regeneration Project,ERF101824,ACCU,HIR,2022,1146,Gas Infrastructure target,,
21,,Kenmore Regeneration Project,ERF126432,ACCU,HIR,2022,268,Gas Infrastructure target,,
22,,Aak Puul Ngantam (APN),EOP100972,ACCU,Savanna Burning,2021,5646,Business travel commitment,,
23,,Total,,,,,97046,,,
26,,Other Offset Holdings,,,,,,,,
27,,Project Name,Project ID,Credit type,Abatement Method,Year of Issuance,Number of Units (t CO2-e),,,
29,,Garrawin Gumahah Regeneration Project,ERF101802,ACCU2,HIR4,2022,3600,,,
30,,Aak Puul Ngantam (APN),EOP100972,ACCU2,Savanna Burning,2021,13184,,,
31,,Total,,,,,16784,,,
34,,1VCU = Verified Carbon Unit,,,,,,,,
35,,2ACCU = Australian Carbon Credit Unit,,,,,,,,
36,,3REDD+ = Reducing emissions from deforestation and forest degradation in developing countries,,,,,,,,
37,,4HIR = Human-Induced Regeneration,,,,,,,,
