Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2,,Global Reporting Initiative (GRI) Standards Index,,,,,,,
4,,GRI topic,Code,Disclosure,APA response / reference,,,,
5,,ENVIRONMENT,ENVIRONMENT,,,,,,
6,,GRI 302: Energy 2016,,,,,,,
7,,,302-1,Energy consumption within the organisation,APA FY23 Climate Data Book - tab 'Energy' & APA FY23 Sustainbaility Data Book - tab '3- Infrastructure',,,,
8,,,302-2,Energy consumption outside of the organisation,Metric not disclosed,,,,
9,,,302-3,Energy intensity,Metric not disclosed,,,,
10,,,302-4,Reduction of energy consumption,Metric not disclosed,,,,
11,,,302-5,Reductions in energy requirements of products and services,Metric not disclosed,,,,
12,,GRI 305: Emissions 2016,,,,,,,
13,,,305-1,Direct (Scope 1) GHG emissions,APA FY23 Climate Data Book - tab 'GHG emissions',,,,
14,,,305-2,Energy indirect (Scope 2) GHG emissions,APA FY23 Climate Data Book - tab 'GHG emissions',,,,
15,,,305-3,Other indirect (Scope 3) GHG emissions,APA FY23 Climate Data Book - tab 'GHG emissions',,,,
16,,,305-4,GHG emissions intensity,APA FY23 Climate Data Book - tab 'GHG emissions',,,,
17,,,305-5,Reduction of GHG emissions,APA FY23 Climate Data Book - tab 'GHG emissions',,,,
18,,,305-6,Emissions of ozone-depleting substances (ODS),Metric not disclosed,,,,
19,,,305-7,"Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",APA FY23 Sustainability Data Book - tab '9. Air emissions',,,,
