Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
1,,,,,`,,,,,,,
2,,Energy,,,,,,,,,,
4,,Energy consumption and production,,,,,,,,,,
5,,Year-end 30 June,SASB,GRI,UoM,FY23,FY22,FY21,,,,
7,,Gas Infrastructure,,,,,,,,,,
8,,Energy consumed total,,302-1,PJ,23.419157,24.895878,20.733212,,,,
9,,Energy consumed net,,302-1,PJ,7.127459,7.225416,7.018928,,,,
10,,Energy produced,,,PJ,16.291697,17.670462,13.714283,,,,
12,,Power Generation Infrastructure,,,,,,,,,,
13,,Energy consumed total,RR-ST-130a.1,302-1,PJ,19.252671,21.151714,20.893462,,,,
14,,Energy consumed net,RR-ST-130a.1,302-1,PJ,8.941145,9.901958,9.979549,,,,
15,,Energy produced,RR-ST-130a.1,,PJ,10.311527,11.249756,10.913912,,,,
17,,Electricity Transmission Infrastructure,,,,,,,,,,
18,,Energy consumed total,RR-ST-130a.1,302-1,PJ,0.75463,0.357253,0.309261,,,,
19,,Energy consumed net,RR-ST-130a.1,302-1,PJ,0.75463,0.357253,0.309261,,,,
20,,Energy produced,RR-ST-130a.1,,PJ,0,0,0,,,,
