Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
114,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,404.0,Training and Education,404-01,Average hours of training per year per employee,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Comprehensive Training Programs,,,Harvey Norman,2023.0,"Across the business of each relevant member of the consolidated entity, employees are required to participate in training programs, with different groups needed to undertake targeted training programs, including privacy, sexual harassment, WHS, company policies and consumer protection. The amount of time invested in training is significantly influenced by the individual's role within the business.",,,,,60,,,"Training programs, Employee participation, Targeted training","4, 8",S,,,,,,,,,,,,,,,,
117,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Diversity recognition,,,Harvey Norman,2023.0,"The Company and each controlled entity recognise and value the contribution of people from diverse backgrounds. That is as much about cultural factors as age, gender, life experience and ability.",,,,,59,,,"Diversity Recognition, Inclusive Culture, Range of Backgrounds",10,S,,,,,,,,,,,,,,,,
119,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Global workforce equality,,,Harvey Norman,2023.0,"Each relevant member of the consolidated entity provides opportunities to people of all backgrounds to join the business and contribute across the range of roles at the store and support office levels. In FY23, gender balance was achieved across the global employee and senior executive teams.",,,,,59,,,"Diversity and Inclusion, Equal Opportunity, Workforce Diversity",10,S,,,,,,,,,,,,,,,,
120,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,The Board Diversity Policy and Employee Diversity,,,Harvey Norman,2023.0,The Company is committed to promoting and supporting an inclusive environment where the diversity in the communities in which it operates is represented in the workforce. The Company's Board Diversity Policy and Employee Diversity Policy support this commitment.,,,,,,5,,"Diversity Promotion, Workforce Representation, Board Diversity Policy, Employee Diversity Policy",10,S,,,,,,,,,,,,,,,,
121,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Diverse workforce,,,Harvey Norman,2023.0,"The Company is committed to building a diverse workforce and leveraging the benefits of diversity by focusing on attracting, recruiting, motivating and retaining employees from all backgrounds, creating a workplace where discrimination and sexual harassment are not tolerated, and promoting an inclusive environment for employees once employed.",,,,,,5,,"Diversity Workforce, Recruitment, Retention, Workplace Culture",10,S,,,,,,,,,,,,,,,,
122,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,"HNV has formal policies on preventing and responding to sexual harassment, gender-based harassment, or discrimination.",,,,Harvey Norman,2023.0,,,,,,,,,,,,,Workplace gender equality agency,,,,,,,,,,,,,,
124,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Modern Slavery Training,,,Harvey Norman,2023.0,The Consolidated Entity trained executive management and relevant employees about modern slavery risks. The Consolidated Entity will continue to develop and provide training and education to management and relevant teams.,,,,,,,10,"Training, Executive Management, Modern Slavery Risks","8, 16",S,,,,,,,,,,,,,,,,
