Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,MSS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Harvey Norman Holdings Limited.,,,,Harvey Norman,2023.0,,,,,,10,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Harvey Norman Holdings Limited (HNHL) and subsidiaries of HNHL own valuable intellectual property rights, including the trademarks Harvey NormanÃÂ®, DomayneÃÂ® and Joyce MayneÃÂ®, software and other confidential information to promote and enhance the brands.",,,,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",HVN's report covers its performance from 1 July 2022 to 30 June 2023.,,,,Harvey Norman,2023.0,,,,,,54,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Any accumulated depreciation as at the revaluation date is eliminated against the gross carrying amount of the asset, and the net amount is restated to the asset's fair value.",,,,Harvey Norman,2023.0,,,,,,109,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,The auditors of Harvey Norman Holdings Limited are Ernst & Young.,,,,Harvey Norman,2023.0,,,,,,72,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","HVN operates an integrated retail, franchise, property and digital system across 8 countries.",,,,Harvey Norman,2023.0,,,,,,4,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"Members of the consolidated entity employ more than 6,500 employees globally. Furthermore, approximately 10,000 employees are employed by independent Harvey NormanÃÂ®, DomayneÃÂ® and Joyce MayneÃÂ® Franchisee businesses in Australia.",,,,Harvey Norman,2023.0,,,,,,59,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,HVN's Board comprises ten directors.,,,,Harvey Norman,2023.0,,,,,,29,,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Nomination Committee,,,Harvey Norman,2023.0,"The Board has established a Nomination Committee. The Nomination Committee is responsible for Board succession planning, induction and continuing development of each Director, development and implementation of a process for performance evaluation, the recruitment process for each new Director, appointment and re-election of Directors, and reviewing the time required from a Non-Executive Director.",,,,,,7,,"Nomination Committee, Board Succession Planning, Recruitment Process",16,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Skills Matrix,,,Harvey Norman,2023.0,"The relevant factors in determining the suitability of a board member are integrity, business savvy, an owner-oriented attitude and a deep, genuine interest in the business of the Company. An owner orientation or perspective of an owner requires the individual to have ""skin in the game"" by holding, controlling or benefitting from a significant parcel of shares where the financial interests of the Director are aligned with the long-term beneficial interest of shareholders.",,,,,,7,,"Skill Matrix, Board Member Suitability, Integrity, Owner-Oriented Attitude",16,G,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Appointing and Re-electing Directors,,,Harvey Norman,2023.0,"The Company has established guidelines that include guidance on selecting candidates for the position of Director and undertaking appropriate checks, including character and qualifications, of any potential candidate. Material information relating to any potential candidate is provided to shareholders before shareholders are asked to vote on the election or re-election of a director.",,,,,,4,,"Director Selection, Candidate Checks, Shareholder Voting",16,G,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-11,Chair of the highest governance body,Gerald Harvey is the executive Chair of HVN's Board.,,,,Harvey Norman,2023.0,,,,,,36,,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"The Board has roles to oversee management in executing the Company's strategic objectives, instilling the Company's values, and evaluating management performance overall.",,,,Harvey Norman,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,
