Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
76,,303.0,Water and Effluents,303-03,Water withdrawal,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-05,Water consumption,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-04,GHG emissions intensity,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,305.0,Emissions,305-05,Reduction of GHG emissions,,Installation of solar arrays,,,Harvey Norman,2023.0,"The Slovenian business has demonstrated a reduction in consumption (12%) from installing solar arrays on four (soon to be five) sites. Production of energy from installed solar arrays improved with the reduction in the rain across large parts of eastern Australia, with output growing to 7,800 megawatt hours against last year's figure of 6,848 megawatt hours. Average generation per array also improved to 116.7-megawatt hours, up from 113-megawatt hours per annum.",,,,,70,,,"Solar array, energy consumption. reduction","9, 12, 13, 15",E,,,,,,,,,,,,,,,,
88,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste management,,,Harvey Norman,2023.0,"The Places in which Harvey NormanÃÂ® operates are significant. Each site then has a responsibility to minimise the environmental impact of their operations, whether via energy efficient operations or managing waste streams generated at the site, through engagement with suppliers about the available products to be sold.",,,,,67,,,"Waste management, waste, energy, environmental","9, 13, 15",E,,,,,,,,,,,,,,,,
92,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,306.0,Waste,306-04,Waste diverted from disposal,,Waste diversion,,,Harvey Norman,2023.0,Relevant members of the consolidated entity have continued to work with suppliers and global recycling/product stewardship schemes to provide consumers with simple solutions to recycle their old products and divert waste from landfills. Each region has reported the successful diversion of a substantial portion of its waste streams from landfills and the operation of product stewardship schemes.,,,,,67,,,"Waste diversion, waste, recycle\t","8, 9, 13, 15",E,,,,,,,,,,,,,,,,
94,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,Regulatory Change Mapping,,,Harvey Norman,2023.0,"Regulatory changes result in increased reporting and emissions reduction requirements, posing a non-compliance risk. HVN maps current and emerging regulatory changes for each jurisdiction. Harvey NormanÃÂ® operates and implements a framework to ensure compliance with regulatory obligations by each controlled entity.",,,,,69,,,"Compliance, regulatory, environmental","9, 13, 15",E,,,,,,,,,,,,,,,,
96,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,Transition to low carbon economy scenario,,,Harvey Norman,2023.0,"In the transition to a low carbon economy, the costs of items and materials from suppliers may significantly increase, resulting in reduced availability of goods and increased costs passed through from our suppliers. The current controls are Monitoring unexpected or significant price increases from suppliers, Market trend analysis of sectors most exposed to transition and physical climate risks, and Suppliers making arrangements to mitigate this risk.",,,,,69,,,"Supply chain, low carbon, environmental","9, 13, 15",E,,,,,,,,,,,,,,,,
98,,401.0,Employment,401-01,New employee hires and employee turnover,,Connect Intranet site,,,Harvey Norman,2023.0,"In Australia, the Connect Intranet site is a staff information source. New business staff are also highlighted here, including a story about one new employee each month, asking them questions about themselves and their hobbies.",,,,,60,,,"\Connect intranet, employee, new hire",8,S,,,,,,,,,,,,,,,,
99,,401.0,Employment,401-01,New employee hires and employee turnover,,Induction program,,,Harvey Norman,2023.0,"The Company has an induction program for new Directors. The Nomination Committee, assisted by the Company Secretary, are responsible for developing and implementing the program. The program is reviewed and tailored for each new Director appointed to the Board.",,,,,,8,,"Induction program, development, new hire",8,S,,,,,,,,,,,,,,,,
100,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,401.0,Employment,401-03,Parental leave,,Parental Leave Policy,,,Harvey Norman,2023.0,"HVN committed to a review of our Parental Leave Policy. In FY23, HVN report the following statistics about parental leave and return to work, reporting a 92% return to work ratio following parental leave by men and women.",,,,,60,,,"Parental Leave Policy, parental work, policy","3, 8","S, G",,,,,,,,,,,,,,,,
102,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Health and Safety Framework,,,Harvey Norman,2023.0,"HVN continued to strive to learn, improve and positively influence their physical and psychological health and safety by enhancing our Health and Safety Framework and 2022-2025 Health and Safety Strategy. The framework under the four pillars of Leadership, Governance, People & Culture and Risk Management.",,,,,61,,,"Health and Safety Framework, Governance, Risk","3, 8","S, G",,,,,,,,,,,,,,,,
104,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Technology solution approval,,,Harvey Norman,2023.0,"In FY23, a technology solution was approved to support the management and reporting of Health & Safety programs across global operations to enhance capability and performance further. Implementation of this solution will commence in FY24.",,,,,61,,,"Technology, Health & Safety, System","3, 8",S,,,,,,,,,,,,,,,,
105,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Critical risks review,,,Harvey Norman,2023.0,"Enhanced governance, planning, and reporting have been implemented within each country where HVN operates, and improvements continue to be implemented across HVN's controlled entities in Australia. A focus on reviewing critical risks and enhancing controls has been conducted with the controlled entities in Australia.",,,,,61,,,"Control, review, critical risk","3, 8",S,,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-03,Occupational health services,,Employee health and safety approach,,,Harvey Norman,2023.0,"HVN cares about our people and the communities we serve worldwide and continually strives to learn, improve and positively influence their physical and psychological health and safety. Relevant controlled entities continue to undertake a range of training opportunities across Health and Safety.",,,,,61,,,"Employee, health and safety, service","3, 8",S,,,,,,,,,,,,,,,,
107,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Wellbeing Working Group,,,Harvey Norman,2023.0,"In Australia, a Wellbeing Working Group has been formed. This group aim to participate actively in consultation around Wellbeing and Engagement initiatives.",,,,,61,,,"Wellbeing Working Group, health and safety, engagement","3, 8",S,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,Safety improvement,,,Harvey Norman,2023.0,"Training and education opportunities have been undertaken with leadership teams, management and employees to continue encouraging participation as an essential foundation of continuous improvement and safety improvement.",,,,,61,,,"Safety, Improvement, Program","3, 8",S,,,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,Health and Safety Training,,,Harvey Norman,2023.0,"In FY23, relevant controlled entities continued to undertake a range of training opportunities across Health and Safety. Focus areas included mental health, discrimination, harassment and workplace bullying, workplace drugs, alcohol and gambling, identifying hazards and managing risks.",,,,,61,,,"Training, Health and Safety, development","3, 8",S,,,,,,,,,,,,,,,,
110,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-09,Work-related injuries,,,,NO DISCLOSURE,Harvey Norman,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
