Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Community investment,Measurement,FY23,FY22,FY21,FY20,FY19,,
,Total community investment1,($000),9044,9873,9003,10317,9160,,
,Total matched giving2,($000),584,847,840,1018,703,,
,Volunteering3,($000),2534,161,186,692,838,,
,,(hours),5428.5,2209,2626,11526,16536,,
,,,,,,,,,
,,,,,,,,,
,1. Verified by Business for Societal Impact (B4SI) - see verification certificate on 'B4SI' tab of this data pack,,,,,,,,
,"2. Includes matching for donations, fundraising, crowdfunding and personal volunteering",,,,,,,,
,3. Based on paid Australian and New Zealand employee volunteer time including First Responders Leave,,,,,,,,
,4. FY23 volunteering rate calculated at $46.62/hr as per industry standard,,,,,,,,
