Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Customer advocacy,Measurement,FY23,FY22,FY21,FY20,FY19,,,,
,Net Promoter Score,,,,,,,,,,
,"AAMI1,2",(#),+3.6,+6.0,+3.8,+1.7,+1.4,,,,
,"Suncorp Bank MFI2,3",(#),+11.6,+13.7,+14.6,+5.8,+5.1,,,,
,New Zealand (General Insurance)4,(#),42,41,52,*,*,,,,
,Asteron Relationship5,(#),1,Commenced disclosure in current reporting period,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Complaints and dispute resolution,,FY23,FY22,FY21,FY20,FY19,,,,
,Customer complaints,,,,,,,,,,
,Change in customer complaints from prior year (Banking Australia),(%),33,64,*,*,*,,,,
,Change in customer complaints from prior year (Insurance Australia)6,(%),77,141,*,*,*,,,,
,Change in customer complaints from prior year (New Zealand)7,(%),38,-6,*,*,*,,,,
,"Internal Dispute Resolution (Frontline) complaints Quick resolve6,8,9",(%),84,75,–,–,–,,,,
,"Internal Dispute Resolution (Frontline) complaints resolved in 5 days6,8,10",(%),96,95,*,*,*,,,,
,"Internal Dispute Resolution complaints resolved in 30 days6,8,11",(%),99.9,99.7,*,*,*,,,,
,"Average days to resolve escalated Internal Dispute Resolution complaints6,8,12",(#),19.2,21.3,–,–,–,,,,
,Complaints referred by customers to external dispute resolution bodies,,,,,,,,,,
,AFCA complaints received (Banking Australia),(#),684,404,*,*,*,,,,
,AFCA complaints received (Insurance Australia)6,(#),5865,4116,*,*,*,,,,
,New Zealand7,(#),28,28,28,14,21,,,,
,Proportion determined in the customer's favour,,,,,,,,,,
,Australia13,(%),32,23,22,22,13,,,,
,New Zealand7,(%),4,4,4,0,14,,,,
,AFCA Sent on time results,,,,,,,,,,
,Banking Australia14,(%),99,99,*,*,*,,,,
,Insurance Australia14,(%),82,95,98,97,–,,,,
,Complaints referred by customers to the Privacy Commissioner8,(#),1,4,0,7,15,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Financial inclusion and resilience,,FY23,FY22,FY21,FY20,FY19,,,,
,"Customers assisted during times of financial hardship8,15",(#),6705,38640,65955,117329,4257,,,,
,Customers referred to CareRing for specialised external support16,(#),625,487,472,–,–,,,,
,Essentials Insurance customers,(#),4922,5391,5829,5389,3464,,,,
,Customers supported through a bank and/or insurance vulnerability/specialist hub8,(#),4442,2743,–,–,–,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"1. DBM Consumer Atlas. Measured as at June each FY on a 6-month rolling average amongst consumer insurance customers. Net Promoter ScoreSM is a trademark of Bain & Co Inc., Satmetrix Systems, Inc., and Mr Frederick Reichheld",,,,,,,,,,
,2. FY23 figure subject to limited independent assurance by KPMG. Please refer to the limited assurance opinion included on the Suncorp Group website,,,,,,,,,,
,"3. DBM Consumer Atlas. Measured as at June each FY on a 6-month rolling average amongst retail banking MFI customers. Net Promoter ScoreSM is a trademark of Bain & Co Inc., Satmetrix Systems, Inc., and Mr Frederick Reichheld",,,,,,,,,,
,4. Methodology measures across General Insurance Claims,,,,,,,,,,
,5. Methodology measures across Asteron Life customers who have a tenure of at least 6 months,,,,,,,,,,
,6. Excludes personal injury complaints,,,,,,,,,,
,7. Excludes AA Insurance,,,,,,,,,,
,8. Excludes New Zealand,,,,,,,,,,
,9. Quick resolve refers to percentage of complaints that were resolved on the first call by Frontline,,,,,,,,,,
,"10. 5 business days is Suncorp’s Frontline service level agreement (SLA) for resolution, but under specific circumstances Frontline complaints may be resolved in greater than 5 days and still remain within SLA",,,,,,,,,,
,"11. 30 calendar days is the ASIC maximum timeframe for Internal Dispute Resolution (IDR) responses for standard complaints, but different complaint types are subject to different maximum IDR timeframes (see RG 271.58)",,,,,,,,,,
,12. Complaints managed by Internal Customer Relations team,,,,,,,,,,
,13. From complaints closed at decision in AFCA Benchmarking (July-22 to June-23),,,,,,,,,,
,14. From Proportion progressed to case management - no Financial Firm response received in AFCA Benchmarking (July-22 to June-23),,,,,,,,,,
,"15. Figure for FY23 reflects changes in methodology, the sale of Suncorp Portfolio Services Limited (SPSL) business and removal of previously reported assistance for customers impacted by COVID-19",,,,,,,,,,
,16. Suncorp has a referral partnership with CareRing run by Uniting. Via the partnership we are able to offer specialist support to our most vulnerable customers,,,,,,,,,,
,* Results using previous methodology can be viewed in previous reports,,,,,,,,,,
,̶  Previous data not publicly disclosed,,,,,,,,,,
