Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3
6,Statement of Use Suncorp Group has reported the information cited in this GRI content index for the period 1 July 2022 to 30 June 2023 with reference to the GRI Standards.,,,
7,GRI 1 used GRI 1: Foundation 2021,,,
9,GRI STANDARD,DISCLOSURE,LOCATION,
10,General Disclosures,,,
11,GRI 2: General Disclosures 2021,1. The organisation and its reporting practices,,
12,,2-1 Organisational details,Suncorp Group Limited,
13,,,"Shareholder information, Annual Report 2022-23 , pages 182-189",
14,,,"Brisbane, Australia",
15,,,"About Suncorp Group, Annual Report 2022-23, page 4",
16,,2-2 Entities included in the organisationÃ¢ÂÂs sustainability reporting,"Parent entity and composition of the Group, Annual Report 2022-23, pages 151-154",
17,,,"Notes to the consolidated financial statements, Annual Report 2022-23, pages 102-171",
18,,"2-3 Reporting period, frequency and contact point","About this report, Annual Report 2022-23, page 4",
19,,,SuncorpÃ¢ÂÂs Annual Report 2022-23 was published 9 August 2023,
20,,,"How to contact us, Annual Report 2022-23, page 191",
21,,2-4 Restatements of information,"Environment, FY23 Sustainability Data Pack. Refer to information stated in footnote section.",
22,,,"Our environment and climate change approach, Annual Report 2022-23, page 32. Refer to information stated in footnote section.",
23,,,"Performance summmary, Performance, Annnual Report 2022-23, page 183",
24,,2-5 External assurance,"About this report, Annual Report 2022-23, page 4",
25,,,"Corporate Governance Framework, Annual Report 2022-23, page 43",
26,,,Independent Limited Assurance Report,
27,,2. Activities and workers,,
28,,"2-6 Activities, value chain and other business relationships","About Suncorp Group, Annual Report 2022-23, page 4",
29,,,"Procurement, Suncorp Group Website",
30,,,"Performance highlights, Annual Report 2022-23, pages 6-7",
31,,,"Significant changes in Suncorp GroupÃ¢ÂÂs state of affairs, Annual Report 2022-23, page 63",
32,,2-7 Employees,"People, Employees, FY23 Sustainability Data Pack",
33,,2-8 Workers who are not employees,"People, Employees, FY23 Sustainability Data Pack",
34,,,"Workplace Profile, 2023 Workplace Gender Equality Agency (WGEA) Public Report, pages 7-8",
35,,3. Governance,,
36,,2-9 Governance structure and composition,"Corporate Governance Framework, Annual Report 2022-23, page 43",
37,,,"DirectorsÃ¢ÂÂ Report, Annual Report 2022-23, pages 57-61",
38,,,"The Board, Annual Report 2022-23, pages 45-46",
39,,,"Board Committee composition and responsibilities, Annual Report 2022-23, page 48",
40,,2-10 Nomination and selection of the highest governance body,"Board renewal, Annual Report 2022-23, page 47",
41,,,"Nomination Committee Charter, pages 3-4",
42,,2-11 Chair of the highest governance body,"DirectorsÃ¢ÂÂ Report, Annual Report 2022-23, page 57",
43,,,"Managing director conflicts of interest, Annual Report 2022-23, page 46",
44,,2-12 Role of the highest governance body in overseeing the management of impacts,"The BoardÃ¢ÂÂs areas of focus during FY23, Annual Report 2022-23, page 44",
45,,,"Matters which may impact, Annual Report 2022-23, pages 64-65",
46,,,"Our approach to risk management, Annual Report 2022-23, page 34-35",
47,,,"Board performance evaluation, Annual Report 2022-23, page 48",
48,,2-13 Delegation of responsibility for managing impacts,"Corporate Governance Framework, Annual Report 2022-23, page 43",
49,,,"The BoardÃ¢ÂÂs areas of focus during FY23, Annual Report 2022-23, page 44",
50,,2-14 Role of the highest governance body in sustainability reporting,"Corporate Governance Framework, Annual Report 2022-23, page 43",
51,,,"The BoardÃ¢ÂÂs areas of focus during FY23, Annual Report 2022-23, page 44",
52,,2-15 Conflicts of interest,"The Board, Managing director conflicts of interest, Annual Report 2022-23, page 46",
