Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,The following document outlines parameters used in Suncorp Group’s sustainability and climate-related disclosures. It forms the basis for resulting Limited Assurance provided by KPMG.,,,,,,,,,,,
,,,,,,,,,,,,
,Metric,Definition / Scope,Boundary,Methods / Key metrics,Coverage,Standard / Methodology,Data Source,Limitations,Notes,,,
,Net Promoter Score (NPS): AAMI,NPS measures the net likelihood of recommendation of a brand to others. Measured as at June each FY on a 6-month rolling average amongst consumer insurance customers.,Measured as at June each FY on a 6-month rolling average amongst personal customers.,̶  NPS data,̶  Based on personal customers of the brand in Australia. It does not include business customers.,"Net Promoter ScoreSM is a trademark of Bain & Co Inc., Satmetrix Systems, Inc., and Mr Frederick Reichheld.",̶  DBM Consumer Atlas.,,,,,
,Net Promoter Score (NPS): Suncorp Bank MFI,NPS measures the net likelihood of recommendation of a brand to others. Measured as at June each FY on a 6-month rolling average amongst retail banking MFI customers.,Measured as at June each FY on a 6-month rolling average amongst personal customers.,̶  NPS data,̶  Based on personal customers of the brand in Australia. It does not include business customers.,"Net Promoter ScoreSM is a trademark of Bain & Co Inc., Satmetrix Systems, Inc., and Mr Frederick Reichheld.",̶  DBM Consumer Atlas.,,,,,
,Code of Conduct training completion rate,Percentage of employees who have a current or initial completion in the last 12 months on the Code of Conduct Module.,Reporting period: July 1- June 30 FY23 when viewing data at June 30,"̶  Module Completions
̶̶  Initial Module Completions
̶  Expired Completions","All employees excluding Directors. 

All external workers excluding:
̶   Consultants who by default do not get OLS profiles 
̶   Service Providers without Suncorp system access
̶   Authorised Representatives NOT part of  GIO Authorised Reps or Motor Dealer Authorised Distributors
̶   Employees of Suncorp Joint Ventures (e.g. Capital SMART)
̶   Service Providers in Cushman & Wakefield
̶   Work Experience who do not receive OLS profiles. ",,The Code of Conduct Compliance Rate is taken directly from the Learning Compliance Rate by Module report. This Tableau report is produced monthly through full automation and provides compliance rates for all Suncorp Core and Industry Core modules. The data is sourced from the Suncorp Data Lake utilising daily extracts from Suncorp's Learning Management System: OLS.,,"Target: 98%

To be included within the Learning Compliance Rate by Module report the below conditions must be met: 
̶  The module must be in published status.
̶  The employee or relevant external worker must not be terminated and not un-enrolled from the module.
̶  The employee or external worker must have an active OLS profile.
̶  The employee must not be on extended leave greater than 31 days.

The compliance rate is rounded to the nearest whole number. Where the figure is between 99.00% and 99.99%, the figure is rounded down to 99%.  ",,,
