Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,,,
Statement of Use   Suncorp Group has reported the information cited in this GRI content index for the period 1 July 2022 to 30 June 2023 with reference to the GRI Standards.,,,
GRI 1 used             GRI 1: Foundation 2021,,,
,,,
GRI STANDARD ,DISCLOSURE ,LOCATION ,
General Disclosures,,,
GRI 2: General Disclosures 2021,1. The organisation and its reporting practices,,
,2-1 Organisational details,Suncorp Group Limited,
,,"Shareholder information, Annual Report 2022-23 , pages 182-189",
,,"Brisbane, Australia",
,,"About Suncorp Group, Annual Report 2022-23, page 4",
,2-2 Entities included in the organisation’s sustainability reporting,"Parent entity and composition of the Group, Annual Report 2022-23, pages 151-154",
,,"Notes to the consolidated financial statements, Annual Report 2022-23, pages 102-171",
,"2-3 Reporting period, frequency and contact point","About this report, Annual Report 2022-23, page 4",
,,Suncorp’s Annual Report 2022-23 was published 9 August 2023,
,,"How to contact us, Annual Report 2022-23, page 191",
,2-4 Restatements of information,"Environment, FY23 Sustainability Data Pack. Refer to information stated in footnote section.",
,,"Our environment and climate change approach, Annual Report 2022-23, page 32. Refer to information stated in footnote section.",
,,"Performance summmary, Performance, Annnual Report 2022-23, page 183",
,2-5 External assurance,"About this report, Annual Report 2022-23, page 4",
,,"Corporate Governance Framework, Annual Report 2022-23, page 43",
,,Independent Limited Assurance Report,
,2. Activities and workers,,
,"2-6 Activities, value chain and other business relationships","About Suncorp Group, Annual Report 2022-23, page 4",
,,"Procurement, Suncorp Group Website",
,,"Performance highlights, Annual Report 2022-23, pages 6-7",
,,"Significant changes in Suncorp Group’s state of affairs, Annual Report 2022-23, page 63",
,2-7 Employees,"People, Employees, FY23 Sustainability Data Pack ",
,2-8 Workers who are not employees,"People, Employees, FY23 Sustainability Data Pack ",
,,"Workplace Profile, 2023 Workplace Gender Equality Agency (WGEA) Public Report, pages 7-8",
,3. Governance,,
,2-9 Governance structure and composition,"Corporate Governance Framework, Annual Report 2022-23, page 43",
,,"Directors’ Report, Annual Report 2022-23, pages 57-61",
,,"The Board, Annual Report 2022-23, pages 45-46",
,,"Board Committee composition and responsibilities, Annual Report 2022-23, page 48",
,2-10 Nomination and selection of the highest governance body,"Board renewal, Annual Report 2022-23, page 47",
,,"Nomination Committee Charter, pages 3-4",
,2-11 Chair of the highest governance body,"Directors’ Report, Annual Report 2022-23, page 57",
,,"Managing director conflicts of interest, Annual Report 2022-23, page 46",
,2-12 Role of the highest governance body in overseeing the management of impacts,"The Board’s areas of focus during FY23, Annual Report 2022-23, page 44",
,,"Matters which may impact, Annual Report 2022-23, pages 64-65",
,,"Our approach to risk management, Annual Report 2022-23, page 34-35",
,,"Board performance evaluation, Annual Report 2022-23, page 48",
,2-13 Delegation of responsibility for managing impacts,"Corporate Governance Framework, Annual Report 2022-23, page 43",
,,"The Board’s areas of focus during FY23, Annual Report 2022-23, page 44",
,2-14 Role of the highest governance body in sustainability reporting,"Corporate Governance Framework, Annual Report 2022-23, page 43",
,,"The Board’s areas of focus during FY23, Annual Report 2022-23, page 44",
,2-15 Conflicts of interest,"The Board, Managing director conflicts of interest, Annual Report 2022-23, page 46",
