Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
7,,Environmental metric performance1,Measurement,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,
8,,Scope 1 & 2 location-based emissions,(tCO2-e),13112,16530,20897.000799999994,23640.3519,25077.494600000005,,,,,,,,,,,,,
9,,Scope 1 & 2 market-based emissions,(tCO2-e),4538,53802,146422,187072,25077.494600000005,,,,,,,,,,,,,
10,,Scope1 & 2 market-based year on year emissions reduction,(%),16,632,222,252,8,,,,,,,,,,,,,
11,,Scope 1 & 2 / FTE (market-based),(tCO2-e/FTE),0.33,0.372,1.082,1.372,1.9231207515337427,,,,,,,,,,,,,
12,,"Total Scope 1, 2 & 3 / FTE (market-based)",(tCO2-e/FTE),1.49,1.032,1.442,2.032,2.81326305214724,,,,,,,,,,,,,
13,,Group electricity consumption (Australia and New Zealand),,,,,,,,,,,,,,,,,,,
14,,"Renewable electricity progress (% of total electricity consumption)3,4",(%),77,66,18,0,0,,,,,,,,,,,,,
15,,"Renewable electricity3,4",(MWh),13061,13243,4332.659888528699,27,0,,,,,,,,,,,,,
16,,Total consumption3,(MWh),16986,19998,24636.907851028693,30733.279173,38905,,,,,,,,,,,,,
17,,Fuel used in fleet vehicles,,,,,,,,,,,,,,,,,,,
18,,Australia,(L/FTE),55,38,50.52620861059895,61.22386783923727,80.69825905872554,,,,,,,,,,,,,
19,,New Zealand,(L/FTE),80.9,76,112.06603942652328,139.91579448144626,183.3097584541063,,,,,,,,,,,,,
20,,Total fuel used in fleet vehicles3,(L/FTE),57,44,56,72,129,,,,,,,,,,,,,
21,,Other fuels and gas,,,,,,,,,,,,,,,,,,,
22,,Australia,(GJ/FTE),1.8,1,1.7970436462759551,2.1597588230459444,2.816047830070806,,,,,,,,,,,,,
23,,New Zealand,(GJ/FTE),2.9,3,3.9596208781361995,4.948817411988582,6.470960676328504,,,,,,,,,,,,,
24,,Group air travel,,,,,,,,,,,,,,,,,,,
25,,Australia,(km/FTE),1387,479,354.5643724755831,1590.8384468877998,1953,,,,,,,,,,,,,
26,,New Zealand,(km/FTE),1534,338,965.3713431003583,1332.132589648965,2027,,,,,,,,,,,,,
27,,Total Group air travel3,(km/FTE),1400,470,403,1559,Ã¢ÂÂ,,,,,,,,,,,,,
28,,Proportion of office waste diverted from landfill,,,,,,,,,,,,,,,,,,,
29,,Landfill waste (Australia),(tonnes),169,161,166.02370000000002,356.82950000000017,430,,,,,,,,,,,,,
30,,Recycled waste diverted from landfill (Australia)3,(tonnes),235,226,193,289,405,,,,,,,,,,,,,
31,,,(%),58,58,54,45,49,,,,,,,,,,,,,
32,,Water consumption,,,,,,,,,,,,,,,,,,,
33,,Australia3,(kL),20683,Commenced disclosure in current reporting period,,,,,,,,,,,,,,,,
35,,"Controlled operations greenhouse gas (GHG) emissions1,5,6",,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,
36,,Scope 1 greenhouse gas emissions4,,,,,,,,,,,,,,,,,,,
37,,Australia,(tCO2-e),1642,1326,1517.4392999999989,1774.078,2271.962800000003,,,,,,,,,,,,,
38,,New Zealand,(tCO2-e),244,217,308.42920000000004,363.08020000000005,467.4051,,,,,,,,,,,,,
39,,Suncorp Insurance Ventures,(tCO2-e),,,,1180.922,3863.5428000000006,,,,,,,,,,,,,
40,,Total Scope 1 (Australia and New Zealand)3,(tCO2-e),1885,1543,1825.868499999999,2137.1582,2739.367900000003,,,,,,,,,,,,,
41,,Scope 2 greenhouse gas emissions (location-based),,,,,,,,,,,,,,,,,,,
42,,Australia,(tCO2-e),11119,14898,18975.097999999994,21398.4269,22205.249100000005,,,,,,,,,,,,,
43,,New Zealand,(tCO2-e),108,90,96.03429999999997,104.7668,132.87759999999997,,,,,,,,,,,,,
44,,Suncorp Insurance Ventures,(tCO2-e),,,,2973.5731,9005.629200000003,,,,,,,,,,,,,
45,,Total Scope 2 location-based (Australia and New Zealand)3,(tCO2-e),11227,14988,19071.132299999994,21503.1937,22338.126700000004,,,,,,,,,,,,,
46,,Scope 2 greenhouse gas emissions (market-based)7,,,,,,,,,,,,,,,,,,,
47,,Australia,(tCO2-e),2650,38342,128162,164422,Ã¢ÂÂ,,,,,,,,,,,,,
48,,New Zealand,(tCO2-e),3,3,0.69,1292,Ã¢ÂÂ,,,,,,,,,,,,,
49,,Suncorp Insurance Ventures,(tCO2-e),,,,21572,Ã¢ÂÂ,,,,,,,,,,,,,
50,,Total Scope 2 market-based (Australia and New Zealand)3,(tCO2-e),2653,38372,128162,165702,Ã¢ÂÂ,,,,,,,,,,,,,
51,,Scope 3 greenhouse gas emissions,,,,,,,,,,,,,,,,,,,
52,,Australia,(tCO2-e),15299,9336,4590.7399000000005,8643.1869,11056.763199999952,,,,,,,,,,,,,
53,,New Zealand,(tCO2-e),516,153,296.0221,337.2159,550.6924,,,,,,,,,,,,,
54,,Total Scope 3 (Australia and New Zealand)3,(tCO2-e),15815,9489,4886.762000000001,8980.4028,11607.455599999952,,,,,,,,,,,,,
57,,"Measured controlled operations Scope 3 \nincluding indirect Scope 3 emissions1,6",,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,
58,,Category 1 - upstream - Purchased goods and services - paper,(tCO2-e),244,399,717.0414,431,516.1519000000001,,,,,,,,,,,,,
59,,Category 3 - upstream - Fuel and energy related activities,(tCO2-e),2333,2038,2700.512900000003,2980.5421999999976,3325.1172999999976,,,,,,,,,,,,,
60,,Category 5 - upstream - Waste generated in operations,(tCO2-e),220,209,215.83109999999996,428.0843,515.6022999999997,,,,,,,,,,,,,
61,,Category 6 - upstream - Business travel - including flights8,(tCO2-e),5755,2337,1253.2812,5140.776299999999,7250.0717,,,,,,,,,,,,,
62,,Category 7 - upstream - Employee commuting & work from home9,(tCO2-e),7263,4353,Ã¢ÂÂ,Ã¢ÂÂ,Ã¢ÂÂ,,,,,,,,,,,,,
63,,Total3,(tCO2-e),15815,9336,4886.666600000002,8980.402799999996,11606.943199999998,,,,,,,,,,,,,
66,,1. Environmental metrics are prepared on a 10+2 basis applying the GHG protocol accounting standard and relevant methodologies. FY22 metrics restated to 12-month actuals,,,,,,,,,,,,,,,,,,,
67,,2. Figure restated to ensure consistency in our approach to the methodology used for Scope 2 market-based emissions GHG accounting,,,,,,,,,,,,,,,,,,,
68,,3. FY23 figure subject to limited independent assurance by KPMG. Please refer to the limited assurance opinion included on the Suncorp Group website,,,,,,,,,,,,,,,,,,,
69,,4. 55% of Australia's electricity has been purchased through Diamond Energy in the form of large-scale generation certificates (LGCs) directly linked to the Valdora Sunshine Coast Solar Farm. 14% is GreenPower. 3% is generated onsite via rooftop solar. 97% of New Zealand's electricity is purchased via a renewable energy certificated via Meridian Energy.,,,,,,,,,,,,,,,,,,,
71,,"5. Suncorp Group's controlled emissions related to Scope 1, 2 and 3 GHG emissions associated with the Group's operations and does not include downstream products and services categorised as Financed emissions",,,,,,,,,,,,,,,,,,,
72,,6. Totals may vary due to rounding,,,,,,,,,,,,,,,,,,,
73,,7. Market-based methodology for Scope 2 emissions commenced in FY20 to accurately account for Suncorp's renewable energy purchases. Methodology as described in the FY23 Sustainability reporting supplement tab,,,,,,,,,,,,,,,,,,,
74,,"8. Expanded Scope 3 reporting in FY23 to include other forms of business travel such as taxis, rental vehicles and hotel stays",,,,,,,,,,,,,,,,,,,
75,,9. Excludes New Zealand,,,,,,,,,,,,,,,,,,,
76,,ÃÂ¶ Previous data not publicly disclosed,,,,,,,,,,,,,,,,,,,
