Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Group Summary,See pages 28-32 in the FY23 Annual Report for more detail,,,,,,,,
,,,,,,,,,,
,,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,
,GROUP WORKFORCE,,,,,,,,,
,Headcount,q,-0.006618819776714514,12457,12540,12377,11796,11126,,
,Part-time employment,q,-0.04915073093607241,0.13349923737657543,0.1404,0.146,0.155,0.17,,
,Full Time Equivalent (FTE),q,-0.0041679546625393755,11597.460000000066,11646,11477,10882,10196,,
,Staff Turnover,p,0.015411684995939375,0.17363539813430565,0.171,0.13,0.11,0.15,,
,Absenteeism,p,0.12397153145344687,0.05057871891540511,0.045,0.037,0.037,0.041,,
,Male : Female salary ratio (average) (AUD $) (General Employees),q,-0.01378160722463241,1.124288967763919,1.14,1.14,1.15,1.16,,
,Women in the workforce,p,0.005324984613738019,0.6031949907682428,0.6,0.59,0.58,0.58,,
,Women in senior management positions,p,0.02108036890645585,0.4492753623188406,0.44,0.43,0.41,0.37,,
,Women in executive positions,p,0.11099999999999985,0.44439999999999996,0.4,0.44,0.33,0.22,,
,Women on the Board1,q,-0.25925925925925924,0.2,0.27,0.4,0.4,0.4,,
,Lost Time Injury Frequency Rate (LTIFR),p,0.17715973761240156,0.8593266084570531,0.73,1.1,1.23,1.01,,
,,,,,,,,,,
,GROUP COMMUNITY,,,,,,,,,COMMENTARY
,Total Community Investment (AUD $ million),q,-0.3427466297561047,9.990251227707208,15.2,13.4,20.4,10.4,,FY22 investment was elevated due to extra support we provided to communities through our NRMA COVID-19 Relief Program and NRMA HELP package.
,Total Volunteered hours,p,2.3659058333333336,9289.9001,2760,2389,5482,5244,,"Increase driven by IAG Resilience Day in which over 3,000 IAG employees volunteered across 140 events to deliver community resilience actions."
,,,,,,,,,,
,,,,,,,,,,
,GROUP GREENHOUSE GAS (GHG) EMISSIONS (TONNES CO2e),,,,,,,,,COMMENTARY
,Scope 1 GHG Emissions,p,0.1536545049702199,5617.143784700001,4869,5601,6751,8357,,Driven by the increase in fuel consumption and the opening of Repairhub sites in New Zealand.
,Scope 2 GHG Emissions,q,-0.10763674555127514,9728.544199999998,10902,12458,14562,18100,,"Primarily the result of lower emissions factors for Australian states (notably QLD, NSW, and VIC)."
,Total Scope 1 & 2 Emissions,q,-0.02696798017246857,15345.687984699998,15771,18059,21313,26457,,
,Scope 3 GHG Emissions,p,0.21351363328822745,10761.438900000001,8868,4552,11606,21721,,"Increase in business travel, notably air travel, with COVID-19-related restrictions no longer in place in FY23."
,Total Group GHG Emissions ,p,0.059542487203733736,26107.1268847,24640,22611,32920,48177,,
,,,,,,,,,,
,Carbon Offset Balance,,,-26107,-24640,-22611,-32920,-48177,,See 'Carbon offsets' tab for details of offset purchases and remaining balance as at 30 Jun 2023.
,,,,,,,,,,
,Key Performance Indicators,,,,,,,,,
,GHG Emissions (tCO2e / FTE),p,0.08057772629993624,2.290824779755865,2.12,1.97,3.03,4.72,,
