Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
3,,Community,See pages 24-27 in the FY23 Annual Report for more detail,,,,,,,,,,,,,,,,,
4,,,AUSTRALIA,,,,,,,,NEW ZEALAND,,,,,,,,,
5,,,Units,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,,
6,,COMMUNITY,,,,,,,,,,,,,,,,,,
7,,Community Investment total1,AUD $ / NZD $ million,q,-0.365693,9.2608792098,14.6,13,19.7,9.3,p,0.152095,0.8064666402,0.7,0.4,0.7,1.2,,,
8,,Volunteered hours,Hours,p,2.947227,6477.400100000001,1641,1277,3508,3781,p,1.513405,2812.5,1119,1112,1974,1463,,,
10,,INDIGENOUS ENGAGEMENT,,,,,,,,,,,,,,,,,,
11,,Indigenous supplier spend,AUD $ million,p,1.683398,1.0733591399999998,0.4,N/R,N/R,N/R,,,N/R,N/R,N/R,N/R,N/R,,,
12,,Indigenous suppliers2,Number,q,-0.28125,23,32,N/R,N/R,N/R,,,N/R,N/R,N/R,N/R,N/R,,,
14,,1 MILLION AUSTRALIANS AND NEW ZEALANDERS HAVE TAKEN ACTION TO REDUCE THEIR RISK FROM NATURAL HAZARDS BY 20253,,,,,,,,,,,,,,,,,,
15,,"Number of people who have taken action4, 5",Number,p,1.954834,372900,126200,N/R,N/R,N/R,p,116.0,23400,200,N/R,N/R,N/R,,,
16,,Number of people who have taken action - cumulative Group total6,Number,p,3.135285,522700,126400,N/R,N/R,N/R,,,,,N/R,N/R,N/R,,,
58,,Footnotes to data,,,,,,,,,,,,,,,,,,
59,,"1. From FY23, IAG is attributing Community Investment spend in line with Business for Social Impact (B4SI): Cash contributions, Management costs, and Volunteer costs. This is shown in the FY23 Group Community Investment Breakdown chart.",,,,,,,,,,,,,,,,,,
60,,2. FY22 represents the total number of suppliers procured from during the previous three-year Reconciliation Action Plan.,,,,,,,,,,,,,,,,,,
61,,3. Financial year totals are rounded to the nearest hundred.,,,,,,,,,,,,,,,,,,
62,,"4. Refer to the 'Definitions' tab for more detail on the scope of this metric, and the FY23 Annual Report (pages 24-27) for details of the initiatives we are driving with our partners.",,,,,,,,,,,,,,,,,,
63,,5. The 1 million people taking action target is not in scope for third party limited assurance.,,,,,,,,,,,,,,,,,,
64,,"6. The cumulative Group total measures total actions to date, across Australia and New Zealand, and measures progress towards the 1 million target, which is at 52%.",,,,,,,,,,,,,,,,,,
