Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Definitions & Methodology,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,INDICATOR,DEFINITION,METHODOLOGY,RELATED GRI STANDARD,UN SDG ALIGNMENT,THIRD-PARTY LIMITED ASSURANCE (Y/N),,
,Environmental,,,,,,,
,Air travel,"The distance travelled by air by IAG employees for work-related travel, reported through our travel service provider.","Categories for reporting emissions are broken down by travel class, and by domestic, international, and trans-Tasman flights. Air travel is measured as it is a material source of scope 3 carbon emissions and indicative of IAG’s environmental impact.",305-3,13,Y,,
,Building refrigerants,Refrigerants are measured for the Australian region and are a source of our Scope 1 carbon emissions indicating IAG’s environmental impact. It is disclosed in overall tonnes and kg per FTE (Full Time Employees). ,"An inventory of synthetic gases stored in air conditioning and refrigeration equipment is undertaken at the third quarter of each financial year and reported on an annual basis. This determines the weight in kilograms (kg) of each type of synthetic gas (hydrofluorocarbons and perfluorocarbons) stored across the portfolio of air conditioning and refrigeration equipment in buildings under IAG’s operational control. The following refrigerants are included in the calculation: R410A, R134A, R407C, R22, R32 and R410A. Refrigerants are measured only for the Australian region and are a source of our scope 1 carbon emissions that indicate IAG’s environmental impact. 

To determine the tCO2e, the following is calculated: Recharge capacity (kgs) x Annual leakage rate x Global Warming Potential (GWP) = GHG emissions from refrigerants (kgs CO2e)

Leakage rate is applied and sourced from the Australian Government National Greenhouse Accounts Factors (NGAF, page 58) Global Warming Potential (GWP): is sourced from the Australian Department of Climate Change, Energy, the Environment and Water. Refrigerants are disclosed in overall tonnes and kg per FTE.",305-1,13,N,,
,Electricity,Metered electricity consumption and invoice data for sites directly owned or controlled by IAG.,"For sites where direct supplier data are not available, electricity consumption is estimated using an equivalent floor space model. Electricity usage is measured to indicate IAG’s environmental impact and is a source of both scope 2 and scope 3 emissions (via transmission & distribution losses).

Final month or final quarter (dependent on the timing of billing) certain electricity usage data for certain sites are not available within reporting timeframes. Where data are not available, accrued values based on prior periods are used. 

Electricity usage is disclosed in Megawatt Hours (MWh) of electricity consumed and MWh used per FTE.",305-2,13,Y1,,
,Fuel usage,"Petrol, diesel, and ethanol consumed by IAG's tool of trade and salary packaged fleet of vehicles that are owned and operated by IAG. 
Tool of trade: vehicles used by in-house assessors, for claims and sales purposes 
Package vehicles: this scheme is based on a novated vehicle lease platform where the vehicle is financed and registered in the name of IAG rather than an employee's name for the duration of the agreement or until the Written Down Value (WDV) of the vehicle is paid for by the employee at the end of the agreement term. ","Fuel usage is measured to indicate IAG’s environmental impact and is a source of both scope 1 and scope 3 emissions (via transmission & distribution losses). Activity data for fuel consumption is obtained from fuel cards. No adjustments are made for any personal usage of the tool of trade vehicles.
Packaged vehicle usage is currently only applicable to IAG’s Australian business.
Fuel usage is disclosed in kilolitres (kL) of fuel consumed and kL fuel used per vehicle.",305-1,13,Y1,,
