Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environment,See pages 28-32 in the FY23 Annual Report for more detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUSTRALIA,,,,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Units,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scope 1 GHG emissions,tCO2e,p,0.09052200932892743,4290.1135847000005,3934,4563,5721,7121,p,0.4192836363636363,1327.0302,935,1037,1030,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scope 2 GHG emissions1,tCO2e,q,-0.12428571428571437,9244.039999999999,10556,12013,14025,17397,p,0.3962657060518731,484.50419999999997,347,445,537,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scope 3 GHG emissions2,tCO2e,p,0.16369770580296897,8623,7410,3994,8431,17684,p,0.46669334705075455,2138.4389,1458,558,3175,4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total GHG emissions,tCO2e,p,0.011742172817351494,22157.153584699998,21900,20570,28177,42202,p,0.441596094890511,3949.9733,2740,2040,4743,5975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions Key Performance Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GHG emissions - total,tCO2e / FTE,p,0.060033220460694876,2.8620896952438764,2.7,2.6,3.6,5.8,p,0.35095860566448783,1.0807668845315903,0.8,0.6,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
