Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,People,See pages 20-23 in the FY23 Annual Report for more detail,,,,,,,,,,,,,,,,,
,,AUSTRALIA,,,,,,,NEW ZEALAND,,,,,,,,,,
,,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,,,
,WORKFORCE,,,,,,,,,,,,,,,,,,
,Headcount,q,-0.031675242995997714,8468,8745,8736,8481,8015,p,0.0531632110579479,3962,3762,3601,3315,3111,,,,
,Part-time employment,q,-0.05089221556886231,0.158501,0.167,0.17,0.18,0.2,p,0.025303797468354615,0.08099900000000002,0.079,0.08,0.09,0.09,,,,
,Full Time Equivalent (FTE),q,-0.02652027448534004,7802.44,8015,8003,7729,7243,p,0.04725403001667593,3768.02,3598,3435,3153,2953,,,,
,Staff turnover,p,0.08399999999999995,0.18969999999999998,0.175,0.136,0.111,0.149,q,-0.14968553459119507,0.1352,0.159,0.12,0.108,0.154,,,,
,Absenteeism,p,0.07173913043478256,0.0493,0.046,0.037,0.039,0.042,p,0.21590909090909097,0.0535,0.044,3.6,0.034,0.038,,,,
,First Nations Employment,q,-0.08251880382253542,0.011927255550307039,0.013,1.5,1.1,N/R,,,N/R,N/R,N/R,N/R,N/R,,,,
,Age Group <30 years,q,-0.01940201892965234,0.13238072744449694,0.135,N/R,N/R,N/R,q,-0.0341772853670563,0.16708732963149925,0.173,N/R,N/R,N/R,,,,
,Age Group 30-50 years,q,-0.007472318203965595,0.6302550779404819,0.635,N/R,N/R,N/R,p,0.025816687098867815,0.574457344775366,0.56,N/R,N/R,N/R,,,,
,Age Group >50 years,p,0.03201823745661411,0.23736419461502126,0.23,N/R,N/R,N/R,q,-0.028363437619794124,0.2584553255931348,0.266,N/R,N/R,N/R,,,,
,,,,,,,,,,,,,,,,,,,
,Male to female salary ratio – average1,,,,,,,,,,,,,,,,,,
,General Employees ,p,0.009090909090909097,1.11,1.1,1.1,1.1,1.12,q,-0.008771929824561412,1.13,1.14,1.22,1.23,1.24,,,,
,Managers / Senior specialist,q,0.0,1.07,1.07,1.08,1.07,1.08,p,0.01960784313725492,1.04,1.02,1.12,1.15,1.12,,,,
,Senior Manager,q,-0.00980392156862746,1.01,1.02,1.03,1.02,1.02,p,0.010309278350515474,0.98,0.97,1.03,1.04,1.11,,,,
,Heads Of / General Manager,q,-0.03703703703703707,1.04,1.08,1.09,1.01,1.01,q,-0.0677966101694914,1.1,1.18,1.06,N/R,N/R,,,,
,,,,,,,,,,,,,,,,,,,
,Gender Equity,,,,,,,,,,,,,,,,,,
,Women in the workforce,p,0.009830508474576317,0.5958,0.59,0.59,0.58,0.58,p,0.0014516129032258256,0.6209,0.62,0.6,0.58,0.58,,,,
,Women in senior management positions (WISM),p,0.024186046511627955,0.4404,0.43,0.43,0.41,0.36,p,0.03148936170212762,0.48479999999999995,0.47,0.43,0.41,0.35,,,,
,"Gender Pay Gap (Mean)2, 3",,,N/R,N/R,N/R,N/R,N/R,,,0.202,N/R,N/R,N/R,N/R,,,,
,,,,,,,,,,,,,,,,,,,
,Workplace Health & Safety,,,,,,,,,,,,,,,,,,
,Lost-time injury frequency rate (LTIFR),q,-0.010416666666666676,0.95,0.96,1.55,1.62,1.2,p,2.941176470588235,0.67,0.17,0,0.2,0.56,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Footnotes to data,,,,,,,,,,,,,,,,,,
,1. Australian figures in AUD $ and New Zealand figures in NZD $.,,,,,,,,,,,,,,,,,,
,"2. As part of IAG's New Zealand CEO’s participation in the Champions of Change network, a commitment was made to publish New Zealand's Gender Pay Gap in FY23.",,,,,,,,,,,,,,,,,,
,3. Includes fixed pay only. Disclosed percentages are for the New Zealand workforce.,,,,,,,,,,,,,,,,,,
