Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
41,GHG emissions (tCO2-e),Change,FY23,FY22,,,GHG emissions (tCO2-e),Change,FY23,FY22,,,,,,,,,,AU - Community Investment (donations),753988.3563999999,,,,,,Grand Total,7409.2225,,Grand Total,3021.147499999999,,,Total Vehicles,FY19,Q1,4085,,FY19,4085,720011.1500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Month,Jun,,,,,
42,Scope 1,,,,,,Scope 1,,,,,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,AU - Community Investment (Management Costs),2223177.8201,,,,,,,,,,,,,,,Q2,4043,,,4043,724472.3399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Company vehicles,0.09865167744368,3997.0028000000007,3638.0983,,,Company vehicles,0.09031772486772492,824.2802,756,,,Absenteeism [%],4.93,,Absenteeism [%],5.35,,,AU - Community Investment (sponsorship),313204.95269999997,,,,,,,,,,,,,,,Q3,3992,,,3992,692706.71,,,,,,,,,,,,,,,,,NZ,,,,,,,,,,,,,,,,,,,,Sum of Actual Data,Column Labels,,,,,
44,- Tool of Trade,0.09470146704915104,3009.3431999999993,2749.0081,,,- Tool of Trade,,,,,,Grand Total,4.93,,Grand Total,5.35,,,AU - Community Investment (volunteer hours $),345842.38989999995,,,,,,Country,Australia,,Country,New Zealand,,,,,Q4,3918,,,3918,639676.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total
45,- Salary Package vehicles,0.11086546674341911,987.6596,889.0902000000001,,,- Salary Package vehicles,,,,,,,,,,,,,Grand Total,10968817.905600002,,,,,,Financial Year,FY19,,Financial Year,FY19,,,,FY20,Q1,3727,,FY20,3727,641922.52,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Women in workforce [%],92.6,99.22,102.57,109.14,110.57,514.1
46,Building refrigerant,-0.006542178468899528,207.6326847,209,,,Building refrigerant,,,,,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,,,Q2,3629,,,3629,631866.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZ - Women in the workforce,57.6,58.4,59.71,61.68,62.09,299.48
47,Natural Gas / Stationary LPG,-0.017493103448275888,85.4781,87,,,Natural Gas / Stationary LPG,1.8086592178770946,502.74999999999994,179,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q3,3496,,,3496,546148.85,,,,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,NZ - Women in senior management positions,35,40.82,42.86,47.46,48.48,214.61999999999998
48,Scope 2,,,,,,Scope 2,,,,,,Item Number,(All),,Item Number,(All),,,,,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,Q4,3635,,,3635,340678.84,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total,,,,,,,,,,,,,,,,,,,,
49,Electricity,-0.12426580369390751,9244.039999999999,10555.76,,,Electricity,0.39787709174841296,484.50419999999997,346.6,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Employee Metric [FTE],7286.807499999999,,Employee Metric [FTE],3061.5675000000006,,,,FY21,Q1,3484,,FY21,3484,379967.78,,,,,,,,,,,,,,,,,Community Investment [$],1196578.1996999998,713960.2300999999,408618.29020000005,667224.2299,806466.6400000001,3792847.5899,,,,,,,,,,,,,,,,,,,,
50,Scope 3,,,,,,Scope 3,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,Grand Total,7286.807499999999,,Grand Total,3061.5675000000006,,,,,Q2,3429,,,3429,424513.78,,,,,,,,,,,,,,,,,Grand Total,1196578.1996999998,713960.2300999999,408618.29020000005,667224.2299,806466.6400000001,3792847.5899,,,,,,,,,,,,,,,,,,,,
51,Electricity (T&D Losses),-0.2309950512208271,798.7193000000002,1038.64,,,Electricity (T&D Losses),0.48256000000000016,44.476800000000004,30,,,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q3,3303,,,3303,445501.92000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY19,FY20,FY21,FY22,FY23,
